Algorithm,Iteration,N,Evaluation,TrainingTime
MIMIC,400,600,538.0,6.5074428097E10
RHC,400,700,700.0,1.24485442E8
SA,400,700,700.0,2.02096596E8
GA,400,700,373.0,2.101208E8
MIMIC,400,700,616.0,9.1073298156E10
RHC,10,100,100.0,613217.0
SA,10,100,100.0,984219.0
GA,10,100,59.0,1031481.0
MIMIC,10,100,76.0,8.7676265E7
RHC,10,200,191.0,977524.0
SA,10,200,196.0,1271333.0
GA,10,200,118.0,1737252.0
MIMIC,10,200,141.0,2.69445324E8
RHC,10,300,270.0,1188231.0
SA,10,300,268.0,1342618.0
GA,10,300,173.0,1876279.0
MIMIC,10,300,207.0,6.54295592E8
RHC,10,400,338.0,1812476.0
SA,10,400,344.0,2101952.0
GA,10,400,221.0,3186603.0
MIMIC,10,400,267.0,9.24271426E8
RHC,10,500,412.0,1610434.0
SA,10,500,405.0,1712045.0
GA,10,500,276.0,2594259.0
MIMIC,10,500,324.0,1.792115059E9
RHC,10,600,464.0,2922726.0
SA,10,600,466.0,3247254.0
GA,10,600,321.0,5348813.0
MIMIC,10,600,386.0,2.092789559E9
RHC,10,700,537.0,3778946.0
SA,10,700,520.0,4231474.0
GA,10,700,378.0,7648082.0
MIMIC,10,700,442.0,3.644675526E9
RHC,30,100,100.0,1221314.0
SA,30,100,100.0,2085017.0
GA,30,100,62.0,1841621.0
MIMIC,30,100,89.0,1.41456235E8
RHC,30,200,200.0,2057054.0
SA,30,200,200.0,2691933.0
GA,30,200,119.0,3065298.0
MIMIC,30,200,160.0,5.12435665E8
RHC,30,300,298.0,3054270.0
SA,30,300,299.0,3612349.0
GA,30,300,162.0,4397283.0
MIMIC,30,300,234.0,1.150595809E9
RHC,30,400,392.0,4074330.0
SA,30,400,397.0,4634771.0
GA,30,400,218.0,5748172.0
MIMIC,30,400,309.0,2.091665525E9
RHC,30,500,489.0,4742685.0
SA,30,500,490.0,5363779.0
GA,30,500,291.0,7195160.0
MIMIC,30,500,371.0,3.907460532E9
RHC,30,600,573.0,7806407.0
SA,30,600,578.0,6372417.0
GA,30,600,305.0,8648449.0
MIMIC,30,600,433.0,6.11113763E9
RHC,30,700,669.0,8549988.0
SA,30,700,654.0,9455832.0
GA,30,700,366.0,1.4358418E7
MIMIC,30,700,496.0,8.706047652E9
RHC,60,100,100.0,2244919.0
SA,60,100,100.0,4142071.0
GA,60,100,52.0,3457174.0
MIMIC,60,100,92.0,2.62993744E8
RHC,60,200,200.0,3757678.0
SA,60,200,200.0,5237355.0
GA,60,200,115.0,5512259.0
MIMIC,60,200,176.0,9.36733873E8
RHC,60,300,300.0,5912799.0
SA,60,300,300.0,7109695.0
GA,60,300,155.0,8041927.0
MIMIC,60,300,250.0,2.399030274E9
RHC,60,400,400.0,7841854.0
SA,60,400,400.0,9139575.0
GA,60,400,206.0,1.0562931E7
MIMIC,60,400,331.0,4.418313728E9
RHC,60,500,500.0,1.7201981E7
SA,60,500,500.0,2.0272399E7
GA,60,500,284.0,2.8394671E7
MIMIC,60,500,391.0,8.021410612E9
RHC,60,600,600.0,1.2465598E7
SA,60,600,596.0,1.6960161E7
GA,60,600,350.0,1.6948345E7
MIMIC,60,600,475.0,1.018675317E10
RHC,60,700,693.0,1.2424244E7
SA,60,700,694.0,1.3585694E7
GA,60,700,364.0,1.9173965E7
MIMIC,60,700,537.0,1.4442842413E10
RHC,100,100,100.0,3220079.0
SA,100,100,100.0,5705637.0
GA,100,100,63.0,4524889.0
MIMIC,100,100,93.0,4.01266528E8
RHC,100,200,200.0,6417315.0
SA,100,200,200.0,8988338.0
GA,100,200,106.0,8781175.0
MIMIC,100,200,190.0,1.485233952E9
RHC,100,300,300.0,9961923.0
SA,100,300,300.0,1.1969353E7
GA,100,300,165.0,1.2754287E7
MIMIC,100,300,273.0,3.514489569E9
RHC,100,400,400.0,2.399857E7
SA,100,400,400.0,2.8973623E7
GA,100,400,195.0,3.3941194E7
MIMIC,100,400,345.0,7.191986193E9
RHC,100,500,500.0,1.7018449E7
SA,100,500,500.0,1.9563871E7
GA,100,500,244.0,2.200847E7
MIMIC,100,500,420.0,1.1999334402E10
RHC,100,600,600.0,1.8891184E7
SA,100,600,600.0,2.1165246E7
GA,100,600,323.0,2.9911763E7
MIMIC,100,600,491.0,1.5206315861E10
RHC,100,700,699.0,2.0349199E7
SA,100,700,699.0,2.477602E7
GA,100,700,364.0,2.9055149E7
MIMIC,100,700,557.0,2.3038090748E10
RHC,200,100,100.0,6724515.0
SA,200,100,100.0,1.4763685E7
GA,200,100,67.0,8938713.0
MIMIC,200,100,100.0,1.039859114E9
RHC,200,200,200.0,2.3954852E7
SA,200,200,200.0,3.8470415E7
GA,200,200,121.0,3.3418561E7
MIMIC,200,200,195.0,3.513911798E9
RHC,200,300,300.0,1.9997889E7
SA,200,300,300.0,3.0143738E7
GA,200,300,185.0,2.4569251E7
MIMIC,200,300,282.0,6.887094004E9
RHC,200,400,400.0,3.5549658E7
SA,200,400,400.0,4.589243E7
GA,200,400,203.0,4.4092557E7
MIMIC,200,400,355.0,1.4924849985E10
RHC,200,500,500.0,3.360997E7
SA,200,500,500.0,3.7118344E7
GA,200,500,258.0,4.059206E7
MIMIC,200,500,443.0,2.5112264422E10
RHC,200,600,600.0,5.7328516E7
SA,200,600,600.0,8.8526183E7
GA,200,600,322.0,1.03166989E8
MIMIC,200,600,513.0,3.4444298459E10
RHC,200,700,700.0,6.0424534E7
SA,200,700,700.0,5.6295854E7
GA,200,700,354.0,9.4208977E7
MIMIC,200,700,594.0,4.7577657235E10
RHC,400,100,100.0,1.3185153E7
SA,400,100,100.0,3.4893118E7
GA,400,100,70.0,1.7005059E7
MIMIC,400,100,100.0,1.302865067E9
RHC,400,200,200.0,2.4742937E7
SA,400,200,200.0,4.6406004E7
GA,400,200,117.0,3.288687E7
MIMIC,400,200,198.0,6.419781196E9
RHC,400,300,300.0,7.7692287E7
SA,400,300,300.0,1.22197593E8
GA,400,300,171.0,1.0029625E8
MIMIC,400,300,291.0,1.5211461056E10
RHC,400,400,400.0,5.4891401E7
SA,400,400,400.0,7.3987384E7
GA,400,400,201.0,6.3552059E7
MIMIC,400,400,379.0,2.9539168309E10
RHC,400,500,500.0,1.19729759E8
SA,400,500,500.0,1.59286006E8
GA,400,500,259.0,1.47562806E8
MIMIC,400,500,462.0,4.5328466587E10
RHC,400,600,600.0,9.2515837E7
SA,400,600,600.0,1.20076737E8
GA,400,600,313.0,1.04027147E8
MIMIC,400,600,538.0,6.1838239858E10
RHC,400,700,700.0,1.11481457E8
SA,400,700,700.0,1.43390016E8
GA,400,700,359.0,2.3554509E8
MIMIC,400,700,604.0,9.2192562783E10
RHC,10,100,99.0,338707.0
SA,10,100,100.0,536417.0
GA,10,100,65.0,559654.0
MIMIC,10,100,80.0,5.9237878E7
RHC,10,200,193.0,762484.0
SA,10,200,194.0,983037.0
GA,10,200,110.0,1367037.0
MIMIC,10,200,156.0,3.56505221E8
RHC,10,300,268.0,1483222.0
SA,10,300,268.0,1689202.0
GA,10,300,162.0,2420967.0
MIMIC,10,300,217.0,5.19533939E8
RHC,10,400,337.0,1318200.0
SA,10,400,340.0,1467467.0
GA,10,400,218.0,2109042.0
MIMIC,10,400,267.0,8.43029805E8
RHC,10,500,408.0,1574987.0
SA,10,500,396.0,1680144.0
GA,10,500,276.0,2588746.0
MIMIC,10,500,345.0,1.550350759E9
RHC,10,600,474.0,2857741.0
SA,10,600,447.0,3113741.0
GA,10,600,327.0,5020740.0
MIMIC,10,600,375.0,2.085345883E9
RHC,10,700,518.0,2170875.0
SA,10,700,505.0,2201989.0
GA,10,700,358.0,3617863.0
MIMIC,10,700,449.0,3.415462288E9
RHC,30,100,100.0,1224071.0
SA,30,100,100.0,2075959.0
GA,30,100,64.0,1893214.0
MIMIC,30,100,85.0,1.48947173E8
RHC,30,200,199.0,2106678.0
SA,30,200,200.0,2610406.0
GA,30,200,116.0,3111772.0
MIMIC,30,200,166.0,5.07074643E8
RHC,30,300,300.0,2991255.0
SA,30,300,297.0,3574934.0
GA,30,300,167.0,4386255.0
MIMIC,30,300,234.0,1.152546525E9
RHC,30,400,395.0,3919548.0
SA,30,400,393.0,4451633.0
GA,30,400,195.0,5852541.0
MIMIC,30,400,309.0,2.659228898E9
RHC,30,500,481.0,4629651.0
SA,30,500,483.0,5188125.0
GA,30,500,256.0,7207369.0
MIMIC,30,500,361.0,4.12411247E9
RHC,30,600,582.0,1.0033209E7
SA,30,600,575.0,6130202.0
GA,30,600,330.0,8627969.0
MIMIC,30,600,441.0,6.152404741E9
RHC,30,700,659.0,6314916.0
SA,30,700,662.0,6841093.0
GA,30,700,355.0,9989098.0
MIMIC,30,700,506.0,8.091329181E9
RHC,60,100,100.0,2018851.0
SA,60,100,100.0,3406368.0
GA,60,100,61.0,2813630.0
MIMIC,60,100,92.0,2.31200582E8
RHC,60,200,200.0,3916398.0
SA,60,200,200.0,5484296.0
GA,60,200,118.0,5539828.0
MIMIC,60,200,178.0,9.56691983E8
RHC,60,300,300.0,6046707.0
SA,60,300,300.0,7835158.0
GA,60,300,142.0,8587403.0
MIMIC,60,300,259.0,1.894414407E9
RHC,60,400,400.0,7087640.0
SA,60,400,400.0,7865879.0
GA,60,400,212.0,8992670.0
MIMIC,60,400,339.0,3.522663434E9
RHC,60,500,500.0,1.2593598E7
SA,60,500,499.0,1.4239477E7
GA,60,500,261.0,1.9112918E7
MIMIC,60,500,391.0,6.663964494E9
RHC,60,600,594.0,2.1020705E7
SA,60,600,597.0,2.3230571E7
GA,60,600,317.0,3.3767114E7
MIMIC,60,600,470.0,1.0687131262E10
RHC,60,700,697.0,1.2724748E7
SA,60,700,692.0,1.4083515E7
GA,60,700,367.0,1.8439443E7
MIMIC,60,700,541.0,1.4781558824E10
RHC,100,100,100.0,3237015.0
SA,100,100,100.0,5682794.0
GA,100,100,50.0,4479596.0
MIMIC,100,100,98.0,5.18711196E8
RHC,100,200,200.0,1.0809872E7
SA,100,200,200.0,1.3715269E7
GA,100,200,108.0,1.3999232E7
MIMIC,100,200,188.0,1.857978597E9
RHC,100,300,300.0,1.0094649E7
SA,100,300,300.0,2.0979745E7
GA,100,300,164.0,2.7169024E7
MIMIC,100,300,268.0,4.45380234E9
RHC,100,400,400.0,1.2859049E7
SA,100,400,400.0,1.9054629E7
GA,100,400,219.0,1.695504E7
MIMIC,100,400,342.0,8.013566001E9
RHC,100,500,500.0,1.5477333E7
SA,100,500,500.0,2.5744486E7
GA,100,500,266.0,4.4295781E7
MIMIC,100,500,423.0,1.2275607033E10
RHC,100,600,600.0,2.1174698E7
SA,100,600,600.0,2.4327825E7
GA,100,600,308.0,3.2452853E7
MIMIC,100,600,483.0,1.7033630057E10
RHC,100,700,700.0,2.9346201E7
SA,100,700,700.0,3.5903332E7
GA,100,700,352.0,4.0137169E7
MIMIC,100,700,556.0,2.522533662E10
RHC,200,100,100.0,6500023.0
SA,200,100,100.0,1.4030345E7
GA,200,100,62.0,8640966.0
MIMIC,200,100,98.0,8.41435519E8
RHC,200,200,200.0,2.0625679E7
SA,200,200,200.0,3.4547716E7
GA,200,200,112.0,2.6872459E7
MIMIC,200,200,190.0,3.492056928E9
RHC,200,300,300.0,3.276911E7
SA,200,300,300.0,5.2151419E7
GA,200,300,146.0,5.2668144E7
MIMIC,200,300,281.0,9.271832814E9
RHC,200,400,400.0,3.5355886E7
SA,200,400,400.0,3.7867832E7
GA,200,400,211.0,4.1752328E7
MIMIC,200,400,362.0,1.3954742842E10
RHC,200,500,500.0,3.0856992E7
SA,200,500,500.0,4.0924071E7
GA,200,500,230.0,4.0178128E7
MIMIC,200,500,439.0,2.4468647551E10
RHC,200,600,600.0,6.9251788E7
SA,200,600,600.0,8.4022562E7
GA,200,600,321.0,1.01790893E8
MIMIC,200,600,521.0,3.4226631583E10
RHC,200,700,700.0,4.66238E7
SA,200,700,700.0,4.9145985E7
GA,200,700,327.0,5.6520345E7
MIMIC,200,700,588.0,4.7809024807E10
RHC,400,100,100.0,1.1369132E7
SA,400,100,100.0,2.8731803E7
GA,400,100,59.0,1.3893681E7
MIMIC,400,100,100.0,1.179539894E9
RHC,400,200,200.0,2.2024223E7
SA,400,200,200.0,3.9238019E7
GA,400,200,108.0,2.7690869E7
MIMIC,400,200,197.0,5.422734641E9
RHC,400,300,300.0,4.3580952E7
SA,400,300,300.0,5.9426923E7
GA,400,300,176.0,4.8338997E7
MIMIC,400,300,289.0,1.4098464082E10
RHC,400,400,400.0,4.6644674E7
SA,400,400,400.0,1.23072718E8
GA,400,400,205.0,1.32126827E8
MIMIC,400,400,368.0,2.9136616664E10
RHC,400,500,500.0,7.8817897E7
SA,400,500,500.0,1.01878327E8
GA,400,500,261.0,1.6413109E8
MIMIC,400,500,455.0,4.4985215836E10
RHC,400,600,600.0,1.07784038E8
SA,400,600,600.0,1.87141503E8
GA,400,600,310.0,1.87087939E8
MIMIC,400,600,534.0,6.2267312258E10
RHC,400,700,700.0,1.5780436E8
SA,400,700,700.0,2.02083993E8
GA,400,700,374.0,1.86725995E8
MIMIC,400,700,614.0,8.794532482E10
RHC,10,100,100.0,303261.0
SA,10,100,100.0,428504.0
GA,10,100,54.0,476553.0
MIMIC,10,100,77.0,4.0404983E7
RHC,10,200,190.0,670719.0
SA,10,200,190.0,1765215.0
GA,10,200,120.0,2168906.0
MIMIC,10,200,145.0,3.91479472E8
RHC,10,300,280.0,1492280.0
SA,10,300,269.0,1668723.0
GA,10,300,156.0,2435146.0
MIMIC,10,300,203.0,7.23404021E8
RHC,10,400,346.0,1642334.0
SA,10,400,349.0,1884550.0
GA,10,400,214.0,2717139.0
MIMIC,10,400,275.0,1.15075059E9
RHC,10,500,407.0,1716378.0
SA,10,500,385.0,1866039.0
GA,10,500,265.0,2699809.0
MIMIC,10,500,321.0,1.360190038E9
RHC,10,600,464.0,2005461.0
SA,10,600,461.0,6472454.0
GA,10,600,316.0,6568158.0
MIMIC,10,600,392.0,2.904933621E9
RHC,10,700,527.0,4051486.0
SA,10,700,530.0,4300003.0
GA,10,700,363.0,7693768.0
MIMIC,10,700,426.0,3.166567024E9
RHC,30,100,100.0,1004305.0
SA,30,100,100.0,1729769.0
GA,30,100,61.0,1495825.0
MIMIC,30,100,89.0,1.30509305E8
RHC,30,200,200.0,1998371.0
SA,30,200,200.0,2737225.0
GA,30,200,123.0,2923514.0
MIMIC,30,200,167.0,5.04313788E8
RHC,30,300,299.0,3104289.0
SA,30,300,300.0,3651340.0
GA,30,300,172.0,4353566.0
MIMIC,30,300,230.0,1.249614031E9
RHC,30,400,395.0,6423617.0
SA,30,400,395.0,7648869.0
GA,30,400,217.0,1.0573959E7
MIMIC,30,400,296.0,2.477675273E9
RHC,30,500,486.0,4773011.0
SA,30,500,489.0,5328727.0
GA,30,500,282.0,7194766.0
MIMIC,30,500,368.0,3.591454817E9
RHC,30,600,577.0,5842301.0
SA,30,600,574.0,6303888.0
GA,30,600,322.0,8590160.0
MIMIC,30,600,433.0,6.494816602E9
RHC,30,700,661.0,6471272.0
SA,30,700,652.0,7041560.0
GA,30,700,380.0,1.00722E7
MIMIC,30,700,490.0,6.922203344E9
RHC,60,100,100.0,1702987.0
SA,60,100,100.0,2903427.0
GA,60,100,58.0,2318174.0
MIMIC,60,100,94.0,1.94760046E8
RHC,60,200,200.0,4005013.0
SA,60,200,200.0,4939214.0
GA,60,200,104.0,4693848.0
MIMIC,60,200,177.0,1.03447643E9
RHC,60,300,300.0,7579553.0
SA,60,300,300.0,9331377.0
GA,60,300,162.0,1.093354E7
MIMIC,60,300,254.0,2.159219839E9
RHC,60,400,400.0,8067134.0
SA,60,400,400.0,9057260.0
GA,60,400,218.0,1.062634E7
MIMIC,60,400,329.0,4.397635274E9
RHC,60,500,500.0,9373912.0
SA,60,500,499.0,1.0762216E7
GA,60,500,264.0,1.3400192E7
MIMIC,60,500,403.0,7.673163538E9
RHC,60,600,599.0,1.1366375E7
SA,60,600,599.0,1.2652674E7
GA,60,600,323.0,1.6029504E7
MIMIC,60,600,465.0,1.0812998707E10
RHC,60,700,695.0,1.5567917E7
SA,60,700,697.0,1.3958271E7
GA,60,700,369.0,1.8852193E7
MIMIC,60,700,531.0,1.5445095208E10
RHC,100,100,100.0,8231367.0
SA,100,100,100.0,1.1709021E7
GA,100,100,64.0,9513727.0
MIMIC,100,100,98.0,6.15618408E8
RHC,100,200,200.0,7177436.0
SA,100,200,200.0,1.0078895E7
GA,100,200,113.0,1.0173812E7
MIMIC,100,200,186.0,2.026548718E9
RHC,100,300,300.0,1.4447033E7
SA,100,300,300.0,2.0869863E7
GA,100,300,148.0,2.7258033E7
MIMIC,100,300,268.0,4.801089613E9
RHC,100,400,400.0,2.456807E7
SA,100,400,400.0,2.8945661E7
GA,100,400,205.0,3.5986826E7
MIMIC,100,400,345.0,7.530669127E9
RHC,100,500,500.0,2.9098866E7
SA,100,500,500.0,3.3621786E7
GA,100,500,263.0,4.505472E7
MIMIC,100,500,418.0,1.3009069863E10
RHC,100,600,600.0,1.9503219E7
SA,100,600,600.0,1.9067626E7
GA,100,600,316.0,2.2064002E7
MIMIC,100,600,488.0,1.627327547E10
RHC,100,700,700.0,2.4880783E7
SA,100,700,699.0,2.3103753E7
GA,100,700,365.0,2.9575025E7
MIMIC,100,700,560.0,2.4803802813E10
RHC,200,100,100.0,1.0414057E7
SA,200,100,100.0,1.4023256E7
GA,200,100,61.0,8620880.0
MIMIC,200,100,98.0,9.61555973E8
RHC,200,200,200.0,1.5788077E7
SA,200,200,200.0,2.5355366E7
GA,200,200,92.0,2.281467E7
MIMIC,200,200,198.0,3.093022716E9
RHC,200,300,300.0,1.7752577E7
SA,200,300,300.0,2.3115568E7
GA,200,300,163.0,2.0193631E7
MIMIC,200,300,279.0,7.704300161E9
RHC,200,400,400.0,2.6719253E7
SA,200,400,400.0,5.5682636E7
GA,200,400,211.0,6.9397511E7
MIMIC,200,400,360.0,1.3235351318E10
RHC,200,500,500.0,3.4340947E7
SA,200,500,500.0,3.8099413E7
GA,200,500,235.0,4.022539E7
MIMIC,200,500,439.0,2.2771667794E10
RHC,200,600,600.0,6.2705686E7
SA,200,600,600.0,8.3012744E7
GA,200,600,294.0,7.5373326E7
MIMIC,200,600,506.0,2.9363159632E10
RHC,200,700,700.0,4.2712523E7
SA,200,700,700.0,8.8715229E7
GA,200,700,368.0,1.17668767E8
MIMIC,200,700,583.0,4.3025274234E10
RHC,400,100,100.0,1.9879341E7
SA,400,100,100.0,5.5037912E7
GA,400,100,63.0,2.4934739E7
MIMIC,400,100,100.0,1.751224465E9
RHC,400,200,200.0,2.8161908E7
SA,400,200,200.0,5.586735E7
GA,400,200,99.0,3.4702497E7
MIMIC,400,200,198.0,7.658641281E9
RHC,400,300,300.0,4.4143363E7
SA,400,300,300.0,6.0146873E7
GA,400,300,165.0,1.01493934E8
MIMIC,400,300,296.0,1.5049694218E10
RHC,400,400,400.0,5.6790523E7
SA,400,400,400.0,7.4686854E7
GA,400,400,200.0,6.3689118E7
MIMIC,400,400,374.0,2.7278436024E10
RHC,400,500,500.0,6.7351091E7
SA,400,500,500.0,8.4991816E7
GA,400,500,269.0,7.8824592E7
MIMIC,400,500,461.0,4.5381467137E10
RHC,400,600,600.0,8.2276253E7
SA,400,600,600.0,1.48456048E8
GA,400,600,305.0,2.05887751E8
MIMIC,400,600,529.0,6.2291354938E10
RHC,400,700,700.0,1.38300353E8
SA,400,700,700.0,1.9617592E8
GA,400,700,370.0,1.73735402E8
MIMIC,400,700,613.0,8.7269130642E10
RHC,10,100,100.0,351310.0
SA,10,100,99.0,532873.0
GA,10,100,61.0,560442.0
MIMIC,10,100,82.0,5.1993487E7
RHC,10,200,187.0,688442.0
SA,10,200,190.0,825893.0
GA,10,200,118.0,1085437.0
MIMIC,10,200,149.0,2.03051671E8
RHC,10,300,269.0,1002730.0
SA,10,300,266.0,1141758.0
GA,10,300,156.0,1577350.0
MIMIC,10,300,210.0,5.77975068E8
RHC,10,400,334.0,1974347.0
SA,10,400,329.0,2040512.0
GA,10,400,215.0,3168879.0
MIMIC,10,400,269.0,8.98688416E8
RHC,10,500,401.0,1614765.0
SA,10,500,410.0,1780969.0
GA,10,500,264.0,2609225.0
MIMIC,10,500,325.0,1.36829183E9
RHC,10,600,472.0,1867614.0
SA,10,600,455.0,2050358.0
GA,10,600,314.0,3114135.0
MIMIC,10,600,375.0,2.192843595E9
RHC,10,700,535.0,2112980.0
SA,10,700,515.0,2294543.0
GA,10,700,371.0,3637161.0
MIMIC,10,700,460.0,2.588974379E9
RHC,30,100,100.0,869610.0
SA,30,100,100.0,1409966.0
GA,30,100,62.0,1241006.0
MIMIC,30,100,91.0,1.03710101E8
RHC,30,200,200.0,1713227.0
SA,30,200,200.0,2229952.0
GA,30,200,115.0,2431601.0
MIMIC,30,200,169.0,4.03539803E8
RHC,30,300,300.0,2706111.0
SA,30,300,293.0,3372103.0
GA,30,300,161.0,3857714.0
MIMIC,30,300,236.0,9.24081592E8
RHC,30,400,397.0,3364227.0
SA,30,400,394.0,4061333.0
GA,30,400,221.0,4701331.0
MIMIC,30,400,299.0,2.778078413E9
RHC,30,500,488.0,5291705.0
SA,30,500,482.0,6067975.0
GA,30,500,254.0,8472006.0
MIMIC,30,500,359.0,4.404007297E9
RHC,30,600,576.0,1.3959846E7
SA,30,600,581.0,9761456.0
GA,30,600,312.0,1.8434323E7
