Iteration,SA_T1000.0,SA_T10000.0,SA_T100000.0,SA_T1000000.0,SA_T1.0E7,SA_T1.0E8,SA_T1.0E9,SA_T1.0E10,SA_T1.0E11
81,49.697,49.976,88.928,47.165,101.628,35.160,52.348,94.191,80.887
82,49.713,49.824,88.929,45.729,102.189,35.160,52.340,93.402,80.510
83,49.442,49.777,91.413,46.090,103.558,35.175,52.435,94.009,80.399
84,49.146,49.830,91.340,46.121,103.542,35.360,52.367,94.032,81.178
85,49.145,49.396,91.424,45.193,104.238,35.277,52.342,93.977,80.775
86,48.863,49.426,91.330,44.549,104.294,35.283,52.662,92.459,79.263
87,48.895,49.169,91.367,44.461,104.291,35.348,52.923,92.261,80.480
88,49.556,46.527,92.373,44.497,104.291,35.115,52.051,91.195,80.686
89,50.218,47.058,92.355,44.126,103.491,35.119,53.095,91.195,79.839
90,50.185,46.636,93.347,44.186,102.628,34.989,52.574,91.168,79.020
91,48.981,46.885,93.337,44.204,103.018,34.480,53.533,91.303,79.107
92,48.981,47.066,91.868,46.869,103.035,34.686,53.561,92.318,79.398
93,49.035,47.034,91.727,46.671,103.047,34.441,55.062,92.656,79.390
94,49.081,45.891,90.721,46.657,105.722,35.112,55.730,92.604,79.187
95,49.656,46.188,90.898,46.810,106.039,34.361,58.168,92.492,79.384
96,49.479,45.876,90.671,46.795,105.815,34.789,58.819,92.498,78.928
97,49.495,46.939,89.472,47.377,108.240,33.562,58.347,92.895,79.978
98,49.601,45.960,89.190,47.649,108.197,33.562,58.564,92.806,79.856
99,48.176,44.805,89.996,47.596,107.014,32.313,57.231,92.173,79.980
100,48.249,45.816,90.013,47.475,107.255,32.313,57.373,89.090,79.748
101,48.150,46.170,87.193,47.004,107.145,33.769,54.095,88.972,79.263
102,47.971,46.070,86.520,47.507,106.865,33.723,55.486,89.546,79.146
103,48.320,45.907,86.522,47.627,106.111,33.979,55.569,89.258,79.619
104,49.831,46.208,88.018,46.219,107.648,33.371,53.930,89.258,78.970
105,50.607,46.056,89.035,46.514,108.512,33.547,52.941,89.228,79.003
106,50.785,46.131,88.806,45.146,108.488,33.578,53.098,89.230,80.000
107,49.584,47.003,89.135,44.333,108.474,33.709,53.057,88.396,78.791
108,50.481,48.583,89.430,43.329,109.021,33.452,54.276,88.273,77.142
109,50.644,48.460,89.778,44.022,108.701,34.967,53.273,88.344,77.523
110,51.086,47.626,89.657,44.057,108.787,34.971,53.023,88.016,78.719
111,51.978,47.877,91.009,44.204,108.863,34.988,53.775,87.587,79.789
112,51.678,47.793,91.477,44.273,108.421,35.397,53.775,87.444,79.548
113,51.713,48.182,93.201,43.954,108.421,35.410,54.160,86.815,82.712
114,51.707,48.990,92.444,43.954,108.373,35.380,52.238,86.803,83.444
115,51.395,49.088,92.540,44.866,108.028,35.325,52.318,86.786,81.866
116,51.475,49.622,94.119,44.837,107.340,35.227,52.309,86.965,81.953
117,51.477,49.641,94.132,45.393,107.533,35.341,50.724,94.870,81.430
118,51.298,52.034,94.200,45.331,109.383,35.470,50.633,94.735,80.767
119,52.142,50.318,94.314,45.422,109.108,35.330,50.586,94.317,83.054
120,51.739,51.096,94.391,44.148,109.124,34.997,50.594,94.221,82.637
121,51.880,51.646,94.290,44.497,108.971,34.610,50.551,94.166,82.354
122,51.767,51.500,94.413,44.438,108.487,34.132,49.885,94.153,82.168
123,52.488,51.556,95.032,44.442,108.906,34.264,50.633,93.854,83.637
124,52.578,51.611,95.014,44.225,111.117,34.160,50.684,93.852,84.024
125,52.240,51.493,94.697,44.208,111.360,34.000,48.577,94.602,84.351
126,52.442,50.596,93.080,44.102,111.492,34.034,48.473,94.803,85.570
127,52.481,50.611,90.739,43.314,111.598,34.313,48.496,93.503,86.226
128,50.787,51.420,90.405,43.516,111.596,34.193,53.665,92.996,86.165
129,50.391,50.948,90.968,43.516,110.925,34.242,54.302,93.396,86.277
130,49.602,50.316,90.934,44.518,111.615,34.563,54.258,92.972,88.686
131,50.881,50.505,91.958,44.487,110.398,34.631,54.275,92.923,89.085
132,51.622,50.808,92.926,44.184,110.458,35.097,53.585,92.504,87.724
133,50.352,50.762,92.656,44.314,110.937,35.106,54.425,92.249,89.440
134,50.707,51.268,92.348,44.952,110.895,35.330,55.797,92.199,89.464
135,50.841,51.442,91.776,45.305,110.854,35.463,55.618,90.410,91.026
136,51.086,51.309,89.895,46.201,107.090,35.330,55.905,91.295,91.069
137,50.392,51.441,90.584,44.894,106.902,35.571,55.843,92.549,91.690
138,49.038,51.662,90.538,45.098,106.825,35.635,55.775,92.606,91.804
139,49.014,51.947,91.133,45.100,108.161,35.629,55.793,92.600,91.811
140,48.797,52.447,91.146,44.693,106.633,35.630,56.043,92.497,92.148
141,48.780,52.087,91.020,44.657,108.270,35.588,62.623,90.487,92.420
142,48.874,52.100,90.682,44.001,108.058,35.740,62.246,90.435,92.387
143,48.245,52.100,90.707,44.435,108.371,35.745,61.425,90.199,92.347
144,48.349,52.991,88.278,44.168,108.763,36.046,60.714,90.231,92.398
145,48.357,52.493,87.193,44.547,108.918,35.687,60.540,89.960,92.470
146,49.281,52.432,86.677,44.502,108.185,36.475,60.457,89.739,92.352
147,49.706,51.717,86.671,44.297,107.613,36.470,61.141,89.690,92.580
148,49.760,51.792,90.358,43.244,108.771,36.380,62.923,90.276,95.448
