Iteration,SA_T1000.0,SA_T10000.0,SA_T100000.0,SA_T1000000.0,SA_T1.0E7,SA_T1.0E8,SA_T1.0E9,SA_T1.0E10,SA_T1.0E11
353,36.201,43.443,131.744,31.303,98.215,30.680,45.711,69.867,74.747
354,36.183,43.126,131.828,31.247,97.590,30.958,46.586,69.720,75.028
355,36.343,43.639,131.724,31.247,97.675,30.382,53.824,69.753,75.274
356,35.488,43.174,131.934,31.633,96.517,31.144,53.820,70.180,76.500
357,33.438,42.705,132.164,31.698,96.879,31.369,53.960,70.152,76.968
358,35.786,42.608,131.218,31.621,96.973,31.376,53.863,71.859,77.724
359,33.554,42.590,131.545,31.319,98.894,31.656,53.858,71.859,77.950
360,33.429,42.956,130.458,31.211,99.043,31.881,53.810,71.941,77.785
361,33.513,42.948,130.347,30.910,98.526,31.237,53.796,72.365,79.313
362,33.298,42.118,130.335,32.075,97.853,31.979,52.577,73.062,79.110
363,33.304,42.124,129.414,32.019,98.222,31.907,52.483,73.122,79.110
364,32.610,41.605,130.573,31.974,98.282,31.775,52.926,73.005,79.422
365,30.937,38.371,130.310,31.615,98.166,31.792,52.720,73.094,79.429
366,31.410,38.866,133.122,30.912,98.336,32.126,53.115,72.374,79.012
367,30.962,38.320,133.077,30.709,96.246,32.304,53.603,72.716,79.016
368,30.742,38.326,134.527,30.983,96.240,32.296,53.901,72.864,79.043
369,31.856,38.323,135.389,30.983,96.758,32.371,53.592,71.586,79.188
370,31.130,39.017,135.488,30.916,96.978,32.388,53.612,72.687,78.797
371,30.408,37.658,136.328,31.803,96.946,32.182,53.260,71.375,78.746
372,30.492,38.174,137.508,31.248,96.977,32.118,53.111,71.086,79.709
373,31.220,37.566,137.371,31.248,97.029,31.742,52.990,70.525,79.755
374,30.297,37.206,137.793,31.299,96.498,32.203,52.982,71.398,81.174
375,30.012,37.206,137.765,31.436,96.486,32.204,53.044,71.615,79.574
376,29.479,36.961,136.728,31.440,96.843,32.264,53.649,72.076,79.574
377,29.355,37.228,136.785,31.955,96.159,32.164,53.721,72.282,79.157
378,29.610,37.357,136.995,32.155,96.299,31.877,53.714,73.190,79.134
379,29.398,37.497,136.922,32.120,96.056,32.520,54.617,72.612,79.134
380,28.864,37.775,136.952,30.639,96.997,32.457,54.478,71.142,77.604
381,28.970,36.942,137.760,32.175,98.708,32.335,54.647,72.108,78.042
382,28.908,37.256,137.852,32.125,99.633,32.877,54.429,72.118,76.975
383,28.777,36.811,137.854,31.699,99.686,32.871,54.350,72.493,76.988
384,28.855,36.811,138.053,31.649,99.651,32.864,54.337,72.965,77.244
385,28.075,34.933,138.461,31.969,99.817,32.758,54.452,72.967,77.849
386,28.011,34.879,138.530,31.500,99.476,32.864,54.685,72.952,79.011
387,28.447,34.713,139.143,31.105,99.078,32.860,54.877,70.685,80.011
388,28.238,34.727,139.145,28.758,98.835,32.487,54.652,70.717,79.777
389,27.991,33.865,137.387,29.359,101.006,32.452,54.134,71.315,79.801
390,28.003,33.865,134.766,28.581,101.313,32.381,56.254,69.116,80.082
391,28.139,33.865,134.686,28.611,101.689,32.392,56.677,69.163,82.053
392,27.981,33.574,134.499,28.669,101.768,32.300,56.633,69.095,82.503
393,28.026,33.190,135.181,28.594,101.798,32.967,56.643,70.129,83.622
394,28.063,33.169,134.471,27.716,102.237,33.322,56.949,70.063,83.727
395,27.932,33.059,134.314,28.305,102.337,33.355,56.949,69.332,83.699
396,28.299,32.748,134.315,24.782,102.391,33.815,57.253,68.980,83.563
397,27.707,32.719,135.065,24.304,102.459,33.755,59.030,69.012,82.945
398,27.684,32.795,133.804,24.295,100.956,33.646,58.386,69.120,82.458
399,27.684,34.163,134.436,24.549,101.923,33.740,57.176,69.111,82.308
400,28.435,32.622,134.565,24.549,100.649,34.143,57.086,68.398,82.309
401,27.625,32.658,134.756,24.262,100.983,34.313,57.586,70.508,82.345
402,27.424,32.792,134.396,23.649,100.981,34.736,57.564,70.925,82.279
403,24.862,33.535,134.497,23.656,100.857,34.654,57.790,71.286,81.592
404,25.010,32.731,133.901,23.670,101.032,35.073,60.146,70.828,81.592
405,25.473,32.762,133.771,23.389,100.855,35.017,60.154,69.266,82.303
406,24.641,32.610,133.046,23.510,101.250,35.237,60.202,69.239,82.855
407,24.624,32.687,132.921,23.775,101.231,34.711,58.907,69.571,82.851
408,24.672,32.599,133.603,23.413,101.702,34.583,58.474,70.009,82.921
409,24.513,32.609,132.946,23.420,101.767,34.555,58.586,69.982,82.198
410,24.746,32.475,132.944,23.452,101.232,33.855,58.409,69.633,82.233
411,24.693,32.475,131.816,23.417,100.964,33.588,60.266,75.702,81.418
412,24.533,32.484,131.291,24.166,100.962,33.971,61.255,76.773,82.996
413,24.524,32.291,131.165,23.438,100.954,34.123,61.144,75.564,83.783
414,24.556,32.291,130.146,23.455,101.313,34.298,61.631,75.704,83.591
415,24.026,32.478,130.293,22.528,101.108,34.241,61.360,75.762,83.440
416,23.888,29.834,131.476,21.630,101.824,34.234,61.747,75.588,83.447
417,24.238,29.942,130.235,21.592,101.435,33.947,61.851,76.878,83.461
418,23.888,29.853,128.944,21.411,101.436,33.920,61.836,76.898,83.461
419,23.850,30.155,128.880,21.390,100.349,34.451,61.693,76.873,81.570
420,23.704,29.606,128.598,21.714,100.977,34.171,61.904,76.081,81.510
421,23.700,29.656,128.669,21.675,100.988,36.347,60.324,74.799,82.098
422,24.220,29.105,127.464,21.793,101.487,36.161,60.368,74.836,80.423
423,23.668,29.246,127.425,21.709,101.427,36.188,60.627,74.987,79.127
424,23.634,29.401,128.021,21.769,102.637,35.886,61.359,75.131,80.175
425,23.627,29.266,128.826,21.712,102.744,36.153,61.221,75.181,80.103
426,23.380,28.940,127.480,21.688,103.071,36.143,61.017,75.150,80.086
427,20.580,28.950,127.416,21.626,103.052,36.102,59.532,75.994,80.062
428,20.628,29.640,126.667,21.803,103.048,35.823,60.057,75.889,80.062
429,20.556,28.789,128.654,22.731,103.650,35.788,60.193,75.936,80.203
430,20.503,27.248,127.486,21.635,103.618,35.799,59.724,76.119,78.793
431,20.499,27.208,126.855,22.369,103.501,35.810,58.760,76.302,78.443
432,20.548,28.459,126.746,22.092,103.022,35.795,58.121,74.715,78.606
433,20.456,27.322,126.721,21.530,103.044,38.447,58.580,76.348,80.959
434,20.461,26.115,126.959,21.613,103.208,38.820,59.936,75.642,70.511
435,20.460,24.820,125.584,21.563,102.578,39.065,59.934,75.627,73.403
436,20.457,25.585,125.249,21.609,102.712,39.079,59.739,75.641,72.616
437,20.381,24.762,125.185,21.228,102.582,38.187,59.822,75.188,72.406
438,19.884,24.624,125.564,21.895,102.926,38.496,59.701,75.240,72.415
439,19.796,24.119,127.195,21.332,105.002,36.531,59.038,74.987,72.350
440,19.969,24.182,125.522,21.405,104.080,36.532,59.072,76.229,73.382
441,19.764,24.177,125.579,21.691,104.117,36.554,58.999,76.676,73.347
442,19.377,24.067,125.880,20.710,104.134,37.878,57.289,76.621,73.364
443,19.631,23.985,125.328,20.773,104.140,37.969,57.052,76.215,73.579
444,19.402,24.467,125.627,20.289,104.411,38.190,59.683,75.806,73.652
445,19.377,24.097,125.135,20.278,104.955,38.572,59.544,75.950,73.503
446,19.373,24.000,125.593,20.422,105.903,38.572,59.275,75.975,73.490
447,19.227,24.037,125.177,20.325,105.980,38.242,59.681,76.391,74.368
448,19.468,24.516,124.947,20.191,105.906,36.343,59.601,76.225,74.380
449,19.210,24.190,123.610,20.230,106.121,36.207,59.793,75.600,74.403
450,19.414,24.075,123.749,20.397,106.174,36.277,59.793,75.462,73.692
451,19.207,24.187,123.756,20.245,106.026,35.708,60.326,76.393,75.595
452,19.353,23.482,122.828,20.432,106.283,37.443,58.844,76.528,75.811
453,19.333,23.667,120.867,20.246,105.838,37.355,58.833,76.712,81.601
454,19.235,23.188,120.882,19.842,105.839,37.756,60.104,76.752,81.120
455,19.288,23.226,120.897,20.279,105.095,37.729,60.097,76.633,81.434
456,19.140,23.133,121.645,18.852,104.618,37.645,59.265,76.747,81.960
457,19.215,23.060,119.474,18.828,104.724,37.750,60.065,76.747,81.798
458,19.122,23.060,120.425,18.875,106.013,37.657,60.129,76.604,82.343
459,19.124,23.252,119.385,18.030,106.205,36.412,60.767,76.535,82.286
460,19.032,23.644,119.305,18.028,106.203,36.853,60.104,76.554,82.293
461,19.200,23.739,119.383,18.058,106.201,35.677,60.646,76.523,82.725
462,19.027,23.040,119.458,17.937,107.284,33.670,60.909,76.587,76.662
463,19.082,23.041,117.807,17.960,107.478,33.617,59.745,77.569,76.821
464,18.969,23.382,118.188,17.942,107.373,33.626,59.666,77.717,76.877
465,18.942,23.761,117.348,17.241,107.382,35.574,59.672,77.737,76.878
466,18.919,23.009,117.348,17.319,107.468,32.998,60.015,77.587,75.911
467,18.960,23.622,117.544,17.266,108.609,32.358,60.832,77.485,75.014
468,18.948,23.018,118.607,17.241,107.673,32.406,61.124,76.118,74.990
469,18.783,23.361,117.367,17.228,106.727,32.372,61.085,75.684,73.770
470,18.932,22.996,115.628,16.772,107.423,32.286,59.594,75.603,73.694
471,18.783,23.014,115.382,16.768,111.817,32.470,62.350,74.201,73.482
472,18.444,23.029,116.211,16.792,107.372,32.459,62.220,72.694,73.765
473,18.444,23.023,115.380,16.691,110.259,32.819,62.294,72.694,74.587
474,17.747,23.060,118.383,16.689,110.302,32.824,62.465,71.100,74.861
475,17.310,23.117,115.249,16.805,109.648,32.858,62.602,70.830,74.911
476,17.367,22.872,114.726,16.971,109.911,32.859,62.510,70.848,74.907
477,17.031,22.943,115.174,18.685,110.935,32.866,62.490,70.917,75.342
478,16.629,23.943,111.751,16.532,110.831,32.991,62.316,70.990,75.338
479,16.603,23.268,112.867,16.625,110.837,32.863,61.418,72.222,75.422
480,16.604,23.478,111.545,16.523,110.851,33.080,61.412,72.085,75.529
481,16.602,23.010,111.898,16.656,111.010,33.133,61.823,70.906,75.578
482,16.608,22.907,112.040,16.538,110.988,32.691,61.705,72.077,75.227
483,16.610,23.221,111.415,16.993,110.718,31.966,61.768,72.214,75.197
484,16.597,22.859,110.982,16.537,110.481,31.970,61.992,71.682,73.336
485,16.628,22.565,110.876,16.563,110.405,31.866,61.855,73.766,73.246
486,16.658,22.764,110.735,16.535,110.307,32.237,62.617,73.875,72.900
487,16.706,22.672,109.946,16.491,111.024,33.424,62.212,73.840,72.658
488,16.643,22.489,110.028,16.491,111.023,32.149,62.180,74.258,72.657
489,16.690,21.976,109.956,16.525,111.746,31.811,62.186,74.453,72.668
490,16.687,21.932,108.658,16.498,111.796,31.247,63.264,75.299,72.707
491,16.592,22.396,109.395,16.512,111.926,31.453,63.969,75.299,71.550
492,16.562,21.948,109.038,16.002,111.679,31.430,64.090,75.393,71.201
493,16.566,21.953,108.657,15.850,111.675,31.485,64.076,75.407,70.424
494,16.653,21.848,108.619,15.861,111.760,31.515,65.195,75.399,69.692
495,16.569,21.889,108.835,15.864,112.025,31.330,63.982,75.555,69.687
496,16.584,21.936,109.518,15.577,112.561,31.028,63.925,75.501,68.577
497,16.502,21.871,109.748,15.768,112.191,32.507,63.937,77.343,68.594
498,16.467,21.721,108.727,16.137,112.411,31.041,63.329,76.894,69.441
499,16.784,21.667,109.124,15.556,113.023,31.038,63.512,75.244,69.765
500,16.503,21.091,109.308,15.852,112.432,30.393,63.553,75.292,69.409
501,15.811,21.265,108.658,15.578,112.831,30.711,63.561,72.780,69.234
502,15.480,21.303,108.531,17.483,112.591,30.658,63.580,72.405,69.484
503,15.512,21.396,108.543,15.552,112.423,30.540,63.582,72.681,70.167
504,15.438,21.096,108.369,15.065,111.454,30.329,62.498,73.187,69.977
505,15.436,21.087,108.517,14.879,111.734,30.760,64.729,72.284,70.052
506,15.475,21.195,108.376,14.885,111.483,31.024,63.240,72.478,69.818
507,15.284,20.916,108.811,14.775,112.037,30.721,62.655,72.743,70.446
508,15.177,21.260,108.145,14.759,110.859,30.885,62.489,74.489,70.249
509,15.177,20.744,107.493,14.757,110.938,30.659,62.348,74.614,70.281
510,15.510,22.468,106.803,14.771,111.775,29.408,62.322,74.336,70.376
511,15.177,19.779,106.607,14.913,111.217,29.436,62.470,74.516,69.643
512,15.193,19.705,108.581,14.888,111.209,29.539,61.978,74.732,70.170
513,15.194,19.721,103.566,14.794,111.748,30.243,61.971,74.341,70.188
514,15.198,19.123,102.845,14.733,115.784,30.009,62.526,76.082,70.334
515,15.112,18.847,102.743,14.718,110.859,29.639,62.252,75.978,69.482
516,15.157,19.011,95.171,14.606,110.722,29.762,62.758,75.762,69.270
517,15.358,18.850,94.595,14.573,110.635,30.369,62.739,75.377,70.218
518,15.112,18.795,94.318,14.577,110.230,29.664,62.790,75.075,70.218
519,15.099,18.817,94.172,14.612,110.256,30.008,63.816,75.617,71.694
520,15.169,18.876,93.066,14.527,110.297,29.670,62.691,75.129,69.834
521,15.589,18.741,92.837,14.302,109.728,29.674,62.702,75.104,69.856
522,15.109,18.664,92.654,14.358,109.338,29.491,65.026,75.056,69.856
523,15.011,18.681,92.977,13.874,110.526,28.852,64.976,75.077,70.392
524,15.407,18.362,91.536,14.069,110.628,28.815,65.985,75.051,69.747
525,15.042,18.351,91.509,14.125,109.289,28.809,66.306,75.212,70.207
526,15.002,18.366,92.490,13.861,109.087,28.085,66.347,73.034,70.619
527,14.923,18.370,92.086,13.941,109.086,28.641,65.647,73.199,70.646
528,14.954,18.162,91.034,14.277,109.754,28.179,66.128,75.371,70.522
529,15.391,18.172,90.383,14.146,109.819,27.488,65.939,75.415,70.240
530,14.646,18.179,89.324,13.811,109.099,27.953,65.904,76.270,70.246
531,14.734,18.088,88.547,13.825,107.925,27.454,66.801,76.367,69.998
532,14.577,18.097,88.032,14.085,107.912,27.702,68.428,80.511,70.986
533,14.609,17.731,87.585,13.886,108.120,27.451,68.437,80.598,72.080
534,14.687,17.947,87.643,13.923,107.905,27.332,69.153,79.888,72.712
535,14.525,17.952,87.152,14.180,107.891,27.001,68.134,79.711,75.602
536,14.555,17.978,86.444,13.818,104.879,27.064,68.286,79.711,75.590
537,14.589,17.715,86.718,13.545,104.914,26.986,68.330,79.483,75.603
538,14.602,17.936,86.517,13.556,104.903,26.951,68.071,79.137,75.605
539,14.648,17.574,86.149,13.544,104.281,26.339,69.078,79.749,75.547
540,14.459,17.619,86.330,13.544,102.622,26.166,69.081,80.149,75.508
541,14.581,17.557,85.961,13.544,102.334,26.151,69.454,81.018,77.107
542,14.635,17.556,86.100,13.513,102.305,26.397,70.296,80.748,77.114
543,14.579,17.309,85.630,13.528,102.504,26.189,68.582,82.552,74.609
544,13.779,16.975,85.794,13.362,102.327,26.191,68.704,82.208,74.608
545,13.877,17.645,84.548,13.358,102.416,27.001,68.061,82.186,74.166
546,13.777,17.493,84.478,13.357,101.257,26.237,67.907,81.886,73.802
547,13.774,17.256,83.433,13.352,101.595,26.346,67.355,81.913,73.731
548,13.837,16.979,83.311,13.371,101.852,26.351,69.629,81.929,74.295
549,14.015,16.958,85.331,13.241,102.040,26.354,67.353,81.541,75.992
550,13.694,16.681,83.244,13.235,101.244,25.943,67.246,81.386,75.992
551,13.693,16.663,83.244,13.187,102.449,25.965,67.244,81.510,75.521
552,13.704,16.769,83.464,13.187,101.476,26.801,68.349,82.942,75.418
553,13.684,16.724,83.806,12.938,101.187,25.942,68.319,83.269,75.303
554,14.421,16.770,80.955,12.965,101.274,25.808,67.129,83.356,75.303
555,13.742,16.699,80.882,12.946,101.002,26.463,68.385,83.056,73.939
556,13.691,16.557,82.512,12.915,100.906,25.600,67.068,83.335,73.779
557,13.689,16.343,80.893,12.394,100.897,25.513,67.732,83.041,71.987
558,13.691,16.206,80.157,12.484,99.417,25.675,67.929,83.178,72.463
559,13.681,16.143,80.379,12.392,98.765,25.505,82.012,83.479,72.233
560,13.677,16.237,78.429,12.424,98.635,25.514,69.368,83.365,72.561
561,13.674,16.116,78.828,12.320,98.489,25.724,67.365,83.374,72.298
562,13.488,16.272,78.418,12.319,99.782,26.085,67.663,82.474,72.382
563,13.546,16.116,80.366,12.320,97.171,25.514,69.165,83.359,72.829
564,13.504,16.266,78.426,12.335,97.172,25.530,67.389,82.863,72.817
565,13.411,16.204,79.100,12.423,97.286,25.169,67.441,83.340,72.809
566,13.422,16.101,78.376,12.470,96.126,24.484,67.580,83.365,72.146
567,13.412,16.077,78.258,12.428,96.186,24.489,67.382,83.376,71.288
568,13.363,15.928,78.020,13.022,95.767,24.409,68.481,83.791,71.768
569,13.435,15.906,78.544,12.347,95.999,23.919,68.664,84.090,70.480
570,13.194,15.687,78.946,12.314,95.882,23.872,68.702,84.029,70.301
571,13.084,15.687,78.085,12.269,95.781,23.891,69.278,84.114,71.692
572,13.081,15.767,78.087,12.273,95.129,23.823,68.797,83.892,71.692
573,13.088,14.345,77.458,12.035,95.393,24.234,69.221,83.966,71.113
574,13.030,14.223,77.609,11.957,94.825,23.996,69.229,83.507,71.133
575,13.016,13.875,77.374,11.883,93.937,23.823,69.106,83.022,71.137
576,13.056,14.103,76.064,11.857,94.077,23.799,70.018,83.143,71.331
577,12.884,14.227,75.922,11.843,93.721,24.045,68.944,82.790,73.310
578,12.796,13.637,75.979,11.768,93.711,23.830,68.686,82.834,74.036
579,12.809,13.588,75.950,12.141,93.619,23.749,68.810,82.809,74.134
580,12.858,13.583,75.476,11.774,92.881,23.704,68.807,83.311,75.142
581,12.835,13.499,75.140,11.772,92.914,23.704,68.750,83.931,75.835
582,12.796,13.497,75.798,11.771,92.962,23.681,68.776,83.930,75.887
583,12.793,13.479,75.104,11.694,92.732,23.604,68.803,83.591,75.967
584,12.788,13.746,74.681,11.694,93.524,23.345,68.789,83.599,76.045
585,12.804,13.455,72.281,11.765,93.463,22.483,68.532,83.824,75.820
586,12.771,13.763,72.340,11.662,93.977,22.282,68.806,76.936,76.037
587,12.656,14.715,72.367,11.670,89.703,22.246,59.366,76.578,76.091
588,12.666,13.412,74.090,11.720,89.693,22.244,54.239,76.722,76.101
589,12.586,13.369,71.601,11.961,90.001,22.339,52.638,77.638,76.104
590,12.708,13.359,71.599,11.669,89.219,22.281,53.005,77.661,76.068
591,12.514,12.957,71.599,11.756,89.130,22.108,53.251,78.220,76.105
592,12.506,13.349,71.573,11.709,89.149,22.122,52.736,75.507,76.026
593,12.506,12.907,71.802,11.684,89.154,22.110,52.911,73.749,73.327
594,12.509,12.916,70.258,11.478,89.633,22.108,52.992,73.653,71.043
595,12.506,12.894,70.300,11.527,90.562,22.117,53.344,75.070,71.039
596,12.485,13.029,69.813,11.475,89.918,22.151,52.448,73.646,70.849
597,12.756,12.887,69.521,11.454,89.129,22.289,52.954,73.649,71.107
598,12.593,12.830,69.647,11.454,89.222,22.106,52.448,74.678,71.430
599,12.525,12.844,68.241,11.194,89.057,22.105,53.823,74.672,70.849
600,12.421,12.879,68.225,11.188,89.244,21.994,51.348,74.618,70.896
601,12.508,12.909,68.457,11.151,88.122,21.972,51.522,74.694,71.577
602,12.415,12.806,68.000,11.150,88.208,21.575,51.314,74.597,71.996
603,12.446,12.751,68.031,10.984,87.998,21.358,50.483,75.132,70.519
604,12.415,12.720,66.868,10.998,88.718,21.382,50.508,74.790,70.586
605,12.695,12.732,64.693,11.018,87.851,21.372,50.440,76.318,69.978
606,12.413,12.828,64.608,10.898,87.247,21.358,51.965,76.335,70.298
607,12.322,12.695,64.498,10.872,87.720,21.260,49.708,76.405,70.150
608,12.286,12.692,64.589,10.830,87.735,21.196,49.412,76.355,70.030
609,12.327,11.812,65.955,10.932,87.408,21.244,50.666,76.738,69.421
610,12.286,11.812,64.192,10.837,86.519,21.169,49.823,76.352,69.410
611,12.406,11.840,64.209,10.838,86.346,21.178,47.379,76.350,67.743
612,12.283,11.812,65.214,10.595,86.388,21.389,47.312,76.315,67.377
613,12.219,11.958,63.853,10.624,86.348,21.156,47.326,75.916,67.347
614,12.062,11.832,64.078,10.592,86.061,21.109,46.863,74.658,67.218
615,12.151,11.784,62.746,10.609,85.239,21.255,47.910,75.187,64.989
616,12.101,11.486,61.700,10.558,84.825,20.735,46.663,77.279,65.004
617,12.050,11.502,60.958,10.518,83.708,20.718,49.242,76.671,65.011
618,12.020,11.516,60.970,10.522,83.657,20.632,46.723,78.038,64.904
619,12.077,11.552,61.304,10.529,83.832,20.623,48.000,77.446,64.867
620,12.018,11.588,60.914,10.519,81.027,20.533,46.734,77.542,64.578
621,12.161,11.344,61.172,10.239,80.749,20.582,46.773,75.931,64.376
622,12.003,11.326,61.777,10.223,78.661,20.868,46.403,75.980,64.443
623,11.990,11.268,60.596,10.228,80.565,21.213,46.813,75.510,64.667
624,11.839,11.763,60.595,10.226,78.799,20.562,46.251,76.163,65.507
625,11.567,11.269,60.664,10.220,78.967,20.522,46.279,75.565,64.587
626,12.138,11.421,60.662,10.237,79.115,20.538,45.367,75.572,65.816
627,11.518,11.102,60.105,10.080,78.595,20.909,45.556,75.531,67.576
628,11.518,10.973,60.045,10.040,78.391,20.167,45.516,75.406,68.293
629,11.519,11.397,60.019,10.076,78.583,20.064,45.452,75.619,68.122
630,11.467,10.927,61.416,10.239,77.726,19.855,45.142,76.065,66.878
631,11.464,10.892,60.049,10.035,77.342,19.823,44.703,76.374,66.408
632,11.633,10.840,59.899,10.063,78.005,19.918,43.628,76.369,66.535
633,11.462,11.107,59.684,9.981,77.444,19.233,43.630,77.518,67.168
634,11.476,11.053,59.601,10.133,77.314,19.205,43.415,77.607,67.165
635,11.410,10.840,59.769,9.984,77.325,19.201,45.732,76.487,67.126
636,11.411,10.837,59.871,10.010,77.431,18.865,43.588,74.970,66.622
637,11.427,10.840,59.341,9.988,75.666,19.066,43.697,72.079,67.971
638,11.426,10.866,59.134,10.039,75.436,18.895,43.288,72.383,67.677
639,11.409,10.412,58.970,10.013,76.177,18.857,43.110,72.317,68.041
640,11.325,10.402,60.150,9.945,75.422,18.657,41.758,72.561,67.854
641,11.205,10.570,58.401,9.948,74.777,18.444,41.416,73.335,67.950
642,11.212,10.416,58.079,9.953,75.139,18.319,41.471,71.961,67.635
643,11.230,10.410,58.373,9.951,74.049,18.263,40.916,71.961,67.534
644,11.368,10.385,58.136,10.315,73.556,18.342,41.127,72.398,67.261
645,11.115,10.384,58.128,9.943,73.871,18.262,40.928,72.238,66.904
646,11.133,10.384,58.060,10.204,73.570,18.263,40.657,71.927,67.656
647,11.244,10.384,58.018,9.822,76.044,18.322,42.010,74.134,67.845
648,11.129,10.521,58.018,9.823,73.309,18.366,40.631,71.933,66.839
649,11.063,10.193,58.456,9.831,72.204,18.343,40.413,72.314,66.916
650,11.164,10.186,57.633,9.857,71.729,18.171,40.529,63.974,68.181
651,11.025,10.189,57.628,10.099,71.662,18.631,40.746,65.285,65.896
652,11.050,10.350,59.136,9.909,70.931,18.220,40.086,64.259,65.736
653,10.921,10.052,58.162,9.822,70.938,18.081,39.655,63.924,67.271
654,10.918,10.273,59.428,9.631,72.068,18.132,39.802,64.350,67.619
655,10.918,10.025,57.324,9.515,70.440,18.037,39.658,61.664,68.258
656,10.945,9.782,57.188,9.596,70.390,17.891,39.750,61.750,67.221
657,10.941,9.908,57.273,9.528,70.277,17.964,39.396,63.334,67.076
658,10.980,9.785,57.333,9.512,69.150,17.905,39.380,60.844,67.998
659,10.933,9.819,58.086,9.493,69.152,17.850,38.021,61.966,67.085
660,11.049,9.768,56.924,9.470,69.026,17.851,37.975,60.605,66.601
661,10.912,9.745,56.848,9.481,68.802,17.852,37.381,61.397,66.470
662,10.925,9.748,56.878,9.438,68.845,17.844,36.884,61.005,66.480
663,11.088,9.439,56.848,9.475,66.630,17.758,36.902,60.610,66.472
664,10.869,9.194,56.756,9.442,66.373,17.674,38.440,60.183,64.718
665,10.866,10.118,56.712,9.405,66.504,17.685,36.803,60.478,65.218
666,10.864,9.151,52.710,9.278,66.372,17.303,36.709,59.683,63.994
667,10.863,9.205,52.454,9.274,66.808,17.303,37.389,59.793,63.793
668,10.856,9.261,51.310,9.320,65.978,17.222,36.522,59.926,62.978
669,10.856,9.003,50.551,9.278,65.893,17.239,36.587,59.215,63.622
670,10.778,9.006,50.294,9.305,64.870,17.223,35.605,59.020,64.179
671,10.814,8.934,48.655,9.217,64.907,17.112,34.995,59.057,64.146
672,10.969,9.012,48.605,9.215,64.879,17.194,34.962,58.921,64.174
673,10.642,8.927,48.612,9.138,64.606,17.061,35.142,59.105,63.662
674,10.651,8.879,49.048,9.178,62.316,17.087,34.999,59.641,63.565
675,10.650,8.938,48.851,9.161,63.285,17.156,34.805,57.845,63.824
676,10.652,8.923,49.021,9.138,63.106,17.283,34.714,58.270,63.505
677,10.685,9.026,48.442,9.158,62.011,16.803,34.863,57.633,62.934
678,10.507,8.999,48.921,9.132,61.578,16.805,34.908,57.465,61.490
679,10.499,8.926,48.027,9.125,62.148,16.802,36.725,57.491,61.514
680,10.466,8.818,47.078,9.133,61.282,16.328,34.839,58.113,61.480
681,10.369,8.792,47.018,9.126,61.575,16.379,34.762,57.259,61.913
682,10.542,8.785,47.182,9.049,61.578,16.301,34.561,58.469,61.493
683,10.363,8.824,48.591,9.060,61.315,16.304,34.377,57.510,61.596
684,10.314,8.818,47.447,9.050,63.438,16.301,34.488,57.370,63.414
685,10.315,8.874,46.351,9.154,59.502,16.304,34.347,57.946,61.561
686,10.323,8.791,46.079,9.139,59.501,16.246,34.141,57.211,62.009
687,10.299,8.777,45.804,9.084,58.623,16.257,33.870,57.214,61.588
688,10.298,8.778,45.804,9.012,57.917,16.274,33.878,56.405,60.773
689,10.290,8.789,46.863,9.016,57.241,15.746,33.868,55.885,60.768
690,10.287,8.840,45.160,9.004,56.597,15.788,32.552,55.790,60.865
691,10.265,8.762,44.840,8.993,56.554,15.805,32.700,56.947,60.869
692,10.199,8.770,44.822,8.997,56.667,15.745,32.448,56.400,62.709
693,10.231,8.758,45.258,8.983,48.931,15.745,32.421,55.835,60.898
694,10.119,9.131,46.183,8.982,47.307,15.801,31.648,56.695,60.612
695,10.349,8.733,44.009,9.088,47.512,15.688,32.052,55.784,60.607
696,10.135,8.917,43.767,8.958,47.338,15.706,32.180,55.734,60.834
697,10.239,8.913,44.193,8.961,46.072,15.772,31.663,56.891,60.162
698,10.124,8.736,43.209,9.002,47.407,15.697,30.635,55.947,60.147
699,10.150,8.694,43.820,8.916,45.794,15.612,30.658,55.885,60.532
700,10.101,8.920,42.838,8.857,45.762,15.047,30.635,55.739,60.932
701,10.102,8.672,43.231,8.856,46.995,15.000,30.614,55.586,60.069
702,10.105,8.676,42.616,8.614,45.993,15.000,30.361,55.683,59.977
703,10.166,8.673,42.449,8.550,45.760,15.020,30.452,55.615,59.953
704,10.099,8.736,43.078,8.548,46.165,15.014,30.418,55.181,59.883
705,10.114,8.803,42.459,8.523,45.753,14.992,30.622,55.370,59.516
706,10.088,8.843,42.586,8.519,45.168,14.978,30.692,56.441,57.905
707,10.087,8.671,42.277,8.521,45.404,15.090,30.731,55.083,58.576
708,10.082,8.615,42.274,8.523,44.979,15.033,30.335,55.161,57.772
709,10.145,8.751,41.650,8.552,45.061,14.997,30.587,55.024,58.206
710,10.117,8.742,41.641,8.484,45.002,14.972,30.425,55.048,55.331
711,10.012,8.449,41.094,8.570,45.218,14.914,30.320,55.157,55.364
712,9.981,8.379,41.303,8.483,44.770,14.678,30.477,54.853,54.399
713,9.985,8.384,41.191,8.477,44.544,14.708,30.360,54.855,54.326
714,9.992,8.378,41.273,8.483,44.789,14.554,28.940,54.986,53.557
715,9.981,8.377,42.035,8.568,43.960,14.593,28.826,54.880,53.897
716,10.019,8.601,41.625,8.524,43.603,14.652,30.924,56.681,53.587
717,9.955,8.416,40.861,8.477,44.129,14.579,28.829,54.840,53.462
718,9.954,8.370,41.811,8.608,43.601,14.555,28.816,58.707,53.108
