Algorithm,Iteration,NumberOfPoints,Evaluation,TrainingTime
GA,10,60,0.07165916525774331,1.7061386E7
MIMIC,10,60,0.04219696569054219,8.19575064E8
RHC,10,80,0.03064383869022159,231187.0
SA,10,80,0.023062657359290393,237488.0
GA,10,80,0.0525123187725163,2.761605E7
MIMIC,10,80,0.027158762718285417,1.804637688E9
RHC,30,10,0.2928882603042365,65378.0
SA,30,10,0.2160428713623124,79951.0
GA,30,10,0.30849950617626165,4882108.0
MIMIC,30,10,0.28580837025193434,3.1478492E7
RHC,30,20,0.1752632727038977,203618.0
SA,30,20,0.07705552917723539,215040.0
GA,30,20,0.2387542678641521,1.7712412E7
MIMIC,30,20,0.1691905963580904,1.15137568E8
RHC,30,40,0.10061854843086308,350128.0
SA,30,40,0.042085598445682354,391088.0
GA,30,40,0.12899722977640035,3.5783223E7
MIMIC,30,40,0.06501200424343222,5.38246923E8
RHC,30,60,0.05767450863304896,268996.0
SA,30,60,0.03658877564215977,276086.0
GA,30,60,0.12239798231972718,2.8638866E7
MIMIC,30,60,0.05965043862762967,1.630661183E9
RHC,30,80,0.0375933152556906,304049.0
SA,30,80,0.023241570972491327,326892.0
GA,30,80,0.08996162006846725,3.565089E7
MIMIC,30,80,0.03625373117140326,3.826722966E9
RHC,60,10,0.41331802543080653,119729.0
SA,60,10,0.225537985895852,241034.0
GA,60,10,0.41331802543080665,8870187.0
MIMIC,60,10,0.3117724665087111,2.6806303E7
RHC,60,20,0.20640374297207129,212283.0
SA,60,20,0.08881237433014413,215434.0
GA,60,20,0.23241880676084675,1.4956281E7
MIMIC,60,20,0.1791641397782432,1.06167345E8
RHC,60,40,0.10083206197700478,320984.0
SA,60,40,0.050544964654562326,347372.0
GA,60,40,0.18702387492311803,3.0588007E7
MIMIC,60,40,0.10147066682499964,6.88128356E8
RHC,60,60,0.07628865211992288,458042.0
SA,60,60,0.03164362608980161,494670.0
GA,60,60,0.14399241115827158,4.7609614E7
MIMIC,60,60,0.05993360513401515,3.253061065E9
RHC,60,80,0.046850834110611,618337.0
SA,60,80,0.025250802162203604,632910.0
GA,60,80,0.09504602862450223,6.7373961E7
MIMIC,60,80,0.04518890619699169,9.374045664E9
RHC,100,10,0.34099977968407946,306806.0
SA,100,10,0.3347808247507049,511999.0
GA,100,10,0.3250623334977242,2.4956805E7
MIMIC,100,10,0.341087820747135,6.4657215E7
RHC,100,20,0.18172191655114564,428504.0
SA,100,20,0.2130016118237978,601008.0
GA,100,20,0.2530888052983378,3.1303625E7
MIMIC,100,20,0.18040908370819822,2.03144698E8
RHC,100,40,0.11375372245172405,564774.0
SA,100,40,0.10163003029788527,675445.0
GA,100,40,0.16050404828854875,5.1559096E7
MIMIC,100,40,0.101998517261853,1.566764485E9
RHC,100,60,0.07895610701066111,756577.0
SA,100,60,0.05737804222023378,855038.0
GA,100,60,0.1328892206097233,7.7830952E7
MIMIC,100,60,0.06851672200386744,4.421109407E9
RHC,100,80,0.05311920326387037,1002336.0
SA,100,80,0.04039290563549588,1096071.0
GA,100,80,0.11717471284388883,1.01976041E8
MIMIC,100,80,0.04910695007958834,1.6063362644E10
RHC,200,10,0.4882950815753838,372972.0
SA,200,10,0.4882950815753838,911358.0
GA,200,10,0.4882950815753839,3.0343823E7
MIMIC,200,10,0.4149579981974412,8.7267488E7
RHC,200,20,0.22356062158157233,591949.0
SA,200,20,0.1762862717647472,1121278.0
GA,200,20,0.23264769615376898,4.0980014E7
MIMIC,200,20,0.18084273602933357,5.08405253E8
RHC,200,40,0.1296205557520252,1780181.0
SA,200,40,0.1139762527072077,2694691.0
GA,200,40,0.15613383741207798,1.37110994E8
MIMIC,200,40,0.10506253525921098,2.838782119E9
RHC,200,60,0.07085975648173884,1767579.0
SA,200,60,0.0741037481707369,2356771.0
GA,200,60,0.11907971958965026,1.61721215E8
MIMIC,200,60,0.06644908599045544,1.034454979E10
RHC,200,80,0.06161648355115835,4272435.0
SA,200,80,0.059241167672411665,5355511.0
GA,200,80,0.12278451197131317,3.22115959E8
MIMIC,200,80,0.05451885209261704,3.1478669921E10
RHC,400,10,0.4643460080666793,736491.0
