Algorithm,Iteration,Nodes,TrainTest,Evaluation,Time
RHC,10,10,train,86.593,0.018
RHC,10,10,test,86.842,0.000
SA,10,10,train,82.418,0.018
SA,10,10,test,77.193,0.001
GA,10,10,train,88.791,0.778
GA,10,10,test,86.842,0.001
RHC,10,80,train,63.956,0.102
RHC,10,80,test,67.544,0.002
SA,10,80,train,81.319,0.107
SA,10,80,test,79.825,0.002
GA,10,80,train,95.824,6.777
GA,10,80,test,95.614,0.002
RHC,30,10,train,76.484,0.059
RHC,30,10,test,78.947,0.001
SA,30,10,train,49.890,0.068
SA,30,10,test,50.877,0.001
GA,30,10,train,96.703,3.113
GA,30,10,test,95.614,0.001
RHC,30,80,train,25.714,0.309
RHC,30,80,test,26.316,0.002
SA,30,80,train,75.604,0.309
SA,30,80,test,75.439,0.002
GA,30,80,train,98.242,20.358
GA,30,80,test,97.368,0.002
RHC,100,10,train,90.330,0.423
RHC,100,10,test,92.982,0.001
SA,100,10,train,52.967,0.414
SA,100,10,test,42.982,0.001
GA,100,10,train,97.582,11.827
GA,100,10,test,97.368,0.001
RHC,100,80,train,69.011,1.516
RHC,100,80,test,62.281,0.004
SA,100,80,train,77.802,1.466
SA,100,80,test,82.456,0.002
GA,100,80,train,98.242,71.272
GA,100,80,test,98.246,0.004
RHC,300,10,train,90.110,1.144
RHC,300,10,test,87.719,0.001
SA,300,10,train,82.857,1.051
SA,300,10,test,80.702,0.001
GA,300,10,train,98.901,29.696
GA,300,10,test,98.246,0.000
RHC,300,80,train,93.846,3.344
RHC,300,80,test,96.491,0.002
SA,300,80,train,89.011,5.079
SA,300,80,test,86.842,0.002
GA,300,80,train,99.121,233.052
GA,300,80,test,97.368,0.004
RHC,1000,10,train,99.341,4.084
RHC,1000,10,test,97.368,0.001
SA,1000,10,train,97.802,3.785
SA,1000,10,test,98.246,0.001
GA,1000,10,train,99.341,99.920
GA,1000,10,test,99.123,0.001
RHC,1000,80,train,97.802,16.320
RHC,1000,80,test,97.368,0.004
SA,1000,80,train,98.901,16.727
SA,1000,80,test,98.246,0.002
GA,1000,80,train,99.560,721.132
GA,1000,80,test,97.368,0.002
RHC,10,10,train,58.462,0.019
RHC,10,10,test,61.404,0.000
SA,10,10,train,51.429,0.023
SA,10,10,test,45.614,0.000
GA,10,10,train,92.747,0.789
GA,10,10,test,85.965,0.000
RHC,10,80,train,65.275,0.103
RHC,10,80,test,71.053,0.002
SA,10,80,train,50.989,0.102
SA,10,80,test,41.228,0.002
GA,10,80,train,94.725,6.736
GA,10,80,test,92.982,0.002
RHC,30,10,train,43.077,0.140
RHC,30,10,test,41.228,0.001
SA,30,10,train,83.077,0.147
SA,30,10,test,86.842,0.001
GA,30,10,train,96.044,3.792
GA,30,10,test,95.614,0.001
RHC,30,80,train,70.989,0.559
RHC,30,80,test,69.298,0.003
SA,30,80,train,22.198,0.536
SA,30,80,test,21.930,0.004
GA,30,80,train,95.604,21.475
GA,30,80,test,96.491,0.002
RHC,100,10,train,69.670,0.195
RHC,100,10,test,68.421,0.000
SA,100,10,train,52.967,0.192
SA,100,10,test,49.123,0.000
GA,100,10,train,98.462,8.525
GA,100,10,test,98.246,0.001
RHC,100,80,train,74.066,1.070
RHC,100,80,test,78.947,0.002
SA,100,80,train,80.879,1.086
SA,100,80,test,81.579,0.002
GA,100,80,train,98.901,72.056
GA,100,80,test,97.368,0.002
RHC,300,10,train,95.165,0.948
RHC,300,10,test,92.105,0.001
SA,300,10,train,93.626,0.676
SA,300,10,test,92.105,0.001
GA,300,10,train,98.681,25.609
GA,300,10,test,97.368,0.000
RHC,300,80,train,86.374,3.207
RHC,300,80,test,84.211,0.002
SA,300,80,train,90.110,3.905
SA,300,80,test,87.719,0.002
GA,300,80,train,99.121,204.171
GA,300,80,test,98.246,0.002
RHC,1000,10,train,98.901,2.739
RHC,1000,10,test,97.368,0.001
SA,1000,10,train,99.121,3.538
SA,1000,10,test,98.246,0.001
GA,1000,10,train,99.341,88.838
GA,1000,10,test,97.368,0.001
RHC,1000,80,train,96.044,15.205
RHC,1000,80,test,95.614,0.002
SA,1000,80,train,99.341,11.253
SA,1000,80,test,98.246,0.002
GA,1000,80,train,99.341,715.869
GA,1000,80,test,96.491,0.002
