Iteration,RHC,SA,GA
227,16.242,27.016,3.524
228,16.142,26.939,3.812
229,16.964,26.939,3.639
230,16.321,27.273,3.576
231,15.946,27.020,3.274
232,15.940,27.010,3.995
233,15.901,26.755,3.155
234,15.924,27.286,3.268
235,15.908,26.795,3.423
236,15.904,26.849,3.313
237,15.864,27.066,3.575
238,15.817,26.979,3.203
239,15.660,26.236,3.549
240,15.829,26.294,3.158
241,15.686,26.274,3.261
242,15.668,26.277,3.516
243,15.992,26.409,3.240
244,15.754,26.048,3.472
245,15.668,26.048,3.436
246,16.091,25.686,3.455
247,15.660,26.124,3.497
248,15.615,25.542,3.453
249,16.270,25.542,3.191
250,15.494,25.571,3.108
251,16.080,24.967,3.279
252,15.494,24.979,3.433
253,15.494,25.920,3.490
254,15.249,25.078,3.319
255,15.251,24.637,3.338
256,15.240,24.571,3.771
257,15.247,24.570,3.514
258,15.292,24.039,3.327
259,15.247,24.047,3.075
260,15.394,24.039,3.199
261,15.094,24.541,3.387
262,15.128,23.681,3.313
263,15.096,23.598,3.998
264,15.066,23.598,3.400
265,15.227,23.257,3.493
266,15.067,23.224,3.089
267,14.892,22.318,2.843
268,13.317,22.441,3.032
269,13.371,21.360,3.193
270,13.198,21.360,3.281
271,13.146,21.498,3.061
272,13.164,21.422,3.118
273,13.140,21.375,2.959
274,12.905,21.434,3.400
275,12.917,19.231,3.080
276,12.818,19.202,3.120
277,12.805,19.210,2.925
278,12.703,19.161,3.353
279,12.706,19.216,3.802
280,12.748,19.176,3.144
281,12.603,18.926,3.260
282,12.686,19.107,3.243
283,12.600,18.293,3.060
284,12.380,18.669,3.670
285,12.512,18.742,3.931
286,12.382,17.958,3.135
287,12.693,17.705,3.075
288,12.380,18.008,3.233
289,12.385,17.705,2.988
290,12.361,17.400,3.401
291,13.113,17.534,3.346
292,12.353,17.423,3.714
293,11.719,17.782,3.042
294,11.922,17.899,3.551
295,11.750,17.366,3.259
296,11.719,17.366,3.934
297,11.581,17.370,3.035
298,11.708,17.368,3.597
299,11.579,17.378,3.040
300,11.580,15.529,3.006
301,11.674,15.551,3.359
302,11.406,15.405,3.287
303,11.373,15.355,3.304
304,11.375,15.063,3.296
305,11.306,15.028,3.353
306,11.165,15.078,3.015
307,11.172,15.481,3.161
308,11.168,15.043,2.839
309,10.950,14.889,2.955
310,11.234,14.923,3.127
311,11.779,14.904,2.931
312,10.950,14.887,3.340
313,10.952,14.766,3.160
314,10.955,14.799,3.246
315,11.117,14.832,2.791
316,11.585,15.454,3.075
317,10.951,14.762,2.932
318,10.895,15.056,2.949
319,10.898,14.762,3.122
320,10.883,14.824,2.991
321,10.883,14.762,3.300
322,10.808,14.591,2.869
323,10.719,14.993,2.929
324,10.515,14.596,2.821
325,10.501,14.753,3.069
326,10.603,14.605,3.019
327,10.460,15.171,3.055
328,10.624,14.601,3.366
329,10.437,14.591,3.088
330,10.436,14.648,3.041
331,10.436,14.635,3.213
332,10.506,14.588,3.076
