gridWorld,iteration,learningRate,lastMaxDelta,rewards,numOfActions,runningTime
small,105,0.1,0.13821968515052152,-21,21,2.6738955E7
small,109,0.1,0.09119774748826082,-4,4,2.7139102E7
small,113,0.1,0.16658826823383932,-9,9,2.7406523E7
small,117,0.1,0.2146212447170608,-6,6,2.7694031E7
small,121,0.1,0.06113034842476117,-4,4,2.7894498E7
small,125,0.1,0.1974435784509896,-6,6,2.9360391E7
small,129,0.1,0.09849097136657159,-4,4,2.9814101E7
small,133,0.1,0.06344922489680549,-4,4,3.0207552E7
small,137,0.1,0.09868028573797294,-4,4,3.0777447E7
small,141,0.1,0.036333415412590275,-3,3,3.1143329E7
small,145,0.1,0.09876161646147796,-6,6,3.1497396E7
small,149,0.1,0.22451776870148032,-14,14,3.1996792E7
small,153,0.1,0.07507971482572806,-3,3,3.2326441E7
small,157,0.1,0.06026575338423257,-3,3,3.3129492E7
small,1,0.1,0.1,-15,15,303655.0
small,5,0.1,0.125321039674674,-52,52,3687181.0
small,9,0.1,0.12566667555008998,-18,18,4659979.0
small,13,0.1,0.09947829689999999,-5,5,5133381.0
small,17,0.1,0.09935144820134945,-4,4,6323976.0
small,21,0.1,0.02761587616599004,-3,3,6866301.0
small,25,0.1,0.13434617482228384,-46,46,7323950.0
small,29,0.1,0.018118776352506027,-3,3,7859974.0
small,33,0.1,0.09710093124881336,-5,5,8384182.0
small,37,0.1,0.09901528333170306,-7,7,8716981.0
small,41,0.1,0.11862737697617654,-9,9,9767761.0
small,45,0.1,0.14963769470355448,-30,30,1.0193114E7
small,49,0.1,0.16471696554721005,-12,12,1.0565298E7
small,53,0.1,0.08768845581402473,-5,5,1.0792153E7
small,57,0.1,0.13750964723903847,-28,28,1.1198995E7
small,61,0.1,0.13334803439048626,-47,47,1.1704299E7
small,65,0.1,0.049516575893327586,-3,3,1.2000471E7
small,69,0.1,0.0812943432718849,-4,4,1.2216298E7
small,73,0.1,0.1206081321406356,-8,8,1.2421885E7
small,77,0.1,0.07535746171927693,-4,4,1.2716088E7
small,81,0.1,0.07640476183433087,-7,7,1.2891743E7
small,85,0.1,0.09627828189248078,-4,4,1.3326155E7
small,89,0.1,0.04378867237873063,-3,3,1.3801132E7
small,93,0.1,0.045514639920018585,-3,3,1.4148504E7
small,97,0.1,0.20045859254423126,-10,10,1.4346214E7
small,101,0.1,0.23717164521688971,-11,11,1.4676257E7
small,105,0.1,0.1646380641948364,-11,11,1.5057105E7
small,109,0.1,0.09726578487153192,-4,4,1.52686E7
small,113,0.1,0.13851877959520875,-36,36,1.5631726E7
small,117,0.1,0.16937045742491952,-11,11,1.5831799E7
small,121,0.1,0.0974045169380644,-4,4,1.5988944E7
small,125,0.1,0.10775427917965041,-3,3,1.6157903E7
small,129,0.1,0.02917154509833253,-3,3,1.63245E7
small,133,0.1,0.09675423076924794,-3,3,1.6489521E7
small,137,0.1,0.17646071626975823,-43,43,1.6900302E7
small,141,0.1,0.04464950214539343,-3,3,1.7075563E7
small,145,0.1,0.14087604714339985,-18,18,1.7323292E7
small,149,0.1,0.03348509576898184,-3,3,1.7486738E7
small,153,0.1,0.04718581009037681,-3,3,1.7658455E7
small,157,0.1,0.030958610000296316,-4,4,1.7896337E7
small,1,0.1,0.10880999999999999,-43,43,346190.0
small,5,0.1,0.1097901,-11,11,1538360.0
small,9,0.1,0.14571287342036454,-29,29,2656881.0
small,13,0.1,0.1512118464056167,-12,12,3065299.0
small,17,0.1,0.09878165219368262,-7,7,3759255.0
small,21,0.1,0.16204311807566008,-22,22,4441789.0
small,25,0.1,0.13250004790883652,-146,146,5567793.0
small,29,0.1,0.17473420115698368,-49,49,6707976.0
small,33,0.1,0.14439144739433218,-8,8,6969883.0
small,37,0.1,0.18250847204923604,-26,26,7629574.0
small,41,0.1,0.03910721110603799,-3,3,7818226.0
small,45,0.1,0.17994485007229954,-7,7,7981672.0
small,49,0.1,0.09685359841711216,-5,5,8137241.0
small,53,0.1,0.11702213564868003,-6,6,8603948.0
small,57,0.1,0.09749558848355999,-5,5,8770938.0
small,61,0.1,0.1952607569350363,-21,21,9162026.0
small,65,0.1,0.02841503678866175,-3,3,9506247.0
small,69,0.1,0.06037379364810702,-3,3,9760672.0
small,73,0.1,0.03961124601252286,-3,3,9886702.0
small,77,0.1,0.18926684250668524,-32,32,1.0560966E7
small,81,0.1,0.054445854874873856,-3,3,1.0819722E7
small,85,0.1,0.19608511188397015,-41,41,1.1388435E7
small,89,0.1,0.09869305425476371,-3,3,1.1902009E7
small,93,0.1,0.08441402281003452,-4,4,1.2261196E7
small,97,0.1,0.09699912794628096,-4,4,1.2546341E7
small,101,0.1,0.09683262061968811,-4,4,1.2728691E7
small,105,0.1,0.07850743620734502,-3,3,1.2871263E7
small,109,0.1,0.24719928453038253,-13,13,1.308906E7
small,113,0.1,0.23842238827317974,-19,19,1.3324579E7
small,117,0.1,0.062433831860779776,-3,3,1.3585305E7
small,121,0.1,0.04915925070929683,-3,3,1.406107E7
small,125,0.1,0.0972604408683484,-7,7,1.4222941E7
small,129,0.1,0.04478401325721837,-4,4,1.449942E7
small,133,0.1,0.10085077831964506,-7,7,1.469398E7
small,137,0.1,0.18521167891797763,-13,13,1.4906656E7
small,141,0.1,0.16556503632614072,-10,10,1.5299714E7
small,145,0.1,0.08837034299048918,-5,5,1.5528144E7
small,149,0.1,0.13071823930994197,-3,3,1.5717978E7
small,153,0.1,0.10359942351158336,-7,7,1.5919233E7
small,157,0.1,0.0977336843851444,-10,10,1.613191E7
small,1,0.1,0.1,-13,13,127213.0
small,5,0.1,0.12789489920259212,-72,72,1239826.0
small,9,0.1,0.1798604034928779,-123,123,2978260.0
small,13,0.1,0.13571669919884743,-25,25,3754135.0
small,17,0.1,0.14557090996572297,-37,37,4529617.0
small,21,0.1,0.1491310764480357,-28,28,4934490.0
small,25,0.1,0.03490275745047722,-3,3,5778107.0
small,29,0.1,0.17705772579675272,-104,104,6741059.0
small,33,0.1,0.1145708076541212,-8,8,7105366.0
small,37,0.1,0.023412753991052027,-3,3,7333403.0
small,41,0.1,0.20013895082672262,-5,5,7544898.0
small,45,0.1,0.024109778362436662,-3,3,7930866.0
small,49,0.1,0.19444217561124066,-101,101,8568896.0
small,53,0.1,0.09205049411588018,-4,4,8959591.0
small,57,0.1,0.09624783567249606,-6,6,9180144.0
small,61,0.1,0.037680136841833134,-3,3,9376279.0
small,65,0.1,0.02472193778192655,-3,3,9509793.0
small,69,0.1,0.04717798220591263,-3,3,9675602.0
small,73,0.1,0.09409808713679801,-5,5,9881977.0
small,77,0.1,0.03579657377351797,-3,3,1.0036758E7
small,81,0.1,0.21871312955090016,-6,6,1.0235256E7
small,85,0.1,0.04181189160604859,-4,4,1.0417213E7
small,89,0.1,0.16786760934070943,-29,29,1.0715354E7
small,93,0.1,0.09733826346247065,-4,4,1.0944178E7
small,97,0.1,0.17903490994638682,-11,11,1.1313999E7
small,101,0.1,0.17727893649705662,-43,43,1.2199757E7
small,105,0.1,0.22454315281400516,-10,10,1.2645984E7
small,109,0.1,0.15946046394378244,-29,29,1.3081971E7
small,113,0.1,0.09925326641993237,-3,3,1.3387989E7
small,117,0.1,0.08039514580014528,-3,3,1.3560493E7
small,121,0.1,0.05860806128830576,-3,3,1.391141E7
small,125,0.1,0.09584313490075136,-5,5,1.4148898E7
small,129,0.1,0.05546255026228497,-3,3,1.4368664E7
small,133,0.1,0.06815981384771552,-3,3,1.4551802E7
small,137,0.1,0.04471965386548615,-3,3,1.4679802E7
small,141,0.1,0.03678694964461915,-3,3,1.4830251E7
small,145,0.1,0.05312026550364424,-3,3,1.50831E7
small,149,0.1,0.12416698057383435,-6,6,1.527569E7
small,153,0.1,0.048053147898031945,-3,3,1.5568711E7
small,157,0.1,0.2204016416078063,-8,8,1.5828649E7
small,1,0.1,0.1,-21,21,177231.0
small,5,0.1,0.12029967885155934,-84,84,1090165.0
small,9,0.1,0.1252975399847912,-124,124,2735257.0
small,13,0.1,0.11630623644731153,-39,39,3941606.0
small,17,0.1,0.1542339980448295,-31,31,4435882.0
small,21,0.1,0.14984077168096666,-14,14,5027831.0
small,25,0.1,0.10263336929913214,-13,13,5671375.0
small,29,0.1,0.22108261927844186,-75,75,6836764.0
small,33,0.1,0.09920440011000631,-7,7,7035262.0
small,37,0.1,0.08836160508357604,-4,4,7353883.0
small,41,0.1,0.15093435458660887,-9,9,7561439.0
small,45,0.1,0.030943350519036406,-3,3,8012786.0
small,49,0.1,0.217953182138525,-19,19,8306595.0
small,53,0.1,0.1971685785735997,-6,6,8971406.0
small,57,0.1,0.0491216298692585,-3,3,9100587.0
small,61,0.1,0.05307175556919663,-3,3,9279393.0
small,65,0.1,0.2030000322269243,-5,5,9498765.0
small,69,0.1,0.07092109297272886,-3,3,9670088.0
small,73,0.1,0.09915746877495113,-6,6,9859921.0
small,77,0.1,0.16679086154047162,-7,7,1.0221472E7
small,81,0.1,0.0797800197581573,-3,3,1.0359711E7
small,85,0.1,0.025110587813383045,-3,3,1.0523551E7
small,89,0.1,0.05266139399668335,-3,3,1.0696055E7
small,93,0.1,0.044856434561269865,-3,3,1.0851624E7
small,97,0.1,0.09841353708382172,-7,7,1.1043821E7
small,101,0.1,0.1671176962029972,-19,19,1.1357716E7
small,105,0.1,0.0975258265816974,-4,4,1.1789764E7
small,109,0.1,0.038809117518731284,-3,3,1.2230871E7
small,113,0.1,0.15108138301933383,-8,8,1.2415585E7
small,117,0.1,0.0594499504859185,-3,3,1.2580212E7
small,121,0.1,0.03900511251381111,-3,3,1.2723572E7
small,125,0.1,0.06005229842157056,-5,5,1.2906316E7
small,129,0.1,0.17650452809405426,-53,53,1.3296617E7
small,133,0.1,0.16289972417871135,-9,9,1.3460063E7
small,137,0.1,0.17829465810555867,-7,7,1.3701096E7
small,141,0.1,0.13255624253790277,-20,20,1.3927557E7
small,145,0.1,0.04603055444563431,-3,3,1.4085489E7
small,149,0.1,0.21227046346223188,-11,11,1.4321797E7
small,153,0.1,0.18577103759855973,-5,5,1.4472639E7
small,157,0.1,0.17652896269996066,-12,12,1.4710128E7
small,1,0.1,0.1099,-14,14,107126.0
small,5,0.1,0.13831426301328,-103,103,1234706.0
small,9,0.1,0.12079816398173193,-46,46,2336291.0
small,13,0.1,0.15928705355714856,-11,11,2921940.0
small,17,0.1,0.14949998331930314,-32,32,3594628.0
small,21,0.1,0.17623932210708948,-16,16,4190516.0
small,25,0.1,0.10389288836767618,-8,8,4897074.0
small,29,0.1,0.15915165880595072,-76,76,5672556.0
small,33,0.1,0.03862825725543817,-3,3,6080580.0
small,37,0.1,0.1155218282096584,-5,5,6624874.0
small,41,0.1,0.165928306140119,-24,24,7006905.0
small,45,0.1,0.03220991398500206,-3,3,7427138.0
small,49,0.1,0.0974297151530501,-6,6,7654386.0
small,53,0.1,0.13174650947892896,-20,20,8143543.0
small,57,0.1,0.0986955040570241,-6,6,8522422.0
small,61,0.1,0.1655194590639386,-105,105,9353830.0
small,65,0.1,0.18841641092456918,-16,16,9562962.0
small,69,0.1,0.03762390736230281,-3,3,9788241.0
small,73,0.1,0.09867320639425214,-4,4,9928844.0
small,77,0.1,0.04338512877824918,-3,3,1.0063539E7
small,81,0.1,0.0820437523067461,-7,7,1.0383342E7
small,85,0.1,0.16688535564327056,-7,7,1.0572387E7
small,89,0.1,0.034257109276726316,-3,3,1.0729138E7
small,93,0.1,0.16443414572524362,-7,7,1.0916608E7
small,97,0.1,0.03514147294798775,-3,3,1.106627E7
small,101,0.1,0.03756416716708344,-3,3,1.1334478E7
small,105,0.1,0.1314964769146787,-14,14,1.1573936E7
small,109,0.1,0.05197010078956277,-3,3,1.1882317E7
small,113,0.1,0.11954514125007432,-9,9,1.2096569E7
small,117,0.1,0.14006021581499128,-42,42,1.255343E7
small,121,0.1,0.09680344757344628,-3,3,1.2828728E7
small,125,0.1,0.1846752489670931,-7,7,1.2985085E7
small,129,0.1,0.09605523678854988,-8,8,1.3140654E7
small,133,0.1,0.1662023013319529,-40,40,1.3733785E7
small,137,0.1,0.04812457570825179,-3,3,1.3892111E7
small,141,0.1,0.09745010740843796,-4,4,1.4068554E7
small,145,0.1,0.23653060079183597,-8,8,1.4306042E7
small,149,0.1,0.09723368489988049,-6,6,1.4494301E7
small,153,0.1,0.11712704608301117,-7,7,1.4666017E7
small,157,0.1,0.09589603870914232,-4,4,1.5013783E7
small,1,0.1,0.1099,-46,46,283569.0
small,5,0.1,0.1097901,-14,14,1462742.0
small,9,0.1,0.1099310679488048,-21,21,2586383.0
small,13,0.1,0.13205198318795142,-14,14,3235047.0
small,17,0.1,0.11920861157637874,-10,10,4293309.0
small,21,0.1,0.09841194418156407,-5,5,4494958.0
small,25,0.1,0.19143917092189966,-5,5,5074699.0
small,29,0.1,0.12860268912456663,-10,10,5306674.0
small,33,0.1,0.13357902228682073,-80,80,6180617.0
small,37,0.1,0.09697880612175114,-4,4,6878905.0
small,41,0.1,0.1567833302209638,-12,12,7209341.0
small,45,0.1,0.022303982187169114,-3,3,7535839.0
small,49,0.1,0.020057006246147147,-3,3,7861155.0
small,53,0.1,0.03501199231701202,-3,3,8072257.0
small,57,0.1,0.025523742399101712,-3,3,8543296.0
small,61,0.1,0.0832356263355627,-4,4,8700834.0
small,65,0.1,0.17646941249735493,-37,37,9034027.0
small,69,0.1,0.18572794566811734,-15,15,9496008.0
small,73,0.1,0.06558784388409178,-3,3,9844561.0
small,77,0.1,0.2363074052992329,-8,8,1.0050148E7
small,81,0.1,0.09486058946269016,-4,4,1.0212807E7
small,85,0.1,0.09622134433669194,-6,6,1.0379403E7
small,89,0.1,0.10690056939252202,-5,5,1.0939451E7
small,93,0.1,0.06069832664407371,-4,4,1.1403795E7
small,97,0.1,0.09815029845904455,-8,8,1.1588509E7
small,101,0.1,0.09846889363330957,-7,7,1.1832299E7
small,105,0.1,0.16639633075966564,-9,9,1.2081209E7
small,109,0.1,0.06523468519125197,-3,3,1.2339178E7
small,113,0.1,0.04280047695398026,-4,4,1.2557369E7
small,117,0.1,0.1664004412421951,-9,9,1.2841725E7
small,121,0.1,0.15907373574397976,-33,33,1.33041E7
small,125,0.1,0.22350084587541863,-5,5,1.3541195E7
small,129,0.1,0.13047362980943955,-3,3,1.3976E7
small,133,0.1,0.09732145874542031,-5,5,1.4151261E7
small,137,0.1,0.23143965779054043,-7,7,1.4329279E7
small,141,0.1,0.06463238304666974,-3,3,1.449627E7
small,145,0.1,0.09797764642753837,-6,6,1.4691223E7
small,149,0.1,0.09606622991449232,-5,5,1.4864121E7
small,153,0.1,0.04149636290257375,-3,3,1.5081918E7
small,157,0.1,0.04960703176597381,-4,4,1.531153E7
small,1,0.1,0.1099,-63,63,359581.0
small,5,0.1,0.11833547238487879,-20,20,998004.0
small,9,0.1,0.13558455408357784,-128,128,2231922.0
small,13,0.1,0.11381652670677489,-23,23,2576537.0
small,17,0.1,0.16095612786989777,-46,46,3121225.0
small,21,0.1,0.09948970986128225,-14,14,3549729.0
small,25,0.1,0.14361043652019712,-39,39,3971144.0
small,29,0.1,0.21363440669837175,-64,64,4753321.0
small,33,0.1,0.039461874094052884,-3,3,5674132.0
small,37,0.1,0.13265928168894314,-56,56,6101060.0
small,41,0.1,0.18196318470810757,-7,7,6298770.0
small,45,0.1,0.13755860783951102,-14,14,6531139.0
small,49,0.1,0.02720538936599115,-3,3,6830462.0
small,53,0.1,0.1976120335324536,-5,5,6984455.0
small,57,0.1,0.13533884332453283,-35,35,7239667.0
small,61,0.1,0.223783215568649,-6,6,7439347.0
small,65,0.1,0.18918828969819645,-5,5,7921020.0
small,69,0.1,0.09849351696738196,-7,7,8553930.0
small,73,0.1,0.1957462607883893,-14,14,8718557.0
small,77,0.1,0.16329650914428706,-5,5,8880427.0
small,81,0.1,0.13131314842070907,-39,39,9262457.0
small,85,0.1,0.05177002923794083,-3,3,9491676.0
small,89,0.1,0.2437045817097785,-5,5,9705927.0
small,93,0.1,0.10612670941795699,-11,11,1.0143884E7
small,97,0.1,0.04121352983643867,-3,3,1.0269914E7
small,101,0.1,0.0987589470406034,-5,5,1.0492043E7
small,105,0.1,0.1715927711813534,-19,19,1.0775612E7
small,109,0.1,0.2437170710604306,-7,7,1.0944965E7
small,113,0.1,0.2003138806448499,-14,14,1.1160399E7
small,117,0.1,0.07795947955395288,-3,3,1.1607807E7
small,121,0.1,0.15330680683226472,-15,15,1.1796853E7
small,125,0.1,0.1583922245403846,-15,15,1.1982354E7
small,129,0.1,0.09861715990735109,-5,5,1.2152889E7
small,133,0.1,0.07913647270067425,-3,3,1.2317123E7
small,137,0.1,0.2117147301698914,-6,6,1.2488839E7
small,141,0.1,0.1281443519771006,-6,6,1.2670008E7
small,145,0.1,0.18508910865371186,-22,22,1.2894894E7
small,149,0.1,0.05850181814270705,-3,3,1.3030377E7
small,153,0.1,0.049217831014300994,-4,4,1.3156801E7
small,157,0.1,0.06724088856498489,-5,5,1.3630204E7
small,1,0.1,0.1099,-16,16,109489.0
small,5,0.1,0.13009960715087782,-64,64,1081106.0
small,9,0.1,0.1513009225680978,-11,11,2043271.0
small,13,0.1,0.15751273214508288,-42,42,2655306.0
small,17,0.1,0.14984069236205122,-120,120,3585963.0
small,21,0.1,0.17673867241938312,-62,62,4324423.0
small,25,0.1,0.1873305765842712,-22,22,4890773.0
small,29,0.1,0.09860933446363473,-18,18,5221997.0
small,33,0.1,0.1336391366137688,-79,79,5735178.0
small,37,0.1,0.17096565396135266,-24,24,6404321.0
small,41,0.1,0.11157091142382258,-14,14,6793834.0
small,45,0.1,0.15444276714189398,-41,41,7760725.0
small,49,0.1,0.0903433550345305,-5,5,7910780.0
small,53,0.1,0.15252872234213344,-16,16,8116367.0
small,57,0.1,0.09600817656823013,-5,5,8480281.0
small,61,0.1,0.09851310555637416,-5,5,8623247.0
small,65,0.1,0.22262020793197523,-6,6,8818200.0
small,69,0.1,0.09722418174674674,-4,4,8971406.0
small,73,0.1,0.0446557936171863,-3,3,9132095.0
small,77,0.1,0.03851502694207354,-3,3,9314445.0
small,81,0.1,0.04010571704471033,-3,3,9526728.0
small,85,0.1,0.03728211788332869,-3,3,9716955.0
small,89,0.1,0.1521245277071288,-6,6,9841804.0
small,93,0.1,0.14756767130924242,-5,5,9989496.0
small,97,0.1,0.14033838690514577,-5,5,1.0117496E7
small,101,0.1,0.09762841977927872,-4,4,1.0248647E7
small,105,0.1,0.024614049797091253,-3,3,1.0366013E7
small,109,0.1,0.17964190510777778,-22,22,1.0568055E7
small,113,0.1,0.22280271458267276,-7,7,1.0790184E7
small,117,0.1,0.03338175739540672,-3,3,1.1029642E7
small,121,0.1,0.09886355725818241,-5,5,1.1152128E7
small,125,0.1,0.203070499418871,-5,5,1.1288399E7
small,129,0.1,0.1242660972996319,-6,6,1.1449875E7
small,133,0.1,0.023682492933423838,-3,3,1.1564878E7
small,137,0.1,0.09652712418115161,-4,4,1.1757863E7
small,141,0.1,0.039491795242228456,-4,4,1.1916976E7
small,145,0.1,0.03411657611372254,-4,4,1.2050884E7
small,149,0.1,0.03207828627797715,-4,4,1.2188336E7
small,153,0.1,0.029642702465385362,-3,3,1.2311215E7
small,157,0.1,0.14005697055216104,-5,5,1.2477024E7
small,1,0.1,0.1,-12,12,93342.0
small,5,0.1,0.11967030990000002,-22,22,1079137.0
small,9,0.1,0.1244500687989114,-68,68,1838865.0
small,13,0.1,0.15327396619440514,-27,27,2375676.0
small,17,0.1,0.14042156330725142,-68,68,3363441.0
small,21,0.1,0.18317510508781532,-16,16,4096387.0
small,25,0.1,0.10436749557087444,-7,7,4287402.0
small,29,0.1,0.11775348938680308,-8,8,4726146.0
small,33,0.1,0.11250478002563336,-7,7,5064853.0
small,37,0.1,0.14119200998963866,-53,53,5773775.0
small,41,0.1,0.16153069838611467,-12,12,6417712.0
small,45,0.1,0.1559177691865683,-48,48,6947040.0
small,49,0.1,0.11472991443186631,-16,16,7387360.0
small,53,0.1,0.20128013045731374,-5,5,7523236.0
small,57,0.1,0.03496921653801888,-3,3,7680381.0
small,61,0.1,0.029123506048789327,-3,3,7802473.0
small,65,0.1,0.12858351628935893,-26,26,8060048.0
small,69,0.1,0.1738431735424104,-43,43,8485401.0
small,73,0.1,0.2205973311971099,-6,6,8634274.0
small,77,0.1,0.09855900588422828,-4,4,8808748.0
small,81,0.1,0.16201709414163856,-54,54,9208107.0
small,85,0.1,0.1312554992703978,-9,9,9397941.0
small,89,0.1,0.09706208213988443,-4,4,9751220.0
small,93,0.1,0.0766103141508685,-3,3,1.0010764E7
small,97,0.1,0.08116578837892696,-4,4,1.013325E7
small,101,0.1,0.03711670325311833,-3,3,1.0250616E7
small,105,0.1,0.02969970669217581,-3,3,1.0362468E7
small,109,0.1,0.09735749617851797,-7,7,1.0812634E7
small,113,0.1,0.1263257606008823,-8,8,1.0954024E7
small,117,0.1,0.0988335776660203,-4,4,1.1202147E7
small,121,0.1,0.16504656258776684,-6,6,1.1363623E7
small,125,0.1,0.22772607816581703,-6,6,1.1527069E7
small,129,0.1,0.1236866188665473,-6,6,1.1779524E7
small,133,0.1,0.21408259069559632,-5,5,1.1922096E7
small,137,0.1,0.2118813197313416,-6,6,1.2089481E7
small,141,0.1,0.18504248599581485,-8,8,1.2299006E7
small,145,0.1,0.09728812001171327,-4,4,1.2464028E7
small,149,0.1,0.09870110255413889,-4,4,1.2592815E7
