gridWorld,strategy,maxIteration,gamma,lastMaxDelta,rewards,numOfActions,runningTime
large,Q,100,0.8,0.10659198411145532,-162,162,1.15840977E8
large,Q,100,0.8,0.07595835031628573,-31,31,1.07510357E8
large,Q,100,0.8,0.021787772106963033,-56,56,1.07383145E8
large,Q,100,0.8,0.07674237322231514,-56,56,1.14850849E8
large,Q,100,0.8,0.04558351217982892,-214,214,1.05795948E8
large,Q,100,0.8,0.06800154591217256,-130,130,1.04491138E8
large,Q,100,0.8,0.11407424232227314,-156,156,1.14677557E8
large,Q,100,0.8,0.058643844376631726,-142,142,1.21842787E8
large,Q,100,0.8,0.14591966052242555,-76,76,1.22119661E8
large,Q,100,0.8,0.1849687457844711,-104,104,1.18637673E8
large,Q,100,0.8,0.07682652080182395,-837,837,1.21909741E8
large,Q,100,0.8,0.1284745765980173,-130,130,1.1360551E8
large,Q,100,0.8,0.07350117968642778,-160,160,1.18714079E8
large,Q,100,0.8,0.1187032904134726,-333,333,1.17063472E8
large,Q,100,0.8,0.05638683211799256,-133,133,1.14214788E8
large,Q,100,0.8,0.05329087358945328,-35,35,1.08927019E8
large,Q,100,0.8,0.042200374568728494,-130,130,1.1555662E8
large,Q,100,0.9,0.19533642956335306,-49,49,1.07170075E8
large,Q,100,0.9,0.0780221821264866,-253,253,1.09754095E8
large,Q,100,0.9,0.10314414765800439,-51,51,1.1576457E8
large,Q,100,0.9,0.12830731473361423,-485,485,1.03560087E8
large,Q,100,0.9,0.11482625166008109,-50,50,1.14588154E8
large,Q,100,0.9,0.06383099375714707,-35,35,1.09575289E8
large,Q,100,0.9,0.06170932621528458,-169,169,1.11365316E8
large,Q,100,0.9,0.10112796282776237,-65,65,1.08756878E8
large,Q,100,0.9,0.0821628273869619,-39,39,1.10223559E8
large,Q,100,0.9,0.15513769325467774,-692,692,1.08754121E8
large,Q,100,0.9,0.10985961547834977,-48,48,1.05508047E8
large,Q,100,0.9,0.1274553387658095,-4431,4431,1.15918957E8
large,Q,100,0.9,0.15417826645644261,-597,597,9.9594458E7
large,Q,100,0.9,0.08528118828586173,-300,300,1.06535195E8
large,Q,100,0.9,0.056055656235353135,-32,32,1.12307001E8
large,Q,100,0.9,0.11880830979887902,-344,344,1.09789935E8
large,Q,100,0.9,0.14476329719206338,-1807,1807,1.19156367E8
large,Q,100,0.9,0.14124014498681214,-219,219,1.06688402E8
large,Q,100,0.9,0.09305301042756753,-85,85,1.07104696E8
large,Q,100,0.9,0.11090871472486885,-411,411,1.06802616E8
large,Q,100,0.9,0.08632830461572816,-191,191,1.03744801E8
large,Q,100,0.9,0.09029472730631927,-58,58,1.13917829E8
large,Q,100,0.9,0.13790822782781698,-520,520,1.09945897E8
large,Q,100,0.9,0.09378215211504504,-763,763,1.12520072E8
large,Q,100,0.9,0.1008043207327356,-534,534,1.12024613E8
large,Q,100,0.9,0.12562615173068492,-81,81,1.03959447E8
large,Q,100,0.9,0.2044215821572355,-61,61,1.1386269E8
large,Q,100,0.9,0.18688352792456375,-92,92,1.06152772E8
large,Q,100,0.9,0.1968562517017125,-64,64,1.03369466E8
large,Q,100,0.9,0.07227757262030554,-127,127,9.8270743E7
large,Q,100,0.9,0.13118938607994135,-72,72,1.13890259E8
large,Q,100,0.9,0.0737303185507141,-3570,3570,1.11518916E8
large,Q,100,0.9,0.11214297793037575,-69,69,1.0896089E8
large,Q,100,0.9,0.18630633183678702,-82,82,1.11786337E8
large,Q,100,0.9,0.07548703956476954,-56,56,1.06299676E8
large,Q,100,0.9,0.07299635288062323,-71,71,1.10975409E8
large,Q,100,0.9,0.13121302708498117,-78,78,1.17612099E8
large,Q,100,0.9,0.10695150784085827,-112,112,1.07804559E8
large,Q,100,0.9,0.11877865862257053,-172,172,1.1498003E8
large,Q,100,0.9,0.06181966308838538,-53,53,1.1378274E8
large,Q,100,0.9,0.08853009390634181,-286,286,1.01172597E8
large,Q,100,0.9,0.07597775254840133,-75,75,1.15944952E8
large,Q,100,0.9,0.1277942993491208,-169,169,1.03484075E8
large,Q,100,0.9,0.10281811869245283,-2010,2010,1.07686012E8
large,Q,100,0.9,0.11897931180497978,-137,137,1.04625833E8
large,Q,100,0.9,0.07994246060970811,-281,281,1.13370777E8
large,Q,100,0.9,0.07693873724782296,-826,826,1.11837537E8
large,Q,100,0.9,0.09490752222265808,-131,131,1.0641271E8
large,Q,100,0.9,0.08413400228186951,-32,32,1.23756876E8
large,Q,100,0.9,0.16237660153713862,-776,776,1.12191604E8
large,Q,100,0.9,0.0871365214968689,-49,49,1.04818423E8
large,Q,100,0.9,0.09930864524350813,-88,88,1.10450807E8
large,Q,100,0.9,0.08224330986857442,-34,34,9.5383855E7
large,Q,100,0.9,0.08583202213655872,-47,47,1.09215314E8
large,Q,100,0.9,0.1433650601366261,-88,88,1.09086133E8
large,Q,100,0.9,0.1760466698591745,-47,47,1.1206833E8
large,Q,100,0.9,0.05750178067526246,-27,27,1.09374822E8
large,Q,100,0.9,0.07756367618077942,-80,80,1.11710325E8
large,Q,100,0.9,0.14367166279091803,-62,62,1.15045408E8
large,Q,100,0.9,0.06741404246303073,-38,38,1.10721379E8
large,Q,100,0.9,0.12671355582700716,-34,34,1.10997465E8
large,Q,100,0.9,0.08233854277375574,-888,888,1.07117693E8
large,Q,100,0.9,0.07281078556138088,-70,70,1.08154295E8
large,Q,100,0.9,0.10181008002949543,-506,506,1.04970054E8
large,Q,100,0.9,0.06189739456201959,-118,118,1.11058511E8
large,Q,100,0.9,0.08807685748596672,-48,48,1.06542679E8
large,Q,100,0.9,0.12475551380032979,-57,57,1.15646023E8
large,Q,100,0.9,0.12213052581111583,-117,117,1.02650699E8
large,Q,100,0.9,0.16315761241911142,-74,74,1.08970736E8
large,Q,100,0.9,0.10942797777868796,-34,34,1.05536009E8
large,Q,100,0.9,0.10891300866865761,-59,59,1.08322466E8
large,Q,100,0.9,0.08675529663447268,-35,35,1.09187745E8
large,Q,100,0.9,0.08520313272709501,-253,253,9.7896195E7
large,Q,100,0.9,0.08912099583666144,-44,44,1.03764493E8
large,Q,100,0.9,0.13268612324684081,-100,100,1.14972153E8
large,Q,100,0.9,0.09796236402495229,-30,30,9.8123444E7
large,Q,100,0.9,0.18845384101911833,-97,97,1.06288649E8
large,Q,100,0.9,0.15607262059230376,-107,107,1.17244642E8
large,Q,100,0.9,0.08817124628692863,-39,39,1.13254199E8
large,Q,100,0.9,0.11869533365058738,-85,85,1.08358306E8
large,Q,100,0.9,0.10694636974043137,-73,73,1.04888134E8
large,Q,100,0.9,0.08624645165956046,-958,958,1.14661803E8
large,Q,100,0.9,0.08548415696750489,-1627,1627,1.09628852E8
large,Q,100,0.9,0.1645486339861728,-118,118,1.10598106E8
large,Q,100,0.9,0.1512346846805792,-51,51,1.06002323E8
large,Q,100,0.9,0.06313216773899222,-157,157,1.06415073E8
large,Q,100,0.9,0.12165003778413608,-48,48,1.02074108E8
large,Q,100,0.9,0.12559732349569153,-64,64,1.05817215E8
large,Q,100,0.9,0.10227235764074649,-54,54,1.09019179E8
large,Q,100,0.9,0.1584752679915049,-178,178,1.0285983E8
large,Q,100,0.9,0.10048683737340403,-272,272,1.06165375E8
large,Q,100,0.9,0.07995369039730793,-55,55,9.5127068E7
large,Q,100,0.9,0.14446241843741747,-50,50,1.13524378E8
large,Q,100,0.9,0.08622847862078764,-792,792,1.07380388E8
large,Q,100,0.9,0.08917094628617539,-4098,4098,1.1909926E8
large,Q,100,0.9,0.153272793634589,-105,105,1.08061347E8
large,Q,100,0.9,0.09948619017503724,-57,57,1.09943928E8
large,Q,100,0.9,0.15724465782243335,-84,84,1.05871173E8
large,Q,100,0.9,0.08903299511490648,-55,55,1.01180867E8
large,Q,100,0.9,0.1252137867616172,-1204,1204,1.13289251E8
large,Q,100,0.99,0.16416312124862809,-36,36,1.0284959E8
large,Q,100,0.99,0.18111897257989407,-89,89,1.05630532E8
large,Q,100,0.99,0.20278063152829784,-93,93,1.10949416E8
large,Q,100,0.99,0.1670424871143279,-628,628,1.04375741E8
large,Q,100,0.99,0.15664624544933403,-607,607,1.01319107E8
large,Q,100,0.99,0.19731857547666154,-64,64,1.07763994E8
large,Q,100,0.99,0.16939927246303155,-61,61,1.02563658E8
large,Q,100,0.99,0.15512508023632954,-2279,2279,1.045191E8
large,Q,100,0.99,0.1464509693692424,-156,156,1.00130875E8
large,Q,100,0.99,0.21488857814345552,-29,29,1.03359226E8
large,Q,100,0.99,0.16750899973252764,-233,233,1.10466561E8
large,Q,100,0.99,0.2101586258104291,-94,94,1.08198012E8
large,Q,100,0.99,0.15510458771000657,-376,376,1.01591648E8
large,Q,100,0.99,0.18318134612255843,-114,114,1.05069303E8
large,Q,100,0.99,0.16255401378306722,-461,461,1.02959473E8
large,Q,100,0.99,0.201106054498573,-56,56,1.18148123E8
large,Q,100,0.99,0.19748165824680797,-110,110,1.03027215E8
large,Q,100,0.99,0.18597948906922745,-56,56,1.14460154E8
large,Q,100,0.99,0.184442117918858,-65,65,8.9367866E7
large,Q,100,0.99,0.19311893705750283,-76,76,1.02146576E8
large,Q,100,0.99,0.14344601275282454,-155,155,9.8240811E7
large,Q,100,0.99,0.2274615746690556,-402,402,1.1510094E8
large,Q,100,0.99,0.1682424669396969,-94,94,1.11876922E8
large,Q,100,0.99,0.18957416687178874,-44,44,1.02648729E8
large,Q,100,0.99,0.14795343315329923,-355,355,1.09985282E8
large,Q,100,0.99,0.16595834001673282,-1201,1201,1.05693548E8
large,Q,100,0.99,0.20278010220343945,-47,47,9.4850195E7
large,Q,100,0.99,0.13973783626478387,-28,28,1.09431141E8
large,Q,100,0.99,0.17334190495255086,-61,61,1.04871987E8
large,Q,100,0.99,0.19391213580942201,-88,88,9.742043E7
large,Q,100,0.99,0.17030166524031998,-71,71,1.04681759E8
large,Q,100,0.99,0.18567455145235545,-72,72,1.10239312E8
large,Q,100,0.99,0.192452835637972,-54,54,1.01419144E8
large,Q,100,0.99,0.1845264645294371,-37,37,1.03719988E8
large,Q,100,0.99,0.15630177934506229,-289,289,1.17295448E8
large,Q,100,0.99,0.17569258595525739,-3332,3332,1.02381702E8
large,Q,100,0.99,0.17877615558464877,-365,365,1.19895221E8
large,Q,100,0.99,0.1630940243538639,-96,96,1.07005447E8
large,Q,100,0.99,0.20921279189995667,-79,79,9.7154978E7
large,Q,100,0.99,0.19962768156854382,-1483,1483,1.00489274E8
large,Q,100,0.99,0.18153551434912085,-61,61,1.05083875E8
large,Q,100,0.99,0.23079979904016423,-39,39,1.05107506E8
large,Q,100,0.99,0.1995002888281836,-262,262,1.1246769E8
large,Q,100,0.99,0.18792525163972096,-63,63,9.7912737E7
large,Q,100,0.99,0.16995869492595617,-41,41,9.8231752E7
large,Q,100,0.99,0.14830854424935325,-50,50,1.06940857E8
large,Q,100,0.99,0.19989754787650327,-79,79,1.04051606E8
large,Q,100,0.99,0.23026134918716545,-82,82,1.00052893E8
large,Q,100,0.99,0.21621426469652216,-54,54,1.06467848E8
large,Q,100,0.99,0.15335433381186547,-72,72,1.01325409E8
large,Q,100,0.99,0.28798286661736006,-94,94,1.08092855E8
large,Q,100,0.99,0.18643909630343458,-47,47,1.02295843E8
large,Q,100,0.99,0.16317591907254636,-343,343,1.11143976E8
large,Q,100,0.99,0.16236422092267944,-3220,3220,1.07108635E8
large,Q,100,0.99,0.15439383293532583,-1279,1279,1.03220986E8
large,Q,100,0.99,0.20138549883631418,-317,317,1.0879705E8
large,Q,100,0.99,0.22981831487044646,-42,42,1.0582391E8
large,Q,100,0.99,0.15414478683458555,-55,55,1.06817189E8
large,Q,100,0.99,0.18393904485689117,-64,64,8.4860305E7
large,Q,100,0.99,0.17169863687802867,-55,55,1.13121474E8
large,Q,100,0.99,0.1568330498124446,-114,114,9.3954984E7
large,Q,100,0.99,0.15940421830185958,-39,39,1.1280876E8
large,Q,100,0.99,0.16716763635218435,-814,814,1.03597502E8
large,Q,100,0.99,0.1557381230576791,-54,54,1.11549636E8
large,Q,100,0.99,0.15955134599829535,-49,49,1.06873903E8
large,Q,100,0.99,0.17715797445519588,-47,47,1.08093248E8
large,Q,100,0.99,0.19059034116186702,-89,89,9.9866998E7
large,Q,100,0.99,0.1804184872081387,-41,41,1.01634577E8
large,Q,100,0.99,0.15883172796664358,-58,58,1.04795187E8
large,Q,100,0.99,0.15411224429062198,-152,152,1.05510016E8
large,Q,100,0.99,0.1602783124024203,-47,47,1.05736477E8
large,Q,100,0.99,0.18049561449985596,-64,64,1.00717704E8
large,Q,100,0.99,0.17665148631950345,-44,44,1.10529971E8
large,Q,100,0.99,0.22015900635422714,-809,809,1.14652745E8
large,Q,100,0.99,0.2017588778215842,-49,49,1.11564208E8
large,Q,100,0.99,0.13109053714415353,-31,31,1.03740075E8
large,Q,100,0.99,0.1570854719169148,-68,68,9.593839E7
large,Q,100,0.99,0.18308804646924415,-61,61,1.05645893E8
large,Q,100,0.99,0.23103702829112294,-103,103,1.06647048E8
large,Q,100,0.99,0.16411874998603349,-63,63,1.02811387E8
large,Q,100,0.99,0.1836638210190189,-567,567,1.7672909E8
large,Q,100,0.99,0.14176112607302738,-940,940,2.00483091E8
large,Q,100,0.99,0.18098052971710832,-50,50,1.7012509E8
large,Q,100,0.99,0.17832722019964642,-99,99,1.38203915E8
large,Q,100,0.99,0.13484140597644512,-24,24,2.26265002E8
large,Q,100,0.99,0.16578899335045794,-39,39,1.89708661E8
large,Q,100,0.99,0.1664137446755154,-71,71,2.14475632E8
large,Q,100,0.99,0.1718720149341264,-46,46,1.55874579E8
large,Q,100,0.99,0.17402750181927207,-79,79,1.3177045E8
large,Q,100,0.99,0.16499263761386018,-91,91,2.29249957E8
large,Q,100,0.99,0.20082323751026276,-392,392,1.96753768E8
large,Q,100,0.99,0.1733236054647147,-65,65,2.08584098E8
large,Q,100,0.99,0.19295431585885936,-60,60,1.74124984E8
large,Q,100,0.99,0.16790751968963002,-819,819,1.51629319E8
large,Q,100,0.99,0.19613716908701484,-188,188,1.15875635E8
large,Q,100,0.99,0.1757633889383423,-88,88,2.13352385E8
large,Q,100,0.99,0.18339399750363938,-36,36,2.04988289E8
large,Q,100,0.99,0.1412102819828398,-2143,2143,2.30904501E8
large,Q,100,0.99,0.17469091624870092,-79,79,1.5729006E8
large,Q,100,0.99,0.15861171475768288,-2369,2369,1.38977034E8
large,Q,200,0.8,0.04199020285396737,-56,56,1.79274513E8
large,Q,200,0.8,0.055289584660636715,-37,37,3.14725055E8
large,Q,200,0.8,0.055054217913808934,-35,35,2.38472636E8
large,Q,200,0.8,0.056902526487633054,-36,36,2.84971606E8
large,Q,200,0.8,0.029177298342120794,-26,26,2.58893522E8
large,Q,200,0.8,0.04992330721578053,-2835,2835,3.19932873E8
large,Q,200,0.8,0.05066662698886115,-21,21,2.936622E8
large,Q,200,0.8,0.17005113902037672,-460,460,2.65692476E8
large,Q,200,0.8,0.02474214167712918,-23,23,3.21398766E8
large,Q,200,0.8,0.07275734201043704,-58,58,2.15927346E8
large,Q,200,0.8,0.039920689069954385,-18,18,1.70191256E8
large,Q,200,0.8,0.039690785269066,-63,63,2.04998135E8
large,Q,200,0.8,0.04051686699559598,-625,625,3.00350483E8
large,Q,200,0.8,0.07760355770257332,-29,29,2.21566819E8
large,Q,200,0.8,0.02396720000186825,-33,33,1.73270733E8
large,Q,200,0.8,0.047057798876840806,-37,37,2.10975527E8
large,Q,200,0.8,0.05957461138469844,-54,54,3.28546273E8
large,Q,200,0.8,0.0824367786156639,-69,69,3.25278144E8
large,Q,200,0.8,0.050581509841586936,-46,46,2.97044545E8
large,Q,200,0.8,0.07114733667543316,-37,37,2.31713854E8
large,Q,200,0.8,0.09004373715657121,-38,38,3.27752674E8
large,Q,200,0.8,0.10992181556165193,-77,77,2.1454298E8
large,Q,200,0.8,0.05647709420663527,-32,32,2.17887122E8
large,Q,200,0.8,0.054600280106078536,-129,129,2.942061E8
large,Q,200,0.8,0.10763363090616229,-37,37,2.97559695E8
large,Q,200,0.8,0.04454185321879223,-19,19,2.16227456E8
large,Q,200,0.8,0.026658712567176224,-25,25,1.77749544E8
large,Q,200,0.8,0.11257852868491991,-91,91,1.5406289E8
large,Q,200,0.8,0.041006234164379984,-39,39,2.68493899E8
large,Q,200,0.8,0.06414386701042818,-175,175,2.62007265E8
large,Q,200,0.8,0.037514543164261394,-31,31,1.93498635E8
large,Q,200,0.8,0.041841690236497975,-186,186,1.6525716E8
