gridWorld,strategy,maxIteration,gamma,lastMaxDelta,rewards,numOfActions,runningTime
small,valueIteration,1,0.8,1.1066666666666667,-292,292,6.1010205E7
small,valueIteration,1,0.8,1.1066666666666667,-67,67,4468177.0
small,valueIteration,1,0.8,1.1066666666666667,-6,6,3333114.0
small,valueIteration,1,0.8,1.1066666666666667,-674,674,6175103.0
small,valueIteration,1,0.8,1.1066666666666667,-5,5,2677362.0
small,valueIteration,1,0.8,1.1066666666666667,-1979,1979,2729348.0
small,valueIteration,1,0.8,1.1066666666666667,-6,6,1813264.0
small,valueIteration,1,0.8,1.1066666666666667,-2129,2129,1715197.0
small,valueIteration,1,0.8,1.1066666666666667,-265,265,2120857.0
small,valueIteration,1,0.8,1.1066666666666667,-106,106,3463871.0
small,valueIteration,1,0.9,1.1199999999999999,-17,17,2465866.0
small,valueIteration,1,0.9,1.1199999999999999,-14,14,2765976.0
small,valueIteration,1,0.9,1.1199999999999999,-120,120,2339836.0
small,valueIteration,1,0.9,1.1199999999999999,-11,11,2577324.0
small,valueIteration,1,0.9,1.1199999999999999,-10,10,2344562.0
small,valueIteration,1,0.9,1.1199999999999999,-102,102,2266974.0
small,valueIteration,1,0.9,1.1199999999999999,-4,4,2468624.0
small,valueIteration,1,0.9,1.1199999999999999,-9,9,2856561.0
small,valueIteration,1,0.9,1.1199999999999999,-130,130,2682088.0
small,valueIteration,1,0.9,1.1199999999999999,-54,54,2512340.0
small,valueIteration,1,0.99,1.132,-7,7,2437903.0
small,valueIteration,1,0.99,1.132,-37,37,1817991.0
small,valueIteration,1,0.99,1.132,-27,27,1003124.0
small,valueIteration,1,0.99,1.132,-8,8,1000762.0
small,valueIteration,1,0.99,1.132,-31,31,1221315.0
small,valueIteration,1,0.99,1.132,-195,195,767605.0
small,valueIteration,1,0.99,1.132,-9,9,2178753.0
small,valueIteration,1,0.99,1.132,-71,71,2509190.0
small,valueIteration,1,0.99,1.132,-11,11,2739195.0
small,valueIteration,1,0.99,1.132,-61,61,2567873.0
small,valueIteration,3,0.8,0.6627727621267494,-6,6,4346873.0
small,valueIteration,3,0.8,0.6627727621267494,-3,3,4341358.0
small,valueIteration,3,0.8,0.6627727621267494,-3,3,4164128.0
small,valueIteration,3,0.8,0.6627727621267494,-5,5,4233444.0
small,valueIteration,3,0.8,0.6627727621267494,-3,3,4153100.0
small,valueIteration,3,0.8,0.6627727621267494,-3,3,4157827.0
small,valueIteration,3,0.8,0.6627727621267494,-3,3,4424460.0
