gridWorld,iteration,epsilon,lastMaxDelta,rewards,numOfActions,runningTime
large,526,0.1,0.10985033823546253,-24,24,1.087081988E9
large,531,0.1,0.19761132084395872,-26,26,1.087842503E9
large,536,0.1,0.17681394153228602,-21,21,1.088523462E9
large,541,0.1,0.2967595164561012,-34,34,1.090593514E9
large,546,0.1,0.20640218674922828,-17,17,1.091196097E9
large,551,0.1,0.27235369756189165,-25,25,1.091801044E9
large,556,0.1,0.2098412924002826,-23,23,1.092408747E9
large,561,0.1,0.23166583596422718,-29,29,1.093030629E9
large,566,0.1,0.2501237697144121,-25,25,1.09365133E9
large,571,0.1,0.16019063646547593,-18,18,1.096564211E9
large,576,0.1,0.10597468612822603,-24,24,1.097144345E9
large,581,0.1,0.22534868482780457,-25,25,1.097728024E9
large,586,0.1,0.21319375401346896,-24,24,1.098258928E9
large,591,0.1,0.09371468982595488,-21,21,1.098861117E9
large,596,0.1,0.2236249264607557,-16,16,1.099529473E9
large,1,0.1,0.1278091,-271,271,4858478.0
large,6,0.1,0.13775674590686915,-708,708,6.3882127E7
large,11,0.1,0.12167944460005886,-77,77,8.0163305E7
large,16,0.1,0.1541401324209808,-177,177,1.16552655E8
large,21,0.1,0.14687096176947945,-131,131,1.32999642E8
large,26,0.1,0.15444873444228602,-2146,2146,1.42852473E8
large,31,0.1,0.1974627279756107,-218,218,1.56669753E8
large,36,0.1,0.1524984856825098,-2621,2621,1.6703104E8
large,41,0.1,0.16914871702198342,-104,104,1.71034479E8
large,46,0.1,0.14885826351071074,-117,117,1.75085967E8
large,51,0.1,0.16010813312521766,-773,773,1.80049995E8
large,56,0.1,0.15389241647616148,-91,91,1.83876991E8
large,61,0.1,0.12941532131752975,-52,52,1.87234918E8
large,66,0.1,0.1484588443379362,-323,323,1.88419211E8
large,71,0.1,0.1368370087302857,-58,58,1.91712941E8
large,76,0.1,0.16747579979518745,-104,104,1.99999055E8
large,81,0.1,0.20270423356664113,-109,109,2.02126608E8
large,86,0.1,0.18790465529499256,-710,710,2.04753164E8
large,91,0.1,0.17904473864415849,-92,92,2.05705088E8
large,96,0.1,0.17950336490235763,-95,95,2.08570708E8
large,101,0.1,0.17633309002942443,-55,55,2.14954943E8
large,106,0.1,0.17809428041894027,-112,112,2.1554768E8
large,111,0.1,0.15164313300577525,-62,62,2.20145432E8
large,116,0.1,0.1900349453147947,-1794,1794,2.23771961E8
large,121,0.1,0.18628570164987934,-137,137,2.24886543E8
large,126,0.1,0.17782355781328896,-109,109,2.27271278E8
large,131,0.1,0.21228930713915917,-74,74,2.33631882E8
large,136,0.1,0.18048240937151183,-85,85,2.34496372E8
large,141,0.1,0.19486655995186375,-38,38,2.36890165E8
large,146,0.1,0.201854294212783,-123,123,2.37752293E8
large,151,0.1,0.1819962399707986,-86,86,2.3867586E8
large,156,0.1,0.14466216573636537,-707,707,2.41214194E8
large,161,0.1,0.21442309971572637,-26,26,2.42132642E8
large,166,0.1,0.19840754709909447,-39,39,2.48774846E8
large,171,0.1,0.15206856141398895,-146,146,2.49432961E8
large,176,0.1,0.2319167320016644,-467,467,2.50962263E8
large,181,0.1,0.22746367792704625,-38,38,2.51498287E8
large,186,0.1,0.1957999961682706,-29,29,2.52039037E8
large,191,0.1,0.22474543623828414,-55,55,2.53708154E8
large,196,0.1,0.14889173040535475,-32,32,2.59836783E8
large,201,0.1,0.22855525787124753,-46,46,2.61010048E8
large,206,0.1,0.19956677095900943,-39,39,2.61648472E8
large,211,0.1,0.2240513188275397,-54,54,2.61993087E8
large,216,0.1,0.15013461890405733,-132,132,2.63030082E8
large,221,0.1,0.19107053587226552,-22,22,2.63332161E8
large,226,0.1,0.21552809365917547,-43,43,2.67050456E8
large,231,0.1,0.2193275646264654,-31,31,2.67478172E8
large,236,0.1,0.16833440630848884,-32,32,2.69409591E8
large,241,0.1,0.25176052179132036,-45,45,2.72535542E8
large,246,0.1,0.1684852616887298,-27,27,2.72864009E8
large,251,0.1,0.16553873541256614,-50,50,2.73344894E8
large,256,0.1,0.2286559569838209,-29,29,2.73826961E8
large,261,0.1,0.19655625455189973,-51,51,3.04957294E8
large,266,0.1,0.2373771629114272,-22,22,3.07572821E8
large,271,0.1,0.19488490269200476,-20,20,3.08757115E8
large,276,0.1,0.09585259534586488,-16,16,3.10326589E8
large,281,0.1,0.19716488941550026,-25,25,3.11492765E8
large,286,0.1,0.15525779944313722,-87,87,3.12912972E8
large,291,0.1,0.2640423315333802,-37,37,3.14970027E8
large,296,0.1,0.20965445397103855,-33,33,3.169491E8
large,301,0.1,0.11203291210614807,-20,20,3.17910871E8
large,306,0.1,0.20840306423535893,-41,41,3.1940512E8
large,311,0.1,0.18478516683020274,-29,29,3.20616589E8
large,316,0.1,0.17584919817512912,-39,39,3.21666581E8
large,321,0.1,0.20511909388657124,-30,30,3.22737841E8
large,326,0.1,0.269326714649458,-32,32,3.24033592E8
large,331,0.1,0.16200004830375025,-28,28,3.25056409E8
large,336,0.1,0.1726710443226125,-22,22,3.26106795E8
large,341,0.1,0.16103224214921763,-22,22,3.27903912E8
