gridWorld,strategy,T,maxIteration,rewards,runningTime
large,QLearning,0.8,600,-26,1.00716917E8
small,valueIteration,0.8,30,-22,5.7330508E7
small,policyIteration,0.8,44,-16,1.0864345E8
large,QLearning,0.8,600,-25,1.00266751E8
small,valueIteration,0.8,30,-18,5.728561E7
small,policyIteration,0.8,44,-20,1.08447316E8
large,QLearning,0.8,600,-26,9.2259086E7
small,valueIteration,0.8,30,-21,5.7405732E7
small,policyIteration,0.8,44,-19,1.07922319E8
large,QLearning,0.8,600,-26,9.9167923E7
small,valueIteration,0.8,30,-22,5.7896464E7
small,policyIteration,0.8,44,-23,1.07798258E8
large,QLearning,0.8,600,-23,9.1451309E7
small,valueIteration,0.8,30,-20,5.7976021E7
small,policyIteration,0.8,44,-24,1.07897901E8
large,QLearning,0.8,600,-19,9.0381231E7
small,valueIteration,0.8,30,-21,5.7582963E7
small,policyIteration,0.8,44,-22,1.07934923E8
large,QLearning,0.8,600,-18,9.312909E7
small,valueIteration,0.8,30,-21,5.779879E7
small,policyIteration,0.8,44,-24,1.08465432E8
large,QLearning,0.8,600,-18,9.5935633E7
small,valueIteration,0.8,30,-27,5.743724E7
small,policyIteration,0.8,44,-17,1.15306528E8
large,QLearning,0.8,600,-28,8.9594327E7
small,valueIteration,0.8,30,-22,5.8194211E7
small,policyIteration,0.8,44,-26,1.07818344E8
large,QLearning,0.8,600,-22,9.1494631E7
small,valueIteration,0.8,30,-21,5.7555393E7
small,policyIteration,0.8,44,-24,1.07936104E8
large,QLearning,0.8,600,-25,9.0529317E7
small,valueIteration,0.8,30,-18,5.728876E7
small,policyIteration,0.8,44,-17,1.08001088E8
large,QLearning,0.8,600,-20,9.3201952E7
small,valueIteration,0.8,30,-27,5.7605018E7
small,policyIteration,0.8,44,-26,1.07919956E8
large,QLearning,0.8,600,-21,9.8485782E7
small,valueIteration,0.8,30,-18,5.7349807E7
small,policyIteration,0.8,44,-19,1.07715944E8
large,QLearning,0.8,600,-19,8.9669945E7
small,valueIteration,0.8,30,-21,5.76893E7
small,policyIteration,0.8,44,-22,1.07834492E8
large,QLearning,0.8,600,-27,9.2439467E7
small,valueIteration,0.8,30,-23,5.7260403E7
small,policyIteration,0.8,44,-23,1.08195648E8
large,QLearning,0.8,600,-21,8.60253E7
small,valueIteration,0.8,30,-21,5.7589265E7
small,policyIteration,0.8,44,-23,1.07936104E8
large,QLearning,0.8,600,-25,9.5957688E7
small,valueIteration,0.8,30,-17,5.7510889E7
small,policyIteration,0.8,44,-18,1.08231882E8
large,QLearning,0.8,600,-32,9.3700561E7
small,valueIteration,0.7,29,-28,5.6140307E7
small,policyIteration,0.7,39,-20,9.2985731E7
large,QLearning,0.7,600,-62,1.71855252E8
small,valueIteration,0.7,29,-31,1.20339479E8
small,policyIteration,0.7,39,-23,1.62028808E8
large,QLearning,0.7,600,-24,1.66623803E8
small,valueIteration,0.7,29,-24,6.8603152E7
small,policyIteration,0.7,39,-24,1.04947211E8
large,QLearning,0.7,600,-24,1.21168918E8
small,valueIteration,0.7,29,-24,5.5505428E7
small,policyIteration,0.7,39,-17,9.254423E7
large,QLearning,0.7,600,-39,1.14040708E8
small,valueIteration,0.7,29,-38,5.554757E7
small,policyIteration,0.7,39,-20,9.2619454E7
large,QLearning,0.7,600,-25,1.23886451E8
small,valueIteration,0.7,29,-17,5.5700775E7
small,policyIteration,0.7,39,-34,9.2829768E7
large,QLearning,0.7,600,-22,1.14715366E8
small,valueIteration,0.7,29,-23,5.6189143E7
small,policyIteration,0.7,39,-23,9.276439E7
large,QLearning,0.7,600,-23,1.23960888E8
small,valueIteration,0.7,29,-22,5.5575138E7
small,policyIteration,0.7,39,-24,9.2721854E7
large,QLearning,0.7,600,-59,1.15148202E8
small,valueIteration,0.7,29,-30,5.5526301E7
small,policyIteration,0.7,39,-27,9.5847805E7
large,QLearning,0.7,600,-37,1.20497017E8
small,valueIteration,0.7,29,-26,5.5764972E7
small,policyIteration,0.7,39,-28,9.3267724E7
large,QLearning,0.7,600,-32,1.18133156E8
small,valueIteration,0.7,29,-17,5.5798055E7
small,policyIteration,0.7,39,-25,9.3063712E7
large,QLearning,0.7,600,-19,2.44926975E8
small,valueIteration,0.7,29,-20,1.05009045E8
small,policyIteration,0.7,39,-31,1.47180441E8
large,QLearning,0.7,600,-51,1.50301666E8
small,valueIteration,0.7,29,-24,6.5010494E7
small,policyIteration,0.7,39,-28,1.01682626E8
large,QLearning,0.7,600,-25,1.16662931E8
small,valueIteration,0.7,29,-21,5.5879975E7
small,policyIteration,0.7,39,-25,9.3262604E7
large,QLearning,0.7,600,-26,1.15667684E8
small,valueIteration,0.7,29,-28,5.593787E7
small,policyIteration,0.7,39,-18,9.2711614E7
large,QLearning,0.7,600,-24,1.17412813E8
small,valueIteration,0.7,29,-24,5.5514093E7
small,policyIteration,0.7,39,-35,9.2980217E7
large,QLearning,0.7,600,-38,1.14706701E8
small,valueIteration,0.7,29,-23,5.5605464E7
small,policyIteration,0.7,39,-21,9.3030629E7
large,QLearning,0.7,600,-38,1.18851137E8
small,valueIteration,0.7,29,-21,5.5501096E7
small,policyIteration,0.7,39,-22,9.2790777E7
large,QLearning,0.7,600,-56,1.26553179E8
small,valueIteration,0.7,29,-41,5.5559385E7
small,policyIteration,0.7,39,-23,9.2653719E7
large,QLearning,0.7,600,-40,1.14484967E8
small,valueIteration,0.7,29,-30,5.5566474E7
small,policyIteration,0.7,39,-43,9.3210222E7
large,QLearning,0.7,600,-38,1.20017314E8
