gridWorld,strategy,maxDelta,maxIteration,rewards,runningTime
small,policyIteration,1.0E-4,55,-23,1.72710291E8
large,QLearning,1.0E-4,600,-17,9.5068385E7
small,valueIteration,1.0E-4,40,-21,7.8057413E7
small,policyIteration,1.0E-4,55,-20,1.59217146E8
large,QLearning,1.0E-4,600,-17,9.4969924E7
small,valueIteration,1.0E-4,40,-20,7.9185386E7
small,policyIteration,1.0E-4,55,-18,3.21040761E8
large,QLearning,1.0E-4,600,-19,1.84565039E8
small,valueIteration,1.0E-4,40,-21,1.1412381E8
small,policyIteration,1.0E-4,55,-21,2.00496088E8
large,QLearning,1.0E-4,600,-19,1.15670047E8
small,valueIteration,1.0E-4,40,-38,8.1950575E7
small,policyIteration,1.0E-4,55,-19,1.78193014E8
large,QLearning,1.0E-4,600,-24,1.99855301E8
small,valueIteration,1.0E-4,40,-22,1.23824618E8
small,policyIteration,1.0E-4,55,-21,2.18789028E8
large,QLearning,1.0E-4,600,-25,1.06914075E8
small,valueIteration,1.0E-4,40,-20,7.8930174E7
small,policyIteration,1.0E-4,55,-17,1.54381117E8
large,QLearning,1.0E-4,600,-19,9.2395357E7
small,valueIteration,1.0E-4,40,-21,7.7110214E7
small,policyIteration,1.0E-4,55,-19,1.57919819E8
large,QLearning,1.0E-4,600,-19,9.8105327E7
small,valueIteration,1.0E-4,40,-19,1.22155894E8
small,policyIteration,1.0E-4,55,-20,2.91194758E8
large,QLearning,1.0E-4,600,-19,1.36742355E8
small,valueIteration,1.0E-4,40,-17,1.60164738E8
small,policyIteration,1.0E-4,55,-27,2.62268384E8
large,QLearning,1.0E-4,600,-21,1.31480185E8
small,valueIteration,1.0E-4,40,-18,1.01786601E8
small,policyIteration,1.0E-4,55,-18,3.06277463E8
large,QLearning,1.0E-4,600,-19,1.68437068E8
small,valueIteration,1.0E-4,40,-18,1.10228284E8
small,policyIteration,1.0E-4,55,-15,1.876264E8
large,QLearning,1.0E-4,600,-19,1.0499526E8
