gridWorld,strategy,T,maxIteration,rewards,runningTime
small,policyIteration,0.8,17,-3,6617391.0
small,QLearning,0.8,200,-4,6033318.0
small,valueIteration,0.8,10,-6,2976290.0
small,policyIteration,0.8,17,-3,6094364.0
small,QLearning,0.8,200,-4,5627658.0
small,valueIteration,0.8,10,-5,3298456.0
small,policyIteration,0.8,17,-7,5621356.0
small,QLearning,0.8,200,-5,4236990.0
small,valueIteration,0.8,10,-3,3820301.0
small,policyIteration,0.8,17,-3,4909284.0
small,QLearning,0.8,200,-3,3463477.0
small,valueIteration,0.8,10,-12,2099590.0
small,policyIteration,0.8,17,-5,3869532.0
small,QLearning,0.8,200,-4,3728141.0
small,valueIteration,0.8,10,-3,2081473.0
small,policyIteration,0.8,17,-5,3721839.0
small,QLearning,0.8,200,-3,3636769.0
small,valueIteration,0.8,10,-6,2135824.0
small,policyIteration,0.8,17,-8,3737988.0
small,QLearning,0.8,200,-4,3816756.0
small,valueIteration,0.8,10,-6,1917240.0
small,policyIteration,0.8,17,-6,4138528.0
small,QLearning,0.8,200,-7,3298456.0
small,valueIteration,0.8,10,-3,1773093.0
small,policyIteration,0.8,17,-3,3707661.0
small,QLearning,0.8,200,-3,3277582.0
small,valueIteration,0.8,10,-3,1764034.0
small,policyIteration,0.8,17,-5,4175156.0
small,QLearning,0.8,200,-3,3251588.0
small,valueIteration,0.8,10,-3,1792784.0
small,policyIteration,0.8,17,-7,4030221.0
small,QLearning,0.8,200,-3,3219293.0
small,valueIteration,0.8,10,-12,1826655.0
small,policyIteration,0.8,17,-6,3752953.0
small,QLearning,0.8,200,-3,3092081.0
small,valueIteration,0.8,10,-5,1766397.0
small,policyIteration,0.8,17,-4,3953027.0
small,QLearning,0.8,200,-3,3014887.0
small,valueIteration,0.8,10,-4,1806175.0
small,policyIteration,0.8,17,-3,3752165.0
small,QLearning,0.8,200,-4,3041668.0
small,valueIteration,0.8,10,-4,1788058.0
small,policyIteration,0.8,17,-4,3717113.0
small,QLearning,0.8,200,-4,3379982.0
small,valueIteration,0.8,10,-9,1789634.0
small,policyIteration,0.8,17,-5,3712387.0
small,QLearning,0.8,200,-3,3081053.0
small,valueIteration,0.8,10,-3,2710838.0
small,policyIteration,0.8,17,-3,6228272.0
small,QLearning,0.8,200,-3,4987265.0
small,valueIteration,0.8,10,-5,2817964.0
small,policyIteration,0.8,17,-5,6814708.0
small,QLearning,0.8,200,-3,6043952.0
small,valueIteration,0.8,10,-3,4567032.0
small,policyIteration,0.8,17,-11,5946672.0
small,QLearning,0.8,200,-5,5213332.0
small,valueIteration,0.8,10,-3,3080266.0
small,policyIteration,0.8,17,-3,6074279.0
small,QLearning,0.8,200,-3,4902982.0
small,valueIteration,0.7,12,-3,3259859.0
small,policyIteration,0.7,16,-14,5402378.0
small,QLearning,0.7,200,-4,6395656.0
small,valueIteration,0.7,12,-5,3411883.0
small,policyIteration,0.7,16,-10,5677282.0
small,QLearning,0.7,200,-19,9912303.0
small,valueIteration,0.7,12,-3,4023131.0
small,policyIteration,0.7,16,-6,5637504.0
small,QLearning,0.7,200,-6,5912014.0
small,valueIteration,0.7,12,-4,3280339.0
small,policyIteration,0.7,16,-8,5181037.0
small,QLearning,0.7,200,-5,6463004.0
small,valueIteration,0.7,12,-7,3832117.0
small,policyIteration,0.7,16,-8,5582759.0
small,QLearning,0.7,200,-6,6940344.0
small,valueIteration,0.7,12,-8,3203539.0
small,policyIteration,0.7,16,-5,5893110.0
small,QLearning,0.7,200,-6,8334557.0
small,valueIteration,0.7,12,-15,3574935.0
small,policyIteration,0.7,16,-5,6156198.0
small,QLearning,0.7,200,-17,6034500.0
small,valueIteration,0.7,12,-4,3414247.0
small,policyIteration,0.7,16,-3,5161739.0
small,QLearning,0.7,200,-3,9188415.0
small,valueIteration,0.7,12,-8,3270493.0
small,policyIteration,0.7,16,-3,5037283.0
small,QLearning,0.7,200,-4,5.7221413E7
small,valueIteration,0.7,12,-3,2073596.0
small,policyIteration,0.7,16,-5,3252769.0
small,QLearning,0.7,200,-8,5598120.0
small,valueIteration,0.7,12,-3,2499737.0
small,policyIteration,0.7,16,-3,5025862.0
small,QLearning,0.7,200,-3,3775402.0
small,valueIteration,0.7,12,-4,2069658.0
small,policyIteration,0.7,16,-3,3293335.0
small,QLearning,0.7,200,-14,4269285.0
small,valueIteration,0.7,12,-8,2023184.0
small,policyIteration,0.7,16,-4,3272462.0
small,QLearning,0.7,200,-3,3647797.0
small,valueIteration,0.7,12,-4,2093682.0
small,policyIteration,0.7,16,-6,3246862.0
