gridWorld,iteration,epsilon,lastMaxDelta,rewards,numOfActions,runningTime
small,145,0.1,0.06342216737525863,-3,3,5.3549591E7
small,149,0.1,0.09606423117032792,-5,5,5.3928864E7
small,153,0.1,0.060367362929927726,-4,4,5.4380605E7
small,157,0.1,0.10214971749434398,-7,7,5.4772875E7
small,1,0.1,0.10880999999999999,-27,27,539962.0
small,5,0.1,0.10374288151831368,-7,7,1834926.0
small,9,0.1,0.14468283767740275,-88,88,5633959.0
small,13,0.1,0.1757315611820809,-10,10,7156565.0
small,17,0.1,0.18985162843936132,-15,15,8353068.0
small,21,0.1,0.09769219719444022,-5,5,9260488.0
small,25,0.1,0.10102202343784311,-6,6,1.048456E7
small,29,0.1,0.09785252749472972,-6,6,1.1785825E7
small,33,0.1,0.09701565604237539,-6,6,1.2728691E7
small,37,0.1,0.15580797893714105,-9,9,1.331749E7
small,41,0.1,0.08843078346115885,-4,4,1.3892504E7
small,45,0.1,0.01423092330997866,-3,3,1.4345033E7
small,49,0.1,0.13431445523778685,-11,11,1.510161E7
small,53,0.1,0.033375984384108826,-3,3,1.5878273E7
small,57,0.1,0.18909469427601766,-22,22,1.6333165E7
small,61,0.1,0.09652772218650574,-4,4,1.7215378E7
small,65,0.1,0.04342271639198847,-3,3,1.8371315E7
small,69,0.1,0.0961617918092772,-5,5,1.9120015E7
small,73,0.1,0.039936693523511035,-3,3,1.9429184E7
small,77,0.1,0.14840365967408742,-73,73,2.0867113E7
small,81,0.1,0.03589846618883841,-3,3,2.116683E7
small,85,0.1,0.20710629421674787,-7,7,2.1541377E7
small,89,0.1,0.09718906549595774,-4,4,2.2017536E7
small,93,0.1,0.11126643405785996,-7,7,2.2407443E7
small,97,0.1,0.09865856066668677,-5,5,2.2681953E7
small,101,0.1,0.06318545886540572,-3,3,2.3119122E7
small,105,0.1,0.09608767557423681,-6,6,2.3431047E7
small,109,0.1,0.1638502769791914,-44,44,2.4186837E7
small,113,0.1,0.04098785000864735,-3,3,2.445859E7
small,117,0.1,0.23877851203527034,-5,5,2.4815414E7
small,121,0.1,0.09592815838283197,-4,4,2.5352619E7
small,125,0.1,0.0629188774337126,-3,3,2.567124E7
small,129,0.1,0.14095071402503168,-6,6,2.6028852E7
small,133,0.1,0.07876494812863721,-3,3,2.6424667E7
small,137,0.1,0.09616845542257346,-4,4,2.6828358E7
small,141,0.1,0.05462241976410587,-3,3,2.7523496E7
small,145,0.1,0.09734734806845813,-4,4,2.7836996E7
small,149,0.1,0.044815087935527576,-4,4,2.8105599E7
small,153,0.1,0.04116186367550334,-3,3,2.8428552E7
small,157,0.1,0.04267142995195883,-3,3,2.871921E7
small,1,0.1,0.1,-7,7,256000.0
small,5,0.1,0.12656567673900004,-31,31,4945518.0
small,9,0.1,0.09989762290406978,-13,13,6592973.0
small,13,0.1,0.17596747863667117,-75,75,8827652.0
small,17,0.1,0.09916722734825945,-7,7,9417633.0
small,21,0.1,0.12279549239058374,-16,16,1.0429028E7
small,25,0.1,0.1578923898999922,-49,49,1.135102E7
small,29,0.1,0.18965230705873393,-19,19,1.1955573E7
small,33,0.1,0.01294970687020447,-3,3,1.2267499E7
small,37,0.1,0.09705448902490055,-4,4,1.3307251E7
small,41,0.1,0.14348550440375218,-11,11,1.4355667E7
small,45,0.1,0.18527831644063464,-42,42,1.5488761E7
small,49,0.1,0.09893047978315961,-6,6,1.5950741E7
small,53,0.1,0.09786108710856745,-4,4,1.6309535E7
small,57,0.1,0.01741410219991879,-3,3,1.6561596E7
small,61,0.1,0.032307708082491615,-3,3,1.7616708E7
small,65,0.1,0.20675544626852016,-7,7,1.7998738E7
small,69,0.1,0.2038142738691615,-12,12,1.8376435E7
small,73,0.1,0.1789480206459253,-7,7,1.8850625E7
small,77,0.1,0.071102505867215,-4,4,1.9261012E7
small,81,0.1,0.0966079773590569,-4,4,1.9539067E7
small,85,0.1,0.0962057904426481,-5,5,2.0287374E7
small,89,0.1,0.19136138437737937,-8,8,2.0708788E7
small,93,0.1,0.25199540289529265,-7,7,2.1215667E7
small,97,0.1,0.1803781689098387,-39,39,2.2764662E7
small,101,0.1,0.043040590706785675,-3,3,2.305847E7
small,105,0.1,0.040637323642003675,-4,4,2.3312501E7
small,109,0.1,0.03479673308473519,-3,3,2.3575589E7
small,113,0.1,0.03874653724841437,-3,3,2.3882001E7
small,117,0.1,0.03695416529143225,-3,3,2.4175022E7
small,121,0.1,0.04262003977973805,-3,3,2.4462923E7
small,125,0.1,0.13294489086913241,-6,6,2.4819747E7
small,129,0.1,0.11969066570238995,-5,5,2.5103316E7
small,133,0.1,0.22189378874323706,-5,5,2.5747647E7
small,137,0.1,0.17761096138318377,-76,76,2.6712568E7
small,141,0.1,0.09743387121089642,-4,4,2.7006771E7
small,145,0.1,0.03318866285053246,-3,3,2.734666E7
small,149,0.1,0.021775081696234322,-3,3,2.7587299E7
small,153,0.1,0.044168569699265525,-3,3,2.7944517E7
small,157,0.1,0.033103320392420255,-3,3,2.8191064E7
small,1,0.1,0.1,-7,7,144936.0
small,5,0.1,0.1368572522577552,-48,48,3245287.0
small,9,0.1,0.16214619322932255,-25,25,4550885.0
small,13,0.1,0.1611383041064267,-22,22,5887202.0
small,17,0.1,0.1340587347731228,-15,15,6305072.0
small,21,0.1,0.09861521675839047,-4,4,6838339.0
small,25,0.1,0.09831966685515048,-4,4,7463372.0
small,29,0.1,0.1599156230950879,-112,112,9714199.0
small,33,0.1,0.1407534201326448,-18,18,1.0638948E7
small,37,0.1,0.12006179995801836,-9,9,1.1573543E7
small,41,0.1,0.1912584345879058,-9,9,1.2817701E7
small,45,0.1,0.09349550198355461,-4,4,1.3134353E7
small,49,0.1,0.03975675833192849,-3,3,1.3846819E7
small,53,0.1,0.03496106984452929,-3,3,1.4985032E7
small,57,0.1,0.16378836939990382,-64,64,1.5927505E7
small,61,0.1,0.027651989073207872,-3,3,1.6700229E7
small,65,0.1,0.02382856728596172,-3,3,1.692669E7
small,69,0.1,0.11207591777207648,-12,12,1.7715169E7
small,73,0.1,0.22430465518490816,-5,5,1.7983378E7
small,77,0.1,0.09733555619704637,-5,5,1.8278762E7
small,81,0.1,0.17197101855566288,-13,13,1.8823056E7
small,85,0.1,0.05407875072317703,-3,3,1.96202E7
small,89,0.1,0.2603856017334625,-5,5,2.0183792E7
small,93,0.1,0.23202074414393903,-5,5,2.0460272E7
small,97,0.1,0.2625034653229885,-5,5,2.0898622E7
small,101,0.1,0.045109716971342806,-3,3,2.1137686E7
small,105,0.1,0.042872842474710016,-3,3,2.1863543E7
small,109,0.1,0.0961541669251269,-4,4,2.2223124E7
small,113,0.1,0.1384774934459887,-5,5,2.2672896E7
small,117,0.1,0.17641565818198135,-116,116,2.4433385E7
small,121,0.1,0.09601023048037671,-6,6,2.4710652E7
small,125,0.1,0.22492221602241957,-17,17,2.5147821E7
small,129,0.1,0.09704442601740038,-4,4,2.5405395E7
small,133,0.1,0.12865117695034556,-6,6,2.5672817E7
small,137,0.1,0.19484805834585384,-5,5,2.5904004E7
small,141,0.1,0.20537967234972587,-6,6,2.6134797E7
small,145,0.1,0.1488585069142183,-7,7,2.6452631E7
small,149,0.1,0.052578466596016504,-3,3,2.6668458E7
small,153,0.1,0.047325665378379345,-3,3,2.6874833E7
small,157,0.1,0.13989568203109926,-7,7,2.7163128E7
small,1,0.1,0.1,-15,15,229218.0
small,5,0.1,0.143148007987154,-89,89,1683689.0
small,9,0.1,0.1375191885290461,-21,21,3744683.0
small,13,0.1,0.14301875227570732,-98,98,5101480.0
small,17,0.1,0.15012585733976969,-7,7,6229454.0
small,21,0.1,0.14128078975275904,-55,55,8016330.0
small,25,0.1,0.09748414309557907,-7,7,8536994.0
small,29,0.1,0.16453144674407438,-19,19,8972587.0
small,33,0.1,0.19660612978476522,-9,9,9761066.0
small,37,0.1,0.012797684366456785,-3,3,9976893.0
small,41,0.1,0.1417671571045397,-19,19,1.0354985E7
small,45,0.1,0.03563468938246661,-3,3,1.0779156E7
small,49,0.1,0.02337991970383646,-3,3,1.1010344E7
small,53,0.1,0.1773693476322462,-20,20,1.1474294E7
small,57,0.1,0.08696934512318233,-4,4,1.1885862E7
small,61,0.1,0.0415813556720348,-3,3,1.2462452E7
small,65,0.1,0.027281527456422205,-3,3,1.2774771E7
small,69,0.1,0.24552221185464074,-9,9,1.3536075E7
small,73,0.1,0.04209905644905554,-3,3,1.3771594E7
small,77,0.1,0.09621591379107342,-4,4,1.4381661E7
small,81,0.1,0.22934214253458118,-6,6,1.5082312E7
small,85,0.1,0.07305631637354737,-3,3,1.539345E7
small,89,0.1,0.055181095740169495,-3,3,1.5652994E7
small,93,0.1,0.044187112598210065,-3,3,1.5877486E7
small,97,0.1,0.14587663958231678,-52,52,1.7040511E7
small,101,0.1,0.09876517156693687,-4,4,1.7643489E7
small,105,0.1,0.09601248906510396,-4,4,1.7877039E7
small,109,0.1,0.05296915108354927,-3,3,1.8136189E7
small,113,0.1,0.2401226903114706,-15,15,1.905188E7
small,117,0.1,0.09604560753685076,-4,4,1.9272827E7
small,121,0.1,0.04877958322354159,-3,3,1.9540249E7
small,125,0.1,0.050254502250224764,-3,3,1.9814759E7
small,129,0.1,0.030845224006798233,-3,3,2.0040038E7
small,133,0.1,0.034895756220818086,-3,3,2.0298795E7
small,137,0.1,0.22133774160187647,-6,6,2.0522893E7
small,141,0.1,0.06595352386078224,-4,4,2.0786769E7
small,145,0.1,0.09726332206322885,-5,5,2.1093181E7
small,149,0.1,0.19614181403620812,-8,8,2.1362571E7
small,153,0.1,0.06957487203546098,-3,3,2.1668983E7
small,157,0.1,0.05554117756911925,-3,3,2.1924195E7
small,1,0.1,0.11144272572000002,-136,136,1182324.0
small,5,0.1,0.11690647787133646,-41,41,2372525.0
small,9,0.1,0.12089986081502302,-37,37,4060547.0
small,13,0.1,0.10648364625998996,-5,5,5202305.0
small,17,0.1,0.15598372711494135,-10,10,6891114.0
small,21,0.1,0.11748545024849477,-12,12,7349550.0
small,25,0.1,0.1511330825655075,-34,34,8264453.0
small,29,0.1,0.10664824596630273,-8,8,9191959.0
small,33,0.1,0.17601812070915934,-24,24,9956807.0
small,37,0.1,0.12705562534306125,-20,20,1.0784276E7
small,41,0.1,0.09709988285790683,-4,4,1.1022947E7
small,45,0.1,0.007439108677921968,-3,3,1.1477444E7
small,49,0.1,0.009695981111384366,-3,3,1.1720841E7
small,53,0.1,0.018766803513855512,-3,3,1.2110354E7
small,57,0.1,0.09874193266219389,-6,6,1.2794858E7
small,61,0.1,0.20033952455286697,-7,7,1.3357269E7
small,65,0.1,0.15263698730134578,-28,28,1.4091003E7
small,69,0.1,0.03174091101460674,-3,3,1.4634116E7
small,73,0.1,0.2216988420414452,-11,11,1.4978337E7
small,77,0.1,0.06989494934087181,-4,4,1.5235518E7
small,81,0.1,0.1336795214629951,-13,13,1.5875123E7
small,85,0.1,0.03092771135169725,-3,3,1.6082679E7
small,89,0.1,0.03407191216270977,-3,3,1.6330408E7
small,93,0.1,0.12507340001349831,-15,15,1.6670691E7
small,97,0.1,0.12864966432084257,-7,7,1.6923146E7
small,101,0.1,0.25162031393380735,-5,5,1.7630492E7
small,105,0.1,0.051619858502264915,-3,3,1.7877827E7
small,109,0.1,0.07850136582605716,-3,3,1.9153492E7
small,113,0.1,0.09615685166236032,-4,4,1.9455966E7
small,117,0.1,0.24404928073339072,-6,6,1.9691091E7
small,121,0.1,0.09891723247687145,-10,10,2.0107386E7
small,125,0.1,0.10719655594323352,-8,8,2.0396863E7
small,129,0.1,0.05259008276860744,-4,4,2.068752E7
small,133,0.1,0.20877990979190963,-13,13,2.1041588E7
small,137,0.1,0.07659132229411725,-4,4,2.1332639E7
small,141,0.1,0.09844164926047583,-5,5,2.1939949E7
small,145,0.1,0.05299017946899465,-4,4,2.2176256E7
small,149,0.1,0.048147268248043495,-3,3,2.2414927E7
small,153,0.1,0.09737479226511647,-5,5,2.2726065E7
small,157,0.1,0.2041713298546246,-6,6,2.3170322E7
small,1,0.1,0.10880999999999999,-36,36,376516.0
small,5,0.1,0.1452279455090395,-126,126,3885285.0
small,9,0.1,0.15239440079259015,-71,71,5703670.0
small,13,0.1,0.09911774589944544,-6,6,6400776.0
small,17,0.1,0.12797568426450656,-11,11,6914350.0
small,21,0.1,0.03519056617510952,-3,3,7412171.0
small,25,0.1,0.12423127111788768,-29,29,8295960.0
small,29,0.1,0.14603621559431623,-32,32,9981619.0
small,33,0.1,0.09777457416832291,-5,5,1.0837839E7
small,37,0.1,0.09708515247044347,-6,6,1.1380558E7
small,41,0.1,0.21017682077400868,-7,7,1.1965418E7
small,45,0.1,0.1818042310419996,-12,12,1.2345479E7
small,49,0.1,0.052341884630650926,-3,3,1.2651497E7
small,53,0.1,0.09752167243728227,-4,4,1.2975238E7
small,57,0.1,0.18284394474896626,-21,21,1.3429342E7
small,61,0.1,0.09733312400287764,-4,4,1.4140627E7
small,65,0.1,0.20205216190560105,-34,34,1.4632146E7
small,69,0.1,0.04157196335750468,-3,3,1.5332403E7
small,73,0.1,0.16211946567694246,-44,44,1.5999577E7
small,77,0.1,0.19773216561037543,-19,19,1.6381214E7
small,81,0.1,0.09813364359849941,-5,5,1.6919994E7
small,85,0.1,0.09583044495981063,-6,6,1.7236252E7
small,89,0.1,0.06085810446191742,-3,3,1.7456412E7
small,93,0.1,0.2544044011695128,-6,6,1.7799845E7
small,97,0.1,0.05328034362745093,-3,3,1.8086958E7
small,101,0.1,0.09698473424945009,-5,5,1.8370133E7
small,105,0.1,0.07978039368020218,-4,4,1.8600533E7
small,109,0.1,0.23677600704639867,-5,5,1.9261405E7
small,113,0.1,0.04679449612500064,-3,3,1.9500076E7
small,117,0.1,0.1403659020505894,-8,8,1.9834451E7
small,121,0.1,0.26321923041098727,-16,16,2.0258622E7
small,125,0.1,0.09843582733556833,-6,6,2.0570154E7
small,129,0.1,0.07006889477157152,-4,4,2.0844664E7
small,133,0.1,0.10743699932414419,-6,6,2.2346397E7
small,137,0.1,0.06626247668519802,-3,3,2.2566163E7
small,141,0.1,0.09736183091769934,-4,4,2.3002937E7
small,145,0.1,0.0520775349689,-3,3,2.3276266E7
small,149,0.1,0.039960583849445896,-3,3,2.3499183E7
small,153,0.1,0.09599926170271544,-4,4,2.373549E7
small,157,0.1,0.042930765795407666,-3,3,2.3993459E7
small,1,0.1,0.11769129090000002,-147,147,1266213.0
small,5,0.1,0.09988821990000002,-9,9,1970015.0
small,9,0.1,0.12522622460246924,-10,10,3989654.0
small,13,0.1,0.10188755150291384,-11,11,5611510.0
small,17,0.1,0.14282810121449274,-62,62,6908837.0
small,21,0.1,0.14124825196315416,-60,60,8346766.0
small,25,0.1,0.09822695562954675,-5,5,8629547.0
small,29,0.1,0.143015096573055,-35,35,9668512.0
small,33,0.1,0.09711244549722409,-8,8,1.0420363E7
small,37,0.1,0.0065876238284641175,-3,3,1.0857925E7
small,41,0.1,0.18625224735232937,-5,5,1.1051697E7
small,45,0.1,0.01745245052625144,-3,3,1.1540853E7
small,49,0.1,0.09762492096522557,-4,4,1.2287584E7
small,53,0.1,0.21260754610413768,-14,14,1.2765319E7
small,57,0.1,0.1210579953530253,-17,17,1.3314339E7
small,61,0.1,0.10662619962192887,-6,6,1.3732997E7
small,65,0.1,0.030882999072524342,-3,3,1.3937796E7
small,69,0.1,0.06365130809486885,-3,3,1.4120935E7
small,73,0.1,0.2243037032101407,-21,21,1.4428528E7
small,77,0.1,0.06722779498934894,-6,6,1.4614817E7
small,81,0.1,0.025644108237758978,-3,3,1.4881844E7
small,85,0.1,0.1264170725180347,-19,19,1.5211493E7
small,89,0.1,0.031069148699397253,-3,3,1.5405658E7
small,93,0.1,0.14675858445159973,-83,83,1.61197E7
small,97,0.1,0.17122167751403716,-5,5,1.6333558E7
small,101,0.1,0.04114906049645972,-3,3,1.654269E7
small,105,0.1,0.03188900150306262,-3,3,1.6715195E7
small,109,0.1,0.19423820718993534,-10,10,1.6971982E7
small,113,0.1,0.09861158113964108,-8,8,1.7169298E7
small,117,0.1,0.026784875521447482,-3,3,1.7360314E7
small,121,0.1,0.051193309973398105,-3,3,1.7633248E7
small,125,0.1,0.22862203164614447,-65,65,1.8289789E7
small,129,0.1,0.03736991340635698,-3,3,1.8572964E7
small,133,0.1,0.09731114202924918,-4,4,1.8777763E7
small,137,0.1,0.1882646016157652,-14,14,1.941343E7
small,141,0.1,0.052404855692754326,-3,3,1.986202E7
small,145,0.1,0.052132603566494407,-3,3,2.0076666E7
small,149,0.1,0.09877441427979483,-4,4,2.0255078E7
small,153,0.1,0.09743213944340878,-4,4,2.0427188E7
small,157,0.1,0.04531211519137868,-3,3,2.0612295E7
small,1,0.1,0.1099,-53,53,434805.0
small,5,0.1,0.13751061715370783,-17,17,1235887.0
small,9,0.1,0.1398700946917545,-51,51,2760856.0
small,13,0.1,0.13439434864155708,-10,10,3930577.0
small,17,0.1,0.12289622290058744,-8,8,4917554.0
small,21,0.1,0.15843870427642948,-17,17,5889171.0
small,25,0.1,0.1742982231454102,-15,15,7081341.0
small,29,0.1,0.1604771359289554,-68,68,8088404.0
small,33,0.1,0.09893494677272363,-11,11,8539357.0
small,37,0.1,0.09883727766462069,-12,12,9020242.0
small,41,0.1,0.09885643873053329,-4,4,9293965.0
small,45,0.1,0.13483164338223785,-75,75,1.0052117E7
small,49,0.1,0.1164659690210379,-11,11,1.1308484E7
small,53,0.1,0.09747226921839891,-6,6,1.1662945E7
small,57,0.1,0.05117896170492875,-3,3,1.2110747E7
small,61,0.1,0.04554772248141603,-3,3,1.227695E7
small,65,0.1,0.1643227787320094,-29,29,1.2613688E7
small,69,0.1,0.09618794628973593,-9,9,1.2837392E7
small,73,0.1,0.06247370007213693,-4,4,1.303589E7
small,77,0.1,0.04497182389463905,-3,3,1.3228481E7
small,81,0.1,0.13367288734830773,-5,5,1.3482511E7
small,85,0.1,0.023416700223222175,-3,3,1.3980726E7
small,89,0.1,0.19659998834085846,-5,5,1.4408442E7
small,93,0.1,0.04033866730268665,-3,3,1.4591974E7
small,97,0.1,0.04526185688317241,-3,3,1.4790078E7
small,101,0.1,0.048644645542307074,-3,3,1.5005118E7
small,105,0.1,0.19245684542005037,-6,6,1.5417474E7
small,109,0.1,0.04168547559032465,-3,3,1.5636846E7
small,113,0.1,0.15160700293499207,-12,12,1.5913325E7
small,117,0.1,0.0972049119796159,-4,4,1.6173657E7
small,121,0.1,0.14041866233172406,-38,38,1.6723465E7
small,125,0.1,0.04902514509088318,-3,3,1.6969619E7
small,129,0.1,0.05674755419941091,-3,3,1.7177175E7
small,133,0.1,0.06050800584628435,-3,3,1.7364252E7
small,137,0.1,0.044110336261941274,-3,3,1.7545027E7
small,141,0.1,0.035085712532166635,-3,3,1.7717531E7
small,145,0.1,0.03137447948080396,-3,3,1.78987E7
small,149,0.1,0.1691019993960996,-5,5,1.8094835E7
small,153,0.1,0.03600208363932755,-3,3,1.826734E7
small,157,0.1,0.09642316388985916,-4,4,1.8443388E7
small,1,0.1,0.11881,-72,72,554535.0
small,5,0.1,0.13780372733822782,-134,134,2032243.0
small,9,0.1,0.09921184365355873,-5,5,3272068.0
small,13,0.1,0.1479577982669682,-27,27,5481147.0
small,17,0.1,0.1623614884246769,-15,15,6017959.0
small,21,0.1,0.13062689448560771,-21,21,6663471.0
small,25,0.1,0.09911947852557323,-9,9,7395630.0
small,29,0.1,0.09935144820134945,-7,7,8123850.0
small,33,0.1,0.2081975914173777,-34,34,8778421.0
small,37,0.1,0.09688043680056913,-5,5,9253399.0
small,41,0.1,0.09753482391815727,-5,5,9502309.0
small,45,0.1,0.03996723411982406,-3,3,9874887.0
small,49,0.1,0.02633244585770811,-3,3,1.0040302E7
small,53,0.1,0.09556958924694081,-4,4,1.0779944E7
small,57,0.1,0.09878560400578351,-6,6,1.0970171E7
small,61,0.1,0.17413931543202965,-13,13,1.1216719E7
small,65,0.1,0.24622095528763377,-7,7,1.1529432E7
small,69,0.1,0.10770866951631186,-12,12,1.2853147E7
small,73,0.1,0.09616412184636314,-4,4,1.3028802E7
small,77,0.1,0.10715294980647627,-11,11,1.3248174E7
small,81,0.1,0.2191702230383039,-11,11,1.3586093E7
small,85,0.1,0.07601051635515077,-3,3,1.3983877E7
small,89,0.1,0.06066288274297493,-3,3,1.4162683E7
small,93,0.1,0.042469873852350126,-3,3,1.4426165E7
small,97,0.1,0.1483533613260628,-6,6,1.4610091E7
small,101,0.1,0.03576373650852416,-3,3,1.5070103E7
small,105,0.1,0.13655054672003963,-16,16,1.5350521E7
small,109,0.1,0.04027317534992658,-3,3,1.5516723E7
small,113,0.1,0.17705004104646527,-5,5,1.5683714E7
small,117,0.1,0.21645049759833723,-23,23,1.598343E7
small,121,0.1,0.1328603157886188,-8,8,1.6182322E7
