gridWorld,strategy,numIncentiveLoc,incentive,lastMaxDelta,rewards,numOfActions,runningTime
large,valueIteration,2,0.5,0.0,-17,17,1.075284741E9
large,valueIteration,2,0.5,0.0,-24,24,8.2061521E8
large,valueIteration,2,0.5,0.0,-23,23,1.177429741E9
large,valueIteration,2,0.5,0.0,-21,21,9.61948621E8
large,valueIteration,2,1.0,0.0018900873525709017,-19,19,1.074521862E9
large,valueIteration,2,1.0,0.0018900873525709017,-23,23,1.344463537E9
large,valueIteration,2,1.0,0.0018900873525709017,-19,19,1.077347703E9
large,valueIteration,2,1.0,0.0018900873525709017,-17,17,9.07899634E8
large,valueIteration,2,1.0,0.0018900873525709017,-17,17,1.002369374E9
large,valueIteration,2,1.0,0.0018900873525709017,-22,22,8.1746681E8
large,valueIteration,2,1.0,0.0018900873525709017,-26,26,8.20606546E8
large,valueIteration,2,1.0,0.0018900873525709017,-22,22,8.19582942E8
large,valueIteration,2,1.0,0.0018900873525709017,-21,21,1.296504976E9
large,valueIteration,2,1.0,0.0018900873525709017,-16,16,8.72515771E8
large,valueIteration,2,1.15,4.3958686958767146E-4,-19,19,9.17154214E8
large,valueIteration,2,1.15,4.3958686958767146E-4,-26,26,1.30183016E9
large,valueIteration,2,1.15,4.3958686958767146E-4,-16,16,8.17696816E8
large,valueIteration,2,1.15,4.3958686958767146E-4,-23,23,8.20239088E8
large,valueIteration,2,1.15,4.3958686958767146E-4,-19,19,9.73796674E8
large,valueIteration,2,1.15,4.3958686958767146E-4,-20,20,1.089911373E9
large,valueIteration,2,1.15,4.3958686958767146E-4,-20,20,1.504259636E9
large,valueIteration,2,1.15,4.3958686958767146E-4,-27,27,1.279351431E9
large,valueIteration,2,1.15,4.3958686958767146E-4,-23,23,1.356766481E9
large,valueIteration,2,1.15,4.3958686958767146E-4,-22,22,1.241043659E9
large,valueIteration,2,1.16,3.435185270657115E-4,-19,19,1.532295919E9
large,valueIteration,2,1.16,3.435185270657115E-4,-18,18,1.083566916E9
large,valueIteration,2,1.16,3.435185270657115E-4,-22,22,1.299293401E9
large,valueIteration,2,1.16,3.435185270657115E-4,-29,29,1.262938709E9
large,valueIteration,2,1.16,3.435185270657115E-4,-23,23,8.57831243E8
large,valueIteration,2,1.16,3.435185270657115E-4,-23,23,1.074684914E9
large,valueIteration,2,1.16,3.435185270657115E-4,-16,16,1.08224399E9
large,valueIteration,2,1.16,3.435185270657115E-4,-17,17,1.093992006E9
large,valueIteration,2,1.16,3.435185270657115E-4,-27,27,1.104900343E9
large,valueIteration,2,1.16,3.435185270657115E-4,-21,21,1.00778278E9
large,valueIteration,2,1.162,3.2449858402072707E-4,-22,22,1.297781823E9
large,valueIteration,2,1.162,3.2449858402072707E-4,-22,22,8.9246483E8
large,valueIteration,2,1.162,3.2449858402072707E-4,-19,19,8.21425745E8
large,valueIteration,2,1.162,3.2449858402072707E-4,-23,23,1.267616806E9
large,valueIteration,2,1.162,3.2449858402072707E-4,-19,19,8.7577878E8
large,valueIteration,2,1.162,3.2449858402072707E-4,-21,21,8.32371498E8
large,valueIteration,2,1.162,3.2449858402072707E-4,-21,21,1.286795898E9
large,valueIteration,2,1.162,3.2449858402072707E-4,-22,22,8.20934619E8
large,valueIteration,2,1.162,3.2449858402072707E-4,-20,20,8.22390666E8
large,valueIteration,2,1.162,3.2449858402072707E-4,-17,17,1.096267644E9
large,valueIteration,2,1.163,3.1499232859077964E-4,-20,20,1.259461841E9
large,valueIteration,2,1.163,3.1499232859077964E-4,-23,23,1.091426103E9
large,valueIteration,2,1.163,3.1499232859077964E-4,-15,15,1.016118912E9
large,valueIteration,2,1.163,3.1499232859077964E-4,-24,24,1.108255119E9
large,valueIteration,2,1.163,3.1499232859077964E-4,-25,25,1.155090827E9
large,valueIteration,2,1.163,3.1499232859077964E-4,-23,23,1.369256109E9
large,valueIteration,2,1.163,3.1499232859077964E-4,-17,17,1.121513926E9
large,valueIteration,2,1.163,3.1499232859077964E-4,-21,21,8.21647085E8
large,valueIteration,2,1.163,3.1499232859077964E-4,-20,20,8.28505117E8
large,valueIteration,2,1.163,3.1499232859077964E-4,-19,19,1.503784658E9
large,valueIteration,3,0.0,0.0,-24,24,9.00027451E8
large,valueIteration,3,0.0,0.0,-17,17,1.170798565E9
large,valueIteration,3,0.0,0.0,-21,21,1.209670718E9
large,valueIteration,3,0.0,0.0,-18,18,9.61615034E8
large,valueIteration,3,0.0,0.0,-29,29,1.321086053E9
large,valueIteration,3,0.0,0.0,-17,17,1.216414533E9
large,valueIteration,3,0.0,0.0,-21,21,1.323151772E9
large,valueIteration,3,0.0,0.0,-19,19,1.278924897E9
large,valueIteration,3,0.0,0.0,-19,19,8.24034183E8
large,valueIteration,3,0.0,0.0,-18,18,1.088510465E9
large,valueIteration,3,0.5,0.0,-26,26,1.038425926E9
large,valueIteration,3,0.5,0.0,-22,22,1.208181588E9
large,valueIteration,3,0.5,0.0,-20,20,1.209294595E9
large,valueIteration,3,0.5,0.0,-22,22,1.05159533E9
large,valueIteration,3,0.5,0.0,-23,23,1.388568321E9
large,valueIteration,3,0.5,0.0,-31,31,9.93294781E8
large,valueIteration,3,0.5,0.0,-23,23,1.217969829E9
large,valueIteration,3,0.5,0.0,-26,26,1.193798745E9
large,valueIteration,3,0.5,0.0,-15,15,1.191844878E9
large,valueIteration,3,0.5,0.0,-15,15,9.57519829E8
large,valueIteration,3,1.0,0.0018900873525460327,-25,25,8.20846397E8
large,valueIteration,3,1.0,0.0018900873525460327,-18,18,1.285131901E9
large,valueIteration,3,1.0,0.0018900873525460327,-32,32,8.21352489E8
large,valueIteration,3,1.0,0.0018900873525460327,-22,22,8.22102371E8
large,valueIteration,3,1.0,0.0018900873525460327,-23,23,8.21009055E8
large,valueIteration,3,1.0,0.0018900873525460327,-19,19,8.21030718E8
large,valueIteration,3,1.0,0.0018900873525460327,-21,21,9.91908838E8
large,valueIteration,3,1.0,0.0018900873525460327,-26,26,1.142128979E9
large,valueIteration,3,1.0,0.0018900873525460327,-19,19,8.21376119E8
large,valueIteration,3,1.0,0.0018900873525460327,-20,20,8.22566321E8
large,valueIteration,3,1.15,4.669781737622891E-4,-22,22,8.1797999E8
large,valueIteration,3,1.15,4.669781737622891E-4,-23,23,1.457497577E9
large,valueIteration,3,1.15,4.669781737622891E-4,-19,19,8.94337172E8
large,valueIteration,3,1.15,4.669781737622891E-4,-23,23,8.22190986E8
large,valueIteration,3,1.15,4.669781737622891E-4,-21,21,1.093695046E9
large,valueIteration,3,1.15,4.669781737622891E-4,-23,23,1.037039196E9
large,valueIteration,3,1.15,4.669781737622891E-4,-19,19,1.098719333E9
large,valueIteration,3,1.15,4.669781737622891E-4,-23,23,8.21752636E8
large,valueIteration,3,1.15,4.669781737622891E-4,-20,20,1.023515724E9
large,valueIteration,3,1.15,4.669781737622891E-4,-22,22,1.140345253E9
large,valueIteration,3,1.16,3.7233246133983045E-4,-16,16,1.265701535E9
large,valueIteration,3,1.16,3.7233246133983045E-4,-19,19,1.396827654E9
large,valueIteration,3,1.16,3.7233246133983045E-4,-23,23,1.181085414E9
large,valueIteration,3,1.16,3.7233246133983045E-4,-17,17,9.32693387E8
large,valueIteration,3,1.16,3.7233246133983045E-4,-20,20,9.84719977E8
large,valueIteration,3,1.16,3.7233246133983045E-4,-21,21,1.270669107E9
large,valueIteration,3,1.16,3.7233246133983045E-4,-15,15,9.14236607E8
large,valueIteration,3,1.16,3.7233246133983045E-4,-20,20,1.243788762E9
large,valueIteration,3,1.16,3.7233246133983045E-4,-26,24277717,1.146445131E9
large,valueIteration,3,1.16,3.7233246133983045E-4,-30,30,8.14614187E8
large,valueIteration,3,1.162,3.5340445700660084E-4,-22,22,8.14787479E8
large,valueIteration,3,1.162,3.5340445700660084E-4,-17,17,1.420158665E9
large,valueIteration,3,1.162,3.5340445700660084E-4,-20,20,8.14701621E8
large,valueIteration,3,1.162,3.5340445700660084E-4,-19,19,8.14457437E8
large,valueIteration,3,1.162,3.5340445700660084E-4,-15,15,1.024405421E9
large,valueIteration,3,1.162,3.5340445700660084E-4,-21,21,9.09517551E8
large,valueIteration,3,1.162,3.5340445700660084E-4,-16,16,8.16291181E8
large,valueIteration,3,1.162,3.5340445700660084E-4,-19,19,8.15250247E8
large,valueIteration,3,1.162,3.5340445700660084E-4,-21,21,8.28633903E8
large,valueIteration,3,1.162,3.5340445700660084E-4,-22,22,8.14902482E8
large,valueIteration,3,1.163,3.439410167169754E-4,-19,19,1.045614787E9
large,valueIteration,3,1.163,3.439410167169754E-4,-24,24,9.93104947E8
large,valueIteration,3,1.163,3.439410167169754E-4,-24,24,8.15241583E8
large,valueIteration,3,1.163,3.439410167169754E-4,-19,19,1.063492614E9
large,valueIteration,3,1.163,3.439410167169754E-4,-29,29,1.208975187E9
large,valueIteration,3,1.163,3.439410167169754E-4,-25,25,9.36557799E8
large,valueIteration,3,1.163,3.439410167169754E-4,-20,20,8.21327677E8
large,valueIteration,3,1.163,3.439410167169754E-4,-20,20,1.091867998E9
large,valueIteration,3,1.163,3.439410167169754E-4,-18,18,1.043566003E9
large,valueIteration,3,1.163,3.439410167169754E-4,-24,24,8.20447432E8
