Algorithm,Iteration,N,Evaluation,TrainingTime
MIMIC,20,20,18.0,1.0691719E7
RHC,20,30,30.0,507272.0
SA,20,30,30.0,1439110.0
GA,20,30,23.0,710891.0
MIMIC,20,30,29.0,1.9689508E7
RHC,20,40,40.0,582103.0
SA,20,40,40.0,1511972.0
GA,20,40,29.0,910570.0
MIMIC,20,40,35.0,3.2837246E7
RHC,20,50,50.0,695925.0
SA,20,50,50.0,1634851.0
GA,20,50,35.0,1101980.0
MIMIC,20,50,45.0,4.4420236E7
RHC,20,60,60.0,699076.0
SA,20,60,60.0,1482040.0
GA,20,60,41.0,1125216.0
MIMIC,20,60,51.0,5.7326152E7
RHC,30,10,10.0,386362.0
SA,30,10,10.0,1495430.0
GA,30,10,9.0,374153.0
MIMIC,30,10,10.0,4244865.0
RHC,30,20,20.0,467888.0
SA,30,20,20.0,1558840.0
GA,30,20,19.0,575408.0
MIMIC,30,20,18.0,1.1625525E7
RHC,30,30,30.0,578953.0
SA,30,30,30.0,1702200.0
GA,30,30,25.0,764060.0
MIMIC,30,30,28.0,2.2157737E7
RHC,30,40,40.0,708134.0
SA,30,40,40.0,1760095.0
GA,30,40,30.0,986582.0
MIMIC,30,40,35.0,3.4934866E7
RHC,30,50,50.0,723100.0
SA,30,50,50.0,1680932.0
GA,30,50,32.0,1073228.0
MIMIC,30,50,46.0,4.841304E7
RHC,30,60,60.0,819592.0
SA,30,60,60.0,1782544.0
GA,30,60,40.0,1274484.0
MIMIC,30,60,56.0,6.33063E7
RHC,40,10,10.0,415113.0
SA,40,10,10.0,1638003.0
GA,40,10,9.0,393845.0
MIMIC,40,10,10.0,4511892.0
RHC,40,20,20.0,503335.0
SA,40,20,20.0,1803023.0
GA,40,20,16.0,618731.0
MIMIC,40,20,19.0,1.2052848E7
RHC,40,30,30.0,621882.0
SA,40,30,30.0,1853436.0
GA,40,30,23.0,803050.0
MIMIC,40,30,29.0,2.7401786E7
RHC,40,40,40.0,714436.0
SA,40,40,40.0,1949140.0
GA,40,40,30.0,1114582.0
MIMIC,40,40,37.0,3.6544512E7
RHC,40,50,50.0,784146.0
SA,40,50,50.0,1862494.0
GA,40,50,34.0,1169720.0
MIMIC,40,50,46.0,5.0511054E7
RHC,40,60,60.0,889696.0
SA,40,60,60.0,1992857.0
GA,40,60,41.0,1376883.0
MIMIC,40,60,54.0,6.6750477E7
RHC,50,10,10.0,435987.0
SA,50,10,10.0,1715591.0
GA,50,10,8.0,408024.0
MIMIC,50,10,10.0,4679276.0
RHC,50,20,20.0,531298.0
SA,50,20,20.0,1814051.0
GA,50,20,15.0,616762.0
MIMIC,50,20,20.0,1.2635345E7
RHC,50,30,30.0,640787.0
SA,50,30,30.0,1949928.0
GA,50,30,22.0,853069.0
MIMIC,50,30,27.0,2.3632294E7
RHC,50,40,40.0,744368.0
SA,50,40,40.0,1938900.0
GA,50,40,30.0,1029512.0
MIMIC,50,40,37.0,3.7961173E7
RHC,50,50,50.0,862128.0
SA,50,50,50.0,2127946.0
GA,50,50,34.0,1250853.0
MIMIC,50,50,46.0,5.3893791E7
RHC,50,60,60.0,1020454.0
SA,50,60,60.0,2218925.0
GA,50,60,37.0,1459984.0
MIMIC,50,60,57.0,8.1685878E7
RHC,60,10,10.0,500184.0
SA,60,10,10.0,1998765.0
GA,60,10,10.0,470645.0
MIMIC,60,10,10.0,5319275.0
RHC,60,20,20.0,606916.0
SA,60,20,20.0,2121251.0
GA,60,20,14.0,725463.0
MIMIC,60,20,18.0,1.4331637E7
RHC,60,30,30.0,744367.0
SA,60,30,30.0,2281546.0
GA,60,30,24.0,942865.0
MIMIC,60,30,28.0,2.7446685E7
RHC,60,40,40.0,883789.0
SA,60,40,40.0,2404031.0
GA,60,40,26.0,1211862.0
MIMIC,60,40,38.0,4.4931448E7
RHC,60,50,50.0,1049204.0
SA,60,50,50.0,2528093.0
GA,60,50,33.0,1466286.0
MIMIC,60,50,47.0,6.3547727E7
RHC,60,60,60.0,1165782.0
SA,60,60,60.0,2642702.0
GA,60,60,42.0,1747492.0
MIMIC,60,60,54.0,9.0407189E7
RHC,10,10,10.0,90191.0
SA,10,10,10.0,289476.0
GA,10,10,9.0,95705.0
MIMIC,10,10,10.0,1031875.0
RHC,10,20,20.0,105550.0
SA,10,20,20.0,298929.0
GA,10,20,17.0,142965.0
MIMIC,10,20,19.0,2901065.0
RHC,10,30,30.0,136664.0
SA,10,30,30.0,342251.0
GA,10,30,22.0,193772.0
MIMIC,10,30,26.0,9233309.0
RHC,10,40,40.0,162658.0
SA,10,40,40.0,355643.0
GA,10,40,26.0,270966.0
MIMIC,10,40,37.0,9504275.0
RHC,10,50,50.0,187864.0
SA,10,50,50.0,382817.0
GA,10,50,37.0,298535.0
MIMIC,10,50,45.0,1.4118961E7
RHC,10,60,60.0,216615.0
SA,10,60,60.0,409599.0
GA,10,60,39.0,349341.0
MIMIC,10,60,47.0,1.9474469E7
RHC,20,10,10.0,170535.0
SA,20,10,10.0,638817.0
GA,20,10,10.0,168565.0
MIMIC,20,10,10.0,1885338.0
RHC,20,20,20.0,205194.0
SA,20,20,20.0,668750.0
GA,20,20,16.0,255605.0
MIMIC,20,20,19.0,5220026.0
RHC,20,30,30.0,257575.0
SA,20,30,30.0,712073.0
GA,20,30,20.0,346977.0
MIMIC,20,30,28.0,9842588.0
RHC,20,40,40.0,299322.0
SA,20,40,40.0,758546.0
GA,20,40,30.0,463556.0
MIMIC,20,40,35.0,1.666517E7
RHC,20,50,50.0,356824.0
SA,20,50,50.0,826681.0
GA,20,50,33.0,547839.0
MIMIC,20,50,44.0,2.5007602E7
RHC,20,60,60.0,420627.0
SA,20,60,60.0,920810.0
GA,20,60,38.0,647481.0
MIMIC,20,60,52.0,3.4425624E7
RHC,30,10,10.0,253243.0
SA,30,10,10.0,1002730.0
