Algorithm,Iteration,N,Evaluation,TrainingTime
SA,100,30,53.0,205981.0
GA,100,30,43.0,5135351.0
MIMIC,100,30,47.0,8.4118301E7
RHC,100,60,21.0,165415.0
SA,100,60,9.0,208738.0
GA,100,60,15.0,6525625.0
MIMIC,100,60,20.0,2.33441654E8
RHC,100,100,23.0,217797.0
SA,100,100,11.0,274511.0
GA,100,100,10.0,8796144.0
MIMIC,100,100,23.0,1.180321748E9
RHC,100,200,5.0,538386.0
SA,100,200,5.0,634091.0
GA,100,200,10.0,2.1443309E7
MIMIC,100,200,27.0,2.81469335E9
RHC,100,300,2.0,701439.0
SA,100,300,6.0,798325.0
GA,100,300,10.0,2.279223E7
MIMIC,100,300,44.0,6.206943731E9
RHC,200,10,17.0,334375.0
SA,200,10,10.0,1080318.0
GA,200,10,17.0,1.9004225E7
MIMIC,200,10,17.0,9.3090493E7
RHC,200,30,30.0,382424.0
SA,200,30,30.0,933020.0
GA,200,30,47.0,1.9547732E7
MIMIC,200,30,16.0,2.63163595E8
RHC,200,60,60.0,391877.0
SA,200,60,28.0,615975.0
GA,200,60,11.0,1.7617101E7
MIMIC,200,60,17.0,9.88160217E8
RHC,200,100,33.0,598251.0
SA,200,100,24.0,805414.0
GA,200,100,16.0,2.6725171E7
MIMIC,200,100,36.0,1.308881176E9
RHC,200,200,21.0,911752.0
SA,200,200,10.0,1025574.0
GA,200,200,15.0,3.4132223E7
MIMIC,200,200,33.0,6.283583301E9
RHC,200,300,12.0,1925510.0
SA,200,300,7.0,2167331.0
GA,200,300,17.0,6.9262055E7
MIMIC,200,300,39.0,1.3786732686E10
RHC,400,10,10.0,405267.0
SA,400,10,17.0,1488736.0
GA,400,10,17.0,2.4007637E7
MIMIC,400,10,17.0,1.13049006E8
RHC,400,30,30.0,479704.0
SA,400,30,53.0,1357191.0
GA,400,30,44.0,2.4360523E7
MIMIC,400,30,48.0,6.6246578E8
RHC,400,60,60.0,1458803.0
SA,400,60,52.0,2674605.0
GA,400,60,76.0,6.1896358E7
MIMIC,400,60,26.0,1.60846681E9
RHC,400,100,13.0,1565929.0
SA,400,100,37.0,2431996.0
GA,400,100,21.0,6.7943461E7
MIMIC,400,100,43.0,2.875749635E9
RHC,400,200,29.0,1796723.0
SA,400,200,20.0,2083836.0
GA,400,200,16.0,7.1923269E7
MIMIC,400,200,51.0,1.1418371394E10
RHC,400,300,16.0,3139342.0
SA,400,300,12.0,3473323.0
GA,400,300,17.0,1.4385796E8
MIMIC,400,300,38.0,2.2182226779E10
RHC,1000,10,17.0,729402.0
SA,1000,10,17.0,2836081.0
GA,1000,10,17.0,4.2143433E7
MIMIC,1000,10,17.0,4.23033343E8
RHC,1000,30,30.0,1810901.0
SA,1000,30,30.0,5614661.0
GA,1000,30,53.0,9.5278305E7
MIMIC,1000,30,53.0,1.479954251E9
RHC,1000,60,60.0,1808538.0
SA,1000,60,60.0,9641731.0
GA,1000,60,79.0,1.58772888E8
MIMIC,1000,60,53.0,3.086979981E9
RHC,1000,100,95.0,3277188.0
SA,1000,100,100.0,5250353.0
GA,1000,100,28.0,1.22077125E8
MIMIC,1000,100,79.0,8.017934934E9
RHC,1000,200,43.0,5043191.0
SA,1000,200,42.0,6215669.0
GA,1000,200,19.0,1.84144413E8
MIMIC,1000,200,70.0,2.5141019123E10
RHC,1000,300,32.0,1.0161607E7
SA,1000,300,35.0,1.1649161E7
GA,1000,300,14.0,3.72244214E8
MIMIC,1000,300,77.0,5.5466296084E10
RHC,10,10,10.0,26782.0
SA,10,10,0.0,43323.0
GA,10,10,17.0,1260305.0
MIMIC,10,10,17.0,6284986.0
RHC,10,30,4.0,26781.0
SA,10,30,3.0,44111.0
GA,10,30,38.0,1563961.0
MIMIC,10,30,51.0,2.7664493E7
RHC,10,60,7.0,40173.0
SA,10,60,2.0,55138.0
GA,10,60,11.0,2096439.0
MIMIC,10,60,18.0,8.6436868E7
RHC,10,100,4.0,53956.0
SA,10,100,3.0,67742.0
GA,10,100,14.0,2849472.0
MIMIC,10,100,15.0,1.77174529E8
RHC,10,200,3.0,78770.0
SA,10,200,3.0,89403.0
GA,10,200,15.0,3682455.0
MIMIC,10,200,17.0,4.51814781E8
RHC,10,300,1.0,84283.0
SA,10,300,2.0,83889.0
GA,10,300,13.0,3282702.0
MIMIC,10,300,31.0,8.38704926E8
RHC,30,10,10.0,32295.0
SA,30,10,5.0,52775.0
GA,30,10,17.0,1612403.0
MIMIC,30,10,17.0,8013967.0
RHC,30,30,26.0,38597.0
SA,30,30,1.0,60652.0
GA,30,30,40.0,5991177.0
MIMIC,30,30,13.0,3.2250822E7
RHC,30,60,8.0,57896.0
SA,30,60,2.0,80345.0
GA,30,60,15.0,2489103.0
MIMIC,30,60,12.0,9.5772187E7
RHC,30,100,5.0,80738.0
SA,30,100,2.0,100037.0
GA,30,100,11.0,3387071.0
MIMIC,30,100,24.0,2.24137843E8
RHC,30,200,4.0,154387.0
SA,30,200,0.0,160689.0
GA,30,200,9.0,5768655.0
MIMIC,30,200,15.0,8.1965344E8
RHC,30,300,4.0,224492.0
SA,30,300,3.0,239064.0
GA,30,300,11.0,1.7122038E7
MIMIC,30,300,21.0,2.827663468E9
RHC,60,10,10.0,94129.0
SA,60,10,17.0,170535.0
GA,60,10,17.0,4930157.0
MIMIC,60,10,17.0,2.2657929E7
RHC,60,30,28.0,103976.0
SA,60,30,2.0,166597.0
GA,60,30,45.0,5407105.0
MIMIC,60,30,48.0,8.5725189E7
RHC,60,60,8.0,119729.0
SA,60,60,7.0,185501.0
GA,60,60,18.0,6046709.0
MIMIC,60,60,18.0,2.09849129E8
RHC,60,100,3.0,168172.0
SA,60,100,9.0,200467.0
GA,60,100,18.0,6885600.0
MIMIC,60,100,18.0,4.72824467E8
RHC,60,200,4.0,476947.0
SA,60,200,4.0,556504.0
GA,60,200,12.0,2.0812763E7
MIMIC,60,200,24.0,1.925100046E9
RHC,60,300,2.0,430473.0
SA,60,300,1.0,484036.0
GA,60,300,10.0,1.4138264E7
MIMIC,60,300,21.0,3.669680241E9
RHC,100,10,10.0,118153.0
SA,100,10,17.0,300504.0
GA,100,10,17.0,6685921.0
MIMIC,100,10,17.0,3.7522838E7
RHC,100,30,27.0,150449.0
SA,100,30,7.0,254031.0
GA,100,30,46.0,7900540.0
MIMIC,100,30,13.0,1.19956267E8
RHC,100,60,30.0,186682.0
SA,100,60,14.0,255212.0
GA,100,60,41.0,8548022.0
MIMIC,100,60,17.0,2.89830477E8
RHC,100,100,19.0,260332.0
SA,100,100,12.0,323741.0
GA,100,100,19.0,1.0367588E7
MIMIC,100,100,19.0,9.14583979E8
RHC,100,200,9.0,743975.0
SA,100,200,4.0,940502.0
GA,100,200,12.0,3.3257492E7
MIMIC,100,200,15.0,3.547135621E9
RHC,100,300,3.0,1209105.0
SA,100,300,3.0,1335924.0
GA,100,300,11.0,4.3316698E7
MIMIC,100,300,45.0,6.572865938E9
RHC,200,10,17.0,181563.0
SA,200,10,10.0,564380.0
GA,200,10,17.0,1.0291969E7
MIMIC,200,10,17.0,1.09327167E8
RHC,200,30,30.0,498609.0
SA,200,30,53.0,1367826.0
GA,200,30,43.0,2.7918129E7
MIMIC,200,30,48.0,3.37231746E8
RHC,200,60,25.0,611248.0
SA,200,60,32.0,1079137.0
GA,200,60,79.0,3.2308718E7
MIMIC,200,60,42.0,7.90619153E8
RHC,200,100,10.0,3806910.0
SA,200,100,11.0,621882.0
GA,200,100,18.0,2.0059337E7
MIMIC,200,100,28.0,1.720344127E9
RHC,200,200,18.0,1127580.0
SA,200,200,13.0,1408785.0
GA,200,200,10.0,4.9364196E7
MIMIC,200,200,27.0,6.530367651E9
RHC,200,300,2.0,2144095.0
SA,200,300,8.0,2376069.0
GA,200,300,15.0,8.0537457E7
MIMIC,200,300,40.0,1.409902929E10
RHC,400,10,10.0,408418.0
SA,400,10,17.0,1517881.0
GA,400,10,17.0,2.4072228E7
MIMIC,400,10,17.0,1.24340555E8
RHC,400,30,30.0,1023211.0
SA,400,30,53.0,2899884.0
GA,400,30,53.0,5.2624843E7
MIMIC,400,30,53.0,7.34420951E8
RHC,400,60,60.0,1221315.0
SA,400,60,60.0,2670273.0
GA,400,60,14.0,6.7789468E7
MIMIC,400,60,41.0,1.703634446E9
RHC,400,100,64.0,1714409.0
SA,400,100,46.0,2450507.0
GA,400,100,18.0,6.5457509E7
MIMIC,400,100,38.0,4.073985444E9
RHC,400,200,35.0,2306359.0
SA,400,200,20.0,2810088.0
GA,400,200,18.0,9.0801464E7
MIMIC,400,200,39.0,1.159769435E10
RHC,400,300,14.0,2788032.0
SA,400,300,15.0,3120831.0
GA,400,300,19.0,1.24255878E8
MIMIC,400,300,43.0,2.2557017992E10
RHC,1000,10,10.0,890485.0
SA,1000,10,10.0,3474111.0
GA,1000,10,17.0,5.1836364E7
MIMIC,1000,10,17.0,4.32114631E8
RHC,1000,30,30.0,1530877.0
SA,1000,30,30.0,5629233.0
GA,1000,30,53.0,8.0477987E7
MIMIC,1000,30,53.0,1.462580941E9
RHC,1000,60,60.0,2256735.0
SA,1000,60,60.0,5995509.0
GA,1000,60,79.0,1.27707146E8
MIMIC,1000,60,60.0,3.411554323E9
RHC,1000,100,85.0,2683662.0
SA,1000,100,100.0,4570182.0
GA,1000,100,27.0,1.01358885E8
MIMIC,1000,100,100.0,7.614130702E9
RHC,1000,200,56.0,7501574.0
SA,1000,200,53.0,9604709.0
GA,1000,200,24.0,3.22741385E8
MIMIC,1000,200,80.0,2.8504393543E10
RHC,1000,300,26.0,1.1122984E7
SA,1000,300,33.0,7971038.0
GA,1000,300,20.0,2.59218051E8
MIMIC,1000,300,83.0,5.4143297125E10
RHC,10,10,10.0,14572.0
SA,10,10,3.0,19693.0
GA,10,10,17.0,582498.0
MIMIC,10,10,17.0,2909336.0
RHC,10,30,7.0,12997.0
SA,10,30,3.0,22449.0
GA,10,30,44.0,729796.0
MIMIC,10,30,41.0,1.6175233E7
RHC,10,60,1.0,21267.0
SA,10,60,1.0,28357.0
GA,10,60,13.0,986189.0
MIMIC,10,60,13.0,4.0405787E7
RHC,10,100,1.0,32689.0
SA,10,100,4.0,43717.0
GA,10,100,9.0,1413117.0
MIMIC,10,100,11.0,1.02186354E8
RHC,10,200,2.0,57502.0
SA,10,200,4.0,78769.0
GA,10,200,7.0,2416242.0
MIMIC,10,200,19.0,3.86577825E8
RHC,10,300,4.0,80738.0
SA,10,300,1.0,84283.0
GA,10,300,10.0,3289398.0
MIMIC,10,300,24.0,8.59405837E8
RHC,30,10,10.0,31901.0
SA,30,10,2.0,53169.0
GA,30,10,17.0,1652970.0
MIMIC,30,10,17.0,7990730.0
RHC,30,30,14.0,38597.0
SA,30,30,1.0,59077.0
GA,30,30,42.0,1956230.0
MIMIC,30,30,43.0,3.1771513E7
RHC,30,60,3.0,64590.0
SA,30,60,0.0,79951.0
GA,30,60,17.0,2641521.0
MIMIC,30,60,12.0,9.887372E7
RHC,30,100,5.0,82314.0
SA,30,100,1.0,108307.0
GA,30,100,10.0,3404794.0
MIMIC,30,100,24.0,2.32854037E8
RHC,30,200,0.0,144542.0
SA,30,200,0.0,170535.0
GA,30,200,13.0,5711940.0
MIMIC,30,200,26.0,8.30213224E8
RHC,30,300,1.0,231975.0
SA,30,300,1.0,239458.0
GA,30,300,9.0,7617759.0
MIMIC,30,300,17.0,2.129137199E9
RHC,60,10,10.0,58289.0
SA,60,10,10.0,107520.0
GA,60,10,17.0,3198813.0
MIMIC,60,10,17.0,3.4302364E7
RHC,60,30,27.0,153206.0
SA,60,30,3.0,251273.0
GA,60,30,52.0,8143937.0
MIMIC,60,30,45.0,1.29733481E8
RHC,60,60,7.0,182351.0
SA,60,60,12.0,298141.0
GA,60,60,15.0,9984376.0
MIMIC,60,60,28.0,3.28967687E8
RHC,60,100,3.0,252455.0
SA,60,100,1.0,385574.0
GA,60,100,14.0,1.2867324E7
MIMIC,60,100,21.0,6.18563433E8
RHC,60,200,5.0,281599.0
SA,60,200,0.0,346584.0
GA,60,200,12.0,1.1369136E7
MIMIC,60,200,23.0,2.199270047E9
RHC,60,300,5.0,554928.0
SA,60,300,3.0,619519.0
GA,60,300,8.0,1.99081E7
MIMIC,60,300,19.0,4.24470012E9
RHC,100,10,17.0,132726.0
SA,100,10,10.0,328073.0
GA,100,10,17.0,7494879.0
MIMIC,100,10,17.0,3.6885596E7
RHC,100,30,30.0,174474.0
SA,100,30,17.0,305624.0
GA,100,30,41.0,8750458.0
MIMIC,100,30,52.0,1.27943847E8
RHC,100,60,19.0,179987.0
SA,100,60,14.0,288689.0
GA,100,60,75.0,9072624.0
MIMIC,100,60,32.0,3.52846932E8
RHC,100,100,14.0,457254.0
SA,100,100,9.0,644725.0
GA,100,100,14.0,2.0888382E7
MIMIC,100,100,25.0,1.212576903E9
RHC,100,200,4.0,573833.0
SA,100,200,2.0,678202.0
GA,100,200,12.0,2.7080025E7
MIMIC,100,200,17.0,3.033992801E9
RHC,100,300,6.0,1053537.0
SA,100,300,2.0,1238250.0
GA,100,300,7.0,4.0252187E7
MIMIC,100,300,21.0,6.010089532E9
RHC,200,10,10.0,290658.0
SA,200,10,17.0,857401.0
GA,200,10,17.0,1.5244182E7
MIMIC,200,10,17.0,1.0323674E8
RHC,200,30,30.0,502153.0
SA,200,30,30.0,1274484.0
GA,200,30,49.0,2.6623952E7
MIMIC,200,30,17.0,3.62083789E8
RHC,200,60,25.0,465525.0
SA,200,60,37.0,844011.0
GA,200,60,22.0,2.1022289E7
MIMIC,200,60,30.0,5.92811454E8
RHC,200,100,25.0,530116.0
SA,200,100,13.0,643938.0
GA,200,100,22.0,3.3601713E7
MIMIC,200,100,32.0,1.565992154E9
RHC,200,200,5.0,930263.0
SA,200,200,15.0,1117339.0
GA,200,200,10.0,3.4914006E7
MIMIC,200,200,28.0,5.345806156E9
RHC,200,300,6.0,1402483.0
SA,200,300,5.0,1591923.0
GA,200,300,19.0,4.833232E7
MIMIC,200,300,26.0,1.1187205379E10
RHC,400,10,10.0,342645.0
SA,400,10,17.0,1273302.0
GA,400,10,17.0,2.0439792E7
MIMIC,400,10,17.0,1.03371829E8
RHC,400,30,53.0,503729.0
SA,400,30,53.0,1384367.0
GA,400,30,53.0,3.4338991E7
MIMIC,400,30,21.0,7.70758314E8
RHC,400,60,60.0,942866.0
SA,400,60,60.0,2021609.0
GA,400,60,31.0,4.3447849E7
MIMIC,400,60,94.0,1.37117453E9
RHC,400,100,47.0,1061413.0
SA,400,100,36.0,1396576.0
GA,400,100,20.0,4.2934668E7
MIMIC,400,100,38.0,2.943688371E9
RHC,400,200,17.0,6235361.0
SA,400,200,19.0,2531245.0
GA,400,200,21.0,7.9853347E7
MIMIC,400,200,54.0,1.0501315247E10
RHC,400,300,10.0,2773066.0
SA,400,300,7.0,3117286.0
GA,400,300,11.0,9.1211063E7
MIMIC,400,300,54.0,2.0964262858E10
RHC,1000,10,17.0,865278.0
SA,1000,10,17.0,3357139.0
GA,1000,10,17.0,5.4413294E7
MIMIC,1000,10,17.0,2.57301993E8
RHC,1000,30,30.0,1176811.0
SA,1000,30,53.0,3641495.0
GA,1000,30,53.0,6.3891973E7
MIMIC,1000,30,53.0,1.377135775E9
RHC,1000,60,60.0,2476106.0
SA,1000,60,60.0,5674919.0
GA,1000,60,101.0,1.2727746E8
MIMIC,1000,60,36.0,2.75762278E9
RHC,1000,100,89.0,4996717.0
SA,1000,100,100.0,9466863.0
GA,1000,100,33.0,1.86346402E8
MIMIC,1000,100,83.0,6.313851899E9
RHC,1000,200,75.0,4812792.0
SA,1000,200,36.0,5342908.0
GA,1000,200,34.0,1.76188734E8
MIMIC,1000,200,93.0,2.5520232038E10
RHC,1000,300,36.0,7312135.0
SA,1000,300,40.0,8030115.0
GA,1000,300,15.0,2.27479228E8
MIMIC,1000,300,91.0,5.1142294788E10
RHC,10,10,10.0,14572.0
SA,10,10,1.0,20874.0
GA,10,10,17.0,586829.0
MIMIC,10,10,17.0,2953841.0
RHC,10,30,8.0,13391.0
SA,10,30,1.0,20874.0
GA,10,30,44.0,728220.0
MIMIC,10,30,43.0,1.2900014E7
RHC,10,60,2.0,20874.0
SA,10,60,1.0,28357.0
GA,10,60,12.0,996429.0
MIMIC,10,60,21.0,3.9790601E7
RHC,10,100,2.0,33084.0
SA,10,100,1.0,34659.0
GA,10,100,16.0,1382397.0
MIMIC,10,100,16.0,9.9604697E7
RHC,10,200,0.0,59471.0
SA,10,200,1.0,64196.0
GA,10,200,15.0,2409940.0
MIMIC,10,200,20.0,3.86503389E8
RHC,10,300,1.0,83495.0
SA,10,300,1.0,87827.0
GA,10,300,8.0,3312240.0
MIMIC,10,300,20.0,1.081131771E9
RHC,30,10,10.0,39385.0
SA,30,10,1.0,67347.0
GA,30,10,17.0,2001128.0
MIMIC,30,10,17.0,9846530.0
RHC,30,30,30.0,45292.0
SA,30,30,1.0,72862.0
GA,30,30,50.0,2421362.0
MIMIC,30,30,47.0,3.9013543E7
RHC,30,60,10.0,66953.0
SA,30,60,0.0,96886.0
GA,30,60,74.0,3039699.0
MIMIC,30,60,18.0,1.92252902E8
RHC,30,100,6.0,136664.0
SA,30,100,0.0,200074.0
GA,30,100,18.0,6893871.0
MIMIC,30,100,15.0,3.75141341E8
RHC,30,200,4.0,179200.0
SA,30,200,4.0,194954.0
GA,30,200,13.0,7127815.0
MIMIC,30,200,23.0,1.164468681E9
RHC,30,300,3.0,359975.0
SA,30,300,1.0,402116.0
GA,30,300,11.0,1.4634903E7
MIMIC,30,300,19.0,2.022738274E9
RHC,60,10,10.0,56714.0
SA,60,10,17.0,108307.0
GA,60,10,17.0,3166123.0
MIMIC,60,10,17.0,1.5636452E7
RHC,60,30,30.0,75619.0
SA,60,30,8.0,117759.0
GA,60,30,49.0,3783279.0
MIMIC,60,30,53.0,5.7954359E7
RHC,60,60,12.0,95311.0
SA,60,60,3.0,143754.0
GA,60,60,13.0,4757653.0
MIMIC,60,60,23.0,1.74512921E8
RHC,60,100,5.0,154781.0
SA,60,100,5.0,200861.0
GA,60,100,11.0,6371632.0
MIMIC,60,100,10.0,6.59307139E8
RHC,60,200,6.0,352098.0
SA,60,200,4.0,380849.0
GA,60,200,16.0,1.380389E7
MIMIC,60,200,34.0,1.506545515E9
RHC,60,300,5.0,419445.0
SA,60,300,0.0,504910.0
GA,60,300,11.0,1.4129599E7
MIMIC,60,300,25.0,4.208387963E9
RHC,100,10,10.0,167384.0
SA,100,10,10.0,408023.0
GA,100,10,17.0,9589350.0
MIMIC,100,10,17.0,4.366407E7
RHC,100,30,30.0,187470.0
SA,100,30,16.0,341858.0
GA,100,30,46.0,1.0006432E7
MIMIC,100,30,47.0,1.720762E8
RHC,100,60,17.0,312320.0
SA,100,60,9.0,509242.0
GA,100,60,14.0,1.630599E7
MIMIC,100,60,28.0,5.51626247E8
RHC,100,100,16.0,393845.0
SA,100,100,11.0,544295.0
GA,100,100,14.0,1.8264977E7
MIMIC,100,100,29.0,1.206940581E9
RHC,100,200,12.0,528541.0
SA,100,200,6.0,616762.0
GA,100,200,15.0,2.0514228E7
MIMIC,100,200,29.0,2.942398527E9
RHC,100,300,5.0,1036208.0
SA,100,300,1.0,1207136.0
GA,100,300,18.0,3.7887145E7
MIMIC,100,300,23.0,7.255973553E9
RHC,200,10,17.0,263876.0
SA,200,10,17.0,823531.0
GA,200,10,17.0,1.4310374E7
MIMIC,200,10,17.0,6.6314123E7
RHC,200,30,30.0,307594.0
SA,200,30,30.0,798324.0
GA,200,30,53.0,1.9901798E7
MIMIC,200,30,20.0,2.24660082E8
RHC,200,60,28.0,320591.0
SA,200,60,43.0,611248.0
GA,200,60,22.0,1.5073647E7
MIMIC,200,60,78.0,7.70946179E8
RHC,200,100,17.0,852675.0
SA,200,100,27.0,1393425.0
GA,200,100,14.0,4.0760248E7
MIMIC,200,100,17.0,1.629852225E9
RHC,200,200,9.0,1407604.0
SA,200,200,5.0,1721892.0
GA,200,200,13.0,6.0502145E7
MIMIC,200,200,18.0,4.478305614E9
RHC,200,300,12.0,1344194.0
SA,200,300,7.0,1376096.0
GA,200,300,7.0,4.1853563E7
MIMIC,200,300,40.0,1.1749838819E10
RHC,400,10,10.0,281600.0
SA,400,10,17.0,1041721.0
GA,400,10,17.0,1.6800265E7
MIMIC,400,10,17.0,8.2082513E7
RHC,400,30,30.0,3990442.0
SA,400,30,30.0,1154361.0
GA,400,30,53.0,2.1030953E7
MIMIC,400,30,53.0,3.2346606E8
RHC,400,60,60.0,602977.0
SA,400,60,58.0,1115370.0
GA,400,60,25.0,2.5044633E7
MIMIC,400,60,30.0,9.08920087E8
RHC,400,100,38.0,950743.0
SA,400,100,47.0,1228011.0
GA,400,100,24.0,3.4825784E7
MIMIC,400,100,36.0,2.901438205E9
RHC,400,200,16.0,1731345.0
SA,400,200,28.0,2099984.0
GA,400,200,11.0,1.26642581E8
MIMIC,400,200,51.0,1.0526102699E10
RHC,400,300,14.0,2804967.0
SA,400,300,6.0,7523629.0
GA,400,300,14.0,1.69746997E8
MIMIC,400,300,54.0,2.4042426608E10
RHC,1000,10,10.0,847161.0
SA,1000,10,10.0,3353594.0
GA,1000,10,17.0,5.0678064E7
MIMIC,1000,10,17.0,4.89510123E8
RHC,1000,30,30.0,2494617.0
SA,1000,30,30.0,7601218.0
GA,1000,30,53.0,1.22095636E8
MIMIC,1000,30,30.0,1.703058249E9
RHC,1000,60,60.0,3207477.0
SA,1000,60,60.0,7355064.0
GA,1000,60,84.0,1.3297601E8
MIMIC,1000,60,60.0,3.239565557E9
RHC,1000,100,100.0,2725016.0
SA,1000,100,100.0,4391771.0
GA,1000,100,17.0,1.01401027E8
MIMIC,1000,100,62.0,6.02522265E9
RHC,1000,200,28.0,5263745.0
SA,1000,200,77.0,1.2859448E7
GA,1000,200,19.0,3.22550369E8
MIMIC,1000,200,71.0,2.3868528479E10
RHC,1000,300,33.0,7194374.0
SA,1000,300,39.0,8194349.0
GA,1000,300,13.0,2.28257072E8
MIMIC,1000,300,73.0,5.6354061945E10
RHC,10,10,7.0,14572.0
SA,10,10,1.0,20480.0
GA,10,10,17.0,584073.0
MIMIC,10,10,17.0,2922333.0
RHC,10,30,4.0,12997.0
SA,10,30,0.0,20480.0
GA,10,30,46.0,715617.0
MIMIC,10,30,46.0,1.2785405E7
RHC,10,60,1.0,20480.0
SA,10,60,1.0,27569.0
GA,10,60,9.0,971223.0
MIMIC,10,60,11.0,4.4903108E7
RHC,10,100,7.0,31902.0
SA,10,100,1.0,37021.0
GA,10,100,12.0,1397757.0
MIMIC,10,100,19.0,9.7874141E7
RHC,10,200,2.0,63409.0
SA,10,200,4.0,64591.0
GA,10,200,13.0,2422543.0
MIMIC,10,200,25.0,3.67392038E8
RHC,10,300,2.0,85070.0
SA,10,300,0.0,86646.0
GA,10,300,9.0,6956493.0
MIMIC,10,300,13.0,8.57590209E8
RHC,30,10,10.0,32295.0
SA,30,10,2.0,54745.0
GA,30,10,17.0,1625007.0
MIMIC,30,10,17.0,7948195.0
RHC,30,30,14.0,35840.0
SA,30,30,7.0,60259.0
GA,30,30,42.0,1928661.0
MIMIC,30,30,8.0,3.3520581E7
RHC,30,60,11.0,66954.0
SA,30,60,1.0,81920.0
GA,30,60,13.0,2493435.0
MIMIC,30,60,15.0,9.567727E7
RHC,30,100,8.0,82707.0
SA,30,100,1.0,109489.0
GA,30,100,12.0,3378801.0
MIMIC,30,100,15.0,3.89488738E8
RHC,30,200,2.0,215039.0
SA,30,200,1.0,250092.0
GA,30,200,9.0,9042298.0
MIMIC,30,200,18.0,1.092857337E9
RHC,30,300,2.0,315864.0
SA,30,300,0.0,342251.0
GA,30,300,13.0,1.2006379E7
MIMIC,30,300,22.0,1.981201363E9
RHC,60,10,17.0,58289.0
SA,60,10,10.0,107914.0
GA,60,10,17.0,3196450.0
MIMIC,60,10,16.0,1.5395813E7
RHC,60,30,30.0,78769.0
SA,60,30,3.0,118154.0
GA,60,30,47.0,3741138.0
MIMIC,60,30,41.0,6.0482059E7
RHC,60,60,6.0,98855.0
SA,60,60,2.0,145723.0
GA,60,60,14.0,4739142.0
MIMIC,60,60,25.0,1.76323036E8
RHC,60,100,3.0,152418.0
SA,60,100,6.0,189439.0
GA,60,100,13.0,6350364.0
MIMIC,60,100,18.0,4.11511394E8
RHC,60,200,3.0,274510.0
SA,60,200,0.0,314682.0
GA,60,200,12.0,1.0757889E7
MIMIC,60,200,31.0,1.462992509E9
RHC,60,300,4.0,437562.0
SA,60,300,0.0,480491.0
GA,60,300,13.0,1.4168197E7
MIMIC,60,300,31.0,2.887009678E9
RHC,100,10,10.0,74436.0
SA,100,10,17.0,184714.0
GA,100,10,17.0,4233839.0
MIMIC,100,10,17.0,2.5352226E7
RHC,100,30,28.0,108307.0
SA,100,30,20.0,189439.0
GA,100,30,44.0,5268077.0
MIMIC,100,30,19.0,7.9517004E7
RHC,100,60,26.0,134301.0
SA,100,60,8.0,193772.0
GA,100,60,20.0,6451189.0
MIMIC,100,60,23.0,5.10460733E8
RHC,100,100,10.0,439532.0
SA,100,100,4.0,627396.0
GA,100,100,25.0,2.1254264E7
MIMIC,100,100,30.0,1.019557577E9
RHC,100,200,5.0,497427.0
SA,100,200,5.0,607309.0
GA,100,200,14.0,2.0029405E7
MIMIC,100,200,23.0,2.824925455E9
RHC,100,300,5.0,734128.0
SA,100,300,5.0,784934.0
GA,100,300,10.0,2.2850125E7
MIMIC,100,300,16.0,6.181386312E9
RHC,200,10,10.0,178806.0
SA,200,10,10.0,565562.0
GA,200,10,17.0,1.02644E7
MIMIC,200,10,17.0,5.4872124E7
RHC,200,30,30.0,237489.0
SA,200,30,53.0,583679.0
GA,200,30,53.0,1.223284E7
MIMIC,200,30,48.0,1.92969307E8
RHC,200,60,39.0,318621.0
SA,200,60,29.0,593919.0
GA,200,60,22.0,1.4996454E7
MIMIC,200,60,29.0,7.41930402E8
RHC,200,100,27.0,687655.0
SA,200,100,12.0,959014.0
GA,200,100,13.0,3.3220864E7
MIMIC,200,100,25.0,1.861886669E9
RHC,200,200,6.0,894423.0
SA,200,200,7.0,1040146.0
GA,200,200,12.0,3.7130568E7
MIMIC,200,200,39.0,5.875730337E9
RHC,200,300,6.0,1442656.0
SA,200,300,5.0,1565536.0
GA,200,300,16.0,5.0331874E7
MIMIC,200,300,47.0,1.2029623479E10
RHC,400,10,10.0,342646.0
SA,400,10,17.0,1276847.0
GA,400,10,17.0,2.0487053E7
MIMIC,400,10,17.0,1.06705731E8
RHC,400,30,30.0,467888.0
SA,400,30,30.0,1370582.0
GA,400,30,52.0,2.4549569E7
MIMIC,400,30,53.0,3.79803684E8
RHC,400,60,60.0,647088.0
SA,400,60,107.0,1327654.0
GA,400,60,84.0,3.0446617E7
MIMIC,400,60,27.0,1.081253074E9
RHC,400,100,41.0,1064170.0
SA,400,100,35.0,1400908.0
GA,400,100,25.0,5.5672024E7
MIMIC,400,100,32.0,3.378985273E9
RHC,400,200,26.0,2702961.0
SA,400,200,9.0,3306726.0
GA,400,200,22.0,1.0830238E8
MIMIC,400,200,27.0,1.0585412279E10
RHC,400,300,25.0,3351625.0
SA,400,300,12.0,3693089.0
GA,400,300,13.0,1.70010481E8
MIMIC,400,300,54.0,2.2218020241E10
RHC,1000,10,10.0,1066140.0
SA,1000,10,10.0,4164915.0
GA,1000,10,17.0,6.5809607E7
MIMIC,1000,10,17.0,2.72922692E8
RHC,1000,30,30.0,1160269.0
SA,1000,30,53.0,3617864.0
GA,1000,30,53.0,6.0782957E7
MIMIC,1000,30,30.0,9.34056487E8
RHC,1000,60,60.0,1786876.0
SA,1000,60,60.0,4047156.0
GA,1000,60,84.0,7.543834E7
