Algorithm,Iteration,N,Evaluation,TrainingTime
GA,10,10,17.0,1107100.0
MIMIC,10,10,17.0,5444125.0
RHC,10,30,14.0,24419.0
SA,10,30,1.0,38203.0
GA,10,30,44.0,1382397.0
MIMIC,10,30,38.0,2.4780362E7
RHC,10,60,3.0,33477.0
SA,10,60,2.0,48443.0
GA,10,60,7.0,1808538.0
MIMIC,10,60,19.0,6.610696E7
RHC,10,100,3.0,44504.0
SA,10,100,0.0,55532.0
GA,10,100,15.0,2191750.0
MIMIC,10,100,11.0,1.79626611E8
RHC,10,200,1.0,101218.0
SA,10,200,3.0,120123.0
GA,10,200,6.0,4795856.0
MIMIC,10,200,24.0,5.81265086E8
RHC,10,300,1.0,84283.0
SA,10,300,4.0,89796.0
GA,10,300,9.0,3513496.0
MIMIC,10,300,24.0,8.60399903E8
RHC,30,10,10.0,31114.0
SA,30,10,1.0,54350.0
GA,30,10,17.0,1630914.0
MIMIC,30,10,17.0,8008847.0
RHC,30,30,10.0,35053.0
SA,30,30,3.0,58289.0
GA,30,30,42.0,1936144.0
MIMIC,30,30,20.0,3.539883E7
RHC,30,60,9.0,58683.0
SA,30,60,2.0,77193.0
GA,30,60,11.0,2506432.0
MIMIC,30,60,14.0,9.5227499E7
RHC,30,100,4.0,85070.0
SA,30,100,1.0,107126.0
GA,30,100,9.0,3389434.0
MIMIC,30,100,9.0,2.41836076E8
RHC,30,200,0.0,150842.0
SA,30,200,2.0,166990.0
GA,30,200,14.0,9076563.0
MIMIC,30,200,19.0,9.54278481E8
RHC,30,300,4.0,352886.0
SA,30,300,0.0,406449.0
GA,30,300,9.0,1.3610905E7
MIMIC,30,300,23.0,2.228956936E9
RHC,60,10,10.0,55533.0
SA,60,10,17.0,108701.0
GA,60,10,17.0,5954550.0
MIMIC,60,10,17.0,1.5673867E7
RHC,60,30,30.0,76012.0
SA,60,30,8.0,118547.0
GA,60,30,45.0,3744682.0
MIMIC,60,30,10.0,6.2148419E7
RHC,60,60,1.0,96886.0
SA,60,60,5.0,142966.0
GA,60,60,12.0,4743081.0
