Algorithm,Iteration,Evaluation,TrainingTime
MIMIC,80,31.0,9.5946531E7
RHC,100,20.0,1921971.0
SA,100,20.0,6914764.0
GA,100,35.0,1.1087568E7
MIMIC,100,33.0,1.01965294E8
RHC,10,20.0,179200.0
SA,10,35.0,394240.0
GA,10,33.0,1111041.0
MIMIC,10,35.0,1.2234055E7
RHC,20,20.0,339495.0
SA,20,35.0,991311.0
GA,20,35.0,2086599.0
MIMIC,20,32.0,2.0417005E7
RHC,40,20.0,599435.0
SA,40,20.0,1976322.0
GA,40,32.0,3479634.0
MIMIC,40,29.0,3.6732885E7
RHC,60,20.0,881429.0
SA,60,20.0,3090908.0
GA,60,32.0,5227919.0
MIMIC,60,35.0,4.9475002E7
RHC,80,20.0,1069687.0
SA,80,35.0,3704915.0
GA,80,32.0,6144794.0
MIMIC,80,33.0,1.00000788E8
RHC,100,20.0,2086205.0
SA,100,20.0,7430309.0
GA,100,35.0,1.1987901E7
MIMIC,100,31.0,1.18101975E8
RHC,10,20.0,183532.0
SA,10,20.0,415508.0
GA,10,32.0,1183902.0
MIMIC,10,35.0,1.327381E7
RHC,20,20.0,363914.0
SA,20,35.0,1085835.0
GA,20,28.0,2191362.0
MIMIC,20,30.0,2.3830473E7
RHC,40,20.0,716801.0
SA,40,20.0,2359141.0
GA,40,29.0,4188164.0
MIMIC,40,35.0,3.9474451E7
RHC,60,20.0,946807.0
SA,60,20.0,3249234.0
GA,60,29.0,5409089.0
MIMIC,60,35.0,5.2213024E7
RHC,80,20.0,1133096.0
SA,80,35.0,3927043.0
GA,80,35.0,6443724.0
MIMIC,80,34.0,6.6719574E7
RHC,100,20.0,1256370.0
SA,100,20.0,4438256.0
GA,100,35.0,7259774.0
MIMIC,100,32.0,7.7983585E7
RHC,10,20.0,129575.0
SA,10,20.0,290265.0
GA,10,34.0,845982.0
MIMIC,10,31.0,8348365.0
RHC,20,20.0,228037.0
SA,20,20.0,683323.0
GA,20,34.0,1427300.0
MIMIC,20,33.0,1.4719227E7
RHC,40,20.0,458832.0
SA,40,20.0,1526155.0
GA,40,32.0,2741566.0
MIMIC,40,32.0,2.8151363E7
RHC,60,20.0,689231.0
SA,60,20.0,2369774.0
GA,60,34.0,3994785.0
MIMIC,60,35.0,3.8835238E7
RHC,80,20.0,827865.0
SA,80,35.0,3076335.0
GA,80,35.0,4902601.0
MIMIC,80,35.0,4.8670768E7
RHC,100,20.0,1044875.0
SA,100,35.0,3746663.0
GA,100,35.0,5895095.0
MIMIC,100,33.0,5.7382259E7
RHC,10,20.0,100431.0
SA,10,20.0,229219.0
GA,10,30.0,652603.0
MIMIC,10,35.0,7013225.0
RHC,20,20.0,196924.0
SA,20,20.0,561625.0
GA,20,35.0,1191780.0
MIMIC,20,34.0,1.5832237E7
RHC,40,20.0,393452.0
SA,40,20.0,1259915.0
GA,40,31.0,2281159.0
MIMIC,40,35.0,2.3650091E7
RHC,60,20.0,576198.0
SA,60,35.0,2004285.0
GA,60,35.0,3416619.0
MIMIC,60,11.0,3.6311863E7
RHC,80,20.0,784543.0
SA,80,35.0,2700212.0
GA,80,35.0,4507967.0
MIMIC,80,29.0,4.6941781E7
RHC,100,20.0,969256.0
SA,100,35.0,3436311.0
GA,100,34.0,5644609.0
MIMIC,100,35.0,5.6005372E7
RHC,10,20.0,97674.0
SA,10,35.0,214646.0
GA,10,32.0,643151.0
MIMIC,10,13.0,6998259.0
RHC,20,20.0,192197.0
SA,20,20.0,586831.0
GA,20,35.0,1190205.0
MIMIC,20,35.0,1.2564492E7
RHC,40,20.0,391877.0
SA,40,20.0,1277244.0
GA,40,34.0,2321332.0
MIMIC,40,35.0,2.3021906E7
RHC,60,20.0,573834.0
SA,60,35.0,2008224.0
GA,60,32.0,3417406.0
MIMIC,60,31.0,3.7784456E7
RHC,80,20.0,778241.0
SA,80,20.0,2726205.0
GA,80,35.0,4478823.0
MIMIC,80,30.0,4.6572747E7
RHC,100,20.0,966893.0
SA,100,20.0,3368964.0
GA,100,35.0,5665877.0
MIMIC,100,31.0,5.6435847E7
RHC,10,20.0,102794.0
SA,10,35.0,219767.0
GA,10,32.0,743583.0
MIMIC,10,31.0,7071121.0
RHC,20,20.0,194954.0
SA,20,20.0,552567.0
GA,20,34.0,1205958.0
MIMIC,20,17.0,1.216592E7
RHC,40,20.0,385576.0
SA,40,35.0,1297331.0
GA,40,34.0,2326058.0
MIMIC,40,14.0,2.3911211E7
RHC,60,20.0,580924.0
SA,60,35.0,1987349.0
GA,60,33.0,3395745.0
MIMIC,60,34.0,3.4485203E7
RHC,80,20.0,777059.0
SA,80,35.0,2717935.0
GA,80,35.0,4483943.0
MIMIC,80,35.0,4.8351752E7
RHC,100,20.0,981859.0
SA,100,20.0,3422527.0
GA,100,34.0,5625310.0
MIMIC,100,34.0,5.6168424E7
RHC,10,20.0,104370.0
SA,10,35.0,228431.0
GA,10,28.0,634486.0
MIMIC,10,32.0,7168401.0
RHC,20,20.0,200468.0
SA,20,35.0,584075.0
GA,20,32.0,1196112.0
MIMIC,20,29.0,1.2502658E7
RHC,40,20.0,395422.0
SA,40,35.0,1302057.0
GA,40,35.0,2325270.0
MIMIC,40,20.0,2.3819051E7
RHC,60,20.0,583286.0
SA,60,20.0,2004285.0
GA,60,35.0,3409923.0
MIMIC,60,35.0,3.4570668E7
RHC,80,20.0,775878.0
SA,80,20.0,2754169.0
GA,80,33.0,4520177.0
MIMIC,80,20.0,4.9151261E7
RHC,100,20.0,980677.0
SA,100,20.0,3447339.0
GA,100,35.0,5650910.0
MIMIC,100,35.0,5.687656E7
RHC,10,20.0,101218.0
SA,10,20.0,218585.0
GA,10,32.0,635669.0
MIMIC,10,35.0,7045521.0
RHC,20,20.0,198499.0
SA,20,20.0,575016.0
GA,20,34.0,1199656.0
MIMIC,20,30.0,1.2387261E7
RHC,40,20.0,386757.0
SA,40,20.0,1283940.0
GA,40,33.0,2320938.0
MIMIC,40,29.0,2.382299E7
RHC,60,20.0,580924.0
SA,60,35.0,2003498.0
GA,60,35.0,3431191.0
MIMIC,60,34.0,3.441628E7
RHC,80,20.0,786905.0
SA,80,20.0,2678550.0
GA,80,35.0,4534355.0
MIMIC,80,34.0,4.5499516E7
RHC,100,20.0,977527.0
SA,100,35.0,3428040.0
GA,100,35.0,5601285.0
MIMIC,100,30.0,1.06030578E8
RHC,10,35.0,222130.0
SA,10,35.0,490339.0
GA,10,31.0,1398942.0
MIMIC,10,34.0,1.539428E7
RHC,20,20.0,431655.0
SA,20,35.0,1211865.0
GA,20,35.0,2564334.0
MIMIC,20,29.0,2.7144691E7
RHC,40,20.0,838499.0
SA,40,35.0,2780163.0
GA,40,34.0,5001851.0
MIMIC,40,33.0,5.1940482E7
RHC,60,20.0,1257158.0
SA,60,35.0,4364214.0
GA,60,35.0,7003773.0
MIMIC,60,32.0,6.8632092E7
RHC,80,20.0,1528912.0
SA,80,20.0,5425236.0
GA,80,35.0,8817437.0
MIMIC,80,35.0,8.075784E7
RHC,100,20.0,1694721.0
SA,100,35.0,5965593.0
GA,100,35.0,9607098.0
MIMIC,100,35.0,9.7877561E7
RHC,10,20.0,218191.0
SA,10,20.0,467496.0
GA,10,32.0,1383583.0
MIMIC,10,34.0,1.5587264E7
RHC,20,20.0,421022.0
SA,20,35.0,1263854.0
GA,20,34.0,2543461.0
MIMIC,20,29.0,2.7591313E7
RHC,40,20.0,830623.0
SA,40,35.0,2767559.0
GA,40,35.0,4925445.0
MIMIC,40,32.0,5.0753429E7
RHC,60,20.0,1254401.0
SA,60,20.0,4323254.0
GA,60,35.0,7335391.0
MIMIC,60,34.0,7.3858829E7
RHC,80,20.0,1460383.0
SA,80,20.0,4959316.0
GA,80,35.0,8307011.0
MIMIC,80,35.0,8.3648279E7
RHC,100,20.0,1582082.0
SA,100,35.0,5563083.0
GA,100,35.0,9100219.0
MIMIC,100,35.0,8.9934857E7
RHC,10,20.0,149268.0
SA,10,35.0,341071.0
GA,10,33.0,925145.0
MIMIC,10,31.0,1.3604247E7
RHC,20,20.0,283570.0
SA,20,35.0,844407.0
GA,20,34.0,1731349.0
MIMIC,20,30.0,1.8455649E7
RHC,40,20.0,565957.0
SA,40,20.0,1854624.0
GA,40,35.0,3301615.0
MIMIC,40,33.0,3.229266E7
RHC,60,20.0,754610.0
SA,60,35.0,2594267.0
GA,60,35.0,4436287.0
MIMIC,60,32.0,4.4950888E7
RHC,80,20.0,1012186.0
SA,80,35.0,3573764.0
GA,80,35.0,5821052.0
MIMIC,80,33.0,5.519011E7
RHC,100,20.0,1151214.0
SA,100,35.0,4090884.0
GA,100,31.0,6574086.0
MIMIC,100,35.0,6.4959867E7
RHC,10,20.0,110277.0
SA,10,20.0,245761.0
GA,10,33.0,695533.0
MIMIC,10,33.0,7669373.0
RHC,20,20.0,211102.0
SA,20,35.0,629366.0
GA,20,32.0,1283152.0
MIMIC,20,35.0,1.6688459E7
RHC,40,20.0,423385.0
SA,40,35.0,1411546.0
GA,40,34.0,2485172.0
MIMIC,40,34.0,2.501792E7
RHC,60,20.0,633305.0
SA,60,20.0,2198846.0
GA,60,34.0,3693886.0
MIMIC,60,34.0,3.4813671E7
RHC,80,20.0,779423.0
SA,80,35.0,2689972.0
GA,80,35.0,4490638.0
MIMIC,80,35.0,4.6618434E7
RHC,100,20.0,974771.0
SA,100,35.0,3442219.0
GA,100,31.0,5580805.0
MIMIC,100,35.0,5.5741889E7
RHC,10,20.0,100037.0
SA,10,20.0,220554.0
GA,10,33.0,643940.0
MIMIC,10,31.0,7350358.0
RHC,20,20.0,195741.0
SA,20,20.0,573835.0
GA,20,34.0,1207927.0
MIMIC,20,33.0,1.2676344E7
RHC,40,20.0,2770710.0
SA,40,35.0,1302057.0
GA,40,35.0,2283916.0
MIMIC,40,32.0,2.3721771E7
RHC,60,20.0,584468.0
SA,60,35.0,2021220.0
GA,60,35.0,3383142.0
MIMIC,60,33.0,3.4852662E7
RHC,80,20.0,784149.0
SA,80,35.0,2713997.0
GA,80,32.0,4504423.0
MIMIC,80,11.0,4.6107221E7
RHC,100,20.0,983829.0
SA,100,20.0,3433160.0
GA,100,35.0,5587895.0
MIMIC,100,32.0,5.7223539E7
RHC,10,20.0,96886.0
SA,10,20.0,224099.0
GA,10,31.0,652604.0
MIMIC,10,20.0,6986444.0
RHC,20,20.0,192198.0
SA,20,35.0,592346.0
GA,20,35.0,1208321.0
MIMIC,20,35.0,1.2472332E7
RHC,40,20.0,388333.0
SA,40,35.0,1307177.0
GA,40,34.0,7444094.0
MIMIC,40,35.0,4.9783385E7
RHC,60,20.0,1277638.0
SA,60,20.0,4305530.0
GA,60,35.0,7292462.0
MIMIC,60,34.0,7.5171127E7
RHC,80,20.0,1679756.0
SA,80,20.0,5745434.0
GA,80,34.0,9761093.0
MIMIC,80,33.0,8.8374832E7
RHC,100,20.0,1781762.0
SA,100,35.0,6351564.0
GA,100,30.0,1.025025E7
MIMIC,100,33.0,9.4315219E7
RHC,10,20.0,166991.0
SA,10,35.0,361158.0
GA,10,31.0,1031484.0
MIMIC,10,35.0,1.1295913E7
RHC,20,20.0,313896.0
SA,20,35.0,934204.0
GA,20,35.0,1928272.0
MIMIC,20,28.0,1.846392E7
RHC,40,20.0,559262.0
SA,40,35.0,1852654.0
GA,40,35.0,3295708.0
MIMIC,40,33.0,3.4133104E7
RHC,60,20.0,847164.0
SA,60,20.0,2909344.0
GA,60,32.0,4932140.0
MIMIC,60,35.0,4.5597977E7
RHC,80,20.0,1018487.0
SA,80,35.0,3610392.0
GA,80,35.0,5804116.0
MIMIC,80,32.0,5.786866E7
RHC,100,20.0,1145305.0
SA,100,20.0,3996755.0
GA,100,35.0,6530763.0
MIMIC,100,35.0,6.7654959E7
RHC,10,20.0,115397.0
SA,10,20.0,267028.0
GA,10,35.0,762093.0
MIMIC,10,31.0,7600451.0
RHC,20,20.0,206376.0
SA,20,35.0,632124.0
GA,20,34.0,1299300.0
MIMIC,20,34.0,1.6687672E7
RHC,40,20.0,418265.0
SA,40,20.0,1381614.0
GA,40,33.0,2510772.0
MIMIC,40,19.0,2.5056123E7
RHC,60,20.0,628579.0
SA,60,35.0,2200815.0
GA,60,35.0,3652533.0
MIMIC,60,34.0,3.7128307E7
RHC,80,20.0,772727.0
SA,80,20.0,2664371.0
GA,80,35.0,4483549.0
MIMIC,80,35.0,4.5873276E7
RHC,100,20.0,987767.0
SA,100,20.0,3389050.0
GA,100,34.0,5622159.0
MIMIC,100,35.0,5.6434665E7
RHC,10,20.0,215828.0
SA,10,35.0,466709.0
GA,10,30.0,1397368.0
MIMIC,10,35.0,1.5594354E7
RHC,20,35.0,439532.0
SA,20,20.0,1233921.0
GA,20,33.0,2552914.0
MIMIC,20,33.0,2.6765811E7
RHC,40,20.0,829047.0
SA,40,20.0,2844359.0
GA,40,35.0,4960497.0
MIMIC,40,35.0,5.1081109E7
RHC,60,20.0,1293392.0
SA,60,20.0,4327980.0
GA,60,35.0,7231810.0
MIMIC,60,33.0,7.5346388E7
RHC,80,20.0,1668334.0
SA,80,35.0,5945507.0
GA,80,35.0,9648452.0
MIMIC,80,32.0,8.7211015E7
RHC,100,35.0,1858956.0
SA,100,20.0,6300363.0
GA,100,35.0,1.0092317E7
MIMIC,100,35.0,9.120265E7
RHC,10,20.0,140603.0
SA,10,20.0,311532.0
GA,10,33.0,927115.0
MIMIC,10,34.0,1.0237647E7
RHC,20,20.0,281994.0
SA,20,35.0,863706.0
GA,20,27.0,1674242.0
MIMIC,20,31.0,1.862776E7
RHC,40,20.0,556899.0
SA,40,20.0,1855805.0
GA,40,28.0,3263412.0
MIMIC,40,35.0,3.4034249E7
RHC,60,20.0,837711.0
SA,60,35.0,2892015.0
GA,60,32.0,4331130.0
MIMIC,60,35.0,4.4163194E7
RHC,80,35.0,1049601.0
SA,80,20.0,3520200.0
GA,80,33.0,5839563.0
MIMIC,80,33.0,5.7931282E7
RHC,100,20.0,1135460.0
SA,100,20.0,4022355.0
GA,100,35.0,6599686.0
MIMIC,100,35.0,6.8865249E7
RHC,10,20.0,104369.0
SA,10,35.0,245366.0
GA,10,35.0,699077.0
MIMIC,10,32.0,7940734.0
RHC,20,20.0,210314.0
SA,20,35.0,616370.0
GA,20,35.0,1310721.0
MIMIC,20,33.0,1.3742882E7
RHC,40,20.0,418659.0
SA,40,35.0,1390278.0
GA,40,35.0,2508015.0
MIMIC,40,34.0,2.5793798E7
RHC,60,20.0,640394.0
SA,60,35.0,2179941.0
GA,60,35.0,3706884.0
MIMIC,60,27.0,3.5399321E7
RHC,80,20.0,784936.0
SA,80,20.0,2715965.0
GA,80,35.0,4494577.0
MIMIC,80,34.0,4.6166692E7
RHC,100,20.0,4231487.0
SA,100,20.0,3402834.0
GA,100,35.0,5627279.0
MIMIC,100,35.0,5.6701299E7
RHC,10,20.0,102400.0
SA,10,20.0,218585.0
GA,10,33.0,642364.0
MIMIC,10,35.0,7028979.0
RHC,20,20.0,196529.0
SA,20,35.0,594314.0
GA,20,26.0,1164604.0
MIMIC,20,30.0,1.2982757E7
RHC,40,20.0,390696.0
SA,40,20.0,1282364.0
GA,40,34.0,2300457.0
MIMIC,40,35.0,2.3518547E7
RHC,60,20.0,586438.0
SA,60,35.0,2017676.0
GA,60,34.0,3430010.0
MIMIC,60,34.0,3.4833757E7
RHC,80,35.0,806204.0
SA,80,20.0,2702969.0
GA,80,35.0,4507968.0
MIMIC,80,34.0,4.4686223E7
RHC,100,20.0,968075.0
SA,100,35.0,3438281.0
GA,100,34.0,5656030.0
MIMIC,100,33.0,6.5851536E7
RHC,10,20.0,109883.0
SA,10,19.0,224099.0
GA,10,32.0,722315.0
MIMIC,10,34.0,7924193.0
RHC,20,20.0,223705.0
SA,20,35.0,649847.0
GA,20,34.0,1364285.0
MIMIC,20,8.0,1.478618E7
RHC,40,20.0,434413.0
SA,40,35.0,1465897.0
GA,40,35.0,2570636.0
MIMIC,40,35.0,2.5570486E7
RHC,60,20.0,619127.0
SA,60,20.0,2088175.0
GA,60,34.0,3555646.0
MIMIC,60,34.0,3.6182682E7
RHC,80,20.0,813687.0
SA,80,20.0,2806156.0
GA,80,33.0,4743487.0
MIMIC,80,35.0,4.6164722E7
RHC,100,35.0,988555.0
SA,100,35.0,3430404.0
GA,100,35.0,5571747.0
MIMIC,100,35.0,5.6652462E7
RHC,10,20.0,100431.0
SA,10,20.0,217797.0
GA,10,29.0,643546.0
MIMIC,10,29.0,7145558.0
RHC,20,20.0,189834.0
SA,20,20.0,588800.0
GA,20,35.0,3307129.0
MIMIC,20,8.0,1.3319102E7
RHC,40,35.0,405268.0
SA,40,20.0,1283940.0
GA,40,30.0,2279190.0
MIMIC,40,31.0,2.3648909E7
RHC,60,20.0,581318.0
SA,60,35.0,2009798.0
GA,60,35.0,3366207.0
MIMIC,60,32.0,3.4729782E7
RHC,80,20.0,768395.0
SA,80,20.0,2669492.0
GA,80,35.0,4514270.0
MIMIC,80,17.0,4.5754728E7
RHC,100,20.0,981860.0
SA,100,20.0,3421739.0
GA,100,35.0,5580805.0
MIMIC,100,35.0,5.6686332E7
RHC,10,20.0,103188.0
SA,10,35.0,235915.0
GA,10,33.0,650241.0
MIMIC,10,30.0,7163281.0
RHC,20,20.0,191016.0
SA,20,20.0,589588.0
GA,20,33.0,1209109.0
MIMIC,20,35.0,1.2722819E7
RHC,40,20.0,387152.0
SA,40,20.0,1309540.0
GA,40,32.0,2338267.0
MIMIC,40,30.0,2.3490977E7
RHC,60,20.0,590376.0
SA,60,35.0,2004285.0
GA,60,34.0,3440644.0
MIMIC,60,30.0,3.8095201E7
RHC,80,20.0,773515.0
SA,80,35.0,2711634.0
GA,80,33.0,4516632.0
MIMIC,80,33.0,4.6448292E7
RHC,100,20.0,970044.0
SA,100,20.0,3426859.0
GA,100,34.0,5548904.0
MIMIC,100,29.0,5.7524832E7
RHC,10,20.0,100037.0
SA,10,20.0,212677.0
GA,10,33.0,651028.0
MIMIC,10,30.0,7199515.0
RHC,20,20.0,206376.0
SA,20,35.0,588407.0
GA,20,30.0,1170512.0
MIMIC,20,33.0,1.2614904E7
RHC,40,20.0,388727.0
SA,40,20.0,1324899.0
GA,40,35.0,2315818.0
MIMIC,40,33.0,2.3281057E7
RHC,60,20.0,582499.0
SA,60,20.0,1976322.0
GA,60,32.0,3444975.0
MIMIC,60,34.0,3.4653376E7
RHC,80,20.0,782573.0
SA,80,35.0,2762440.0
GA,80,35.0,4503635.0
MIMIC,80,35.0,4.8839334E7
RHC,100,20.0,971225.0
SA,100,35.0,3484754.0
GA,100,35.0,5526849.0
MIMIC,100,29.0,5.7822974E7
RHC,10,20.0,102006.0
SA,10,35.0,230794.0
GA,10,35.0,644726.0
MIMIC,10,11.0,7378321.0
RHC,20,35.0,205588.0
SA,20,35.0,584074.0
GA,20,28.0,1173662.0
MIMIC,20,31.0,1.2446339E7
RHC,40,20.0,386363.0
SA,40,20.0,1284334.0
GA,40,35.0,2313849.0
MIMIC,40,29.0,2.450592E7
RHC,60,20.0,578561.0
SA,60,35.0,1997196.0
GA,60,29.0,3328791.0
MIMIC,60,30.0,3.4705363E7
RHC,80,20.0,775090.0
SA,80,35.0,2745504.0
GA,80,35.0,4520571.0
MIMIC,80,35.0,4.5292352E7
RHC,100,20.0,973983.0
SA,100,20.0,5772215.0
GA,100,35.0,5574898.0
MIMIC,100,35.0,5.6811576E7
RHC,10,20.0,100825.0
SA,10,18.0,212677.0
GA,10,28.0,634487.0
MIMIC,10,32.0,7051428.0
RHC,20,20.0,188259.0
SA,20,20.0,570683.0
GA,20,31.0,1177995.0
MIMIC,20,32.0,1.2713366E7
RHC,40,20.0,392271.0
SA,40,35.0,1282364.0
GA,40,33.0,2296913.0
MIMIC,40,32.0,2.3857648E7
RHC,60,20.0,588801.0
SA,60,20.0,2011768.0
GA,60,35.0,3420557.0
MIMIC,60,12.0,3.4936945E7
RHC,80,20.0,804235.0
SA,80,20.0,2738808.0
GA,80,33.0,4490638.0
MIMIC,80,30.0,4.0996274E7
RHC,100,20.0,816838.0
SA,100,20.0,2745110.0
GA,100,35.0,4579647.0
MIMIC,100,35.0,5.0768789E7
RHC,10,20.0,81920.0
SA,10,35.0,206769.0
GA,10,33.0,622671.0
MIMIC,10,31.0,5984892.0
RHC,20,20.0,159901.0
SA,20,20.0,467102.0
GA,20,33.0,981860.0
MIMIC,20,32.0,1.0334927E7
RHC,40,20.0,308775.0
SA,40,35.0,1009822.0
GA,40,35.0,1842414.0
MIMIC,40,35.0,1.8859341E7
RHC,60,20.0,477342.0
SA,60,35.0,1617134.0
GA,60,33.0,2726205.0
MIMIC,60,30.0,2.8165148E7
RHC,80,20.0,635669.0
SA,80,35.0,2166156.0
GA,80,33.0,3871117.0
MIMIC,80,34.0,3.7069624E7
RHC,100,20.0,764062.0
SA,100,20.0,2703363.0
GA,100,35.0,4593432.0
MIMIC,100,35.0,4.7988232E7
RHC,10,20.0,84283.0
SA,10,35.0,171717.0
GA,10,34.0,525391.0
MIMIC,10,35.0,5732042.0
RHC,20,20.0,158720.0
SA,20,20.0,464739.0
GA,20,35.0,998007.0
MIMIC,20,34.0,1.0264035E7
RHC,40,35.0,314290.0
SA,40,35.0,1045663.0
GA,40,34.0,1817208.0
MIMIC,40,35.0,1.8264634E7
RHC,60,20.0,467889.0
SA,60,35.0,1591140.0
GA,60,35.0,2898317.0
MIMIC,60,34.0,2.7120667E7
RHC,80,20.0,614401.0
SA,80,20.0,2326058.0
GA,80,33.0,3694675.0
MIMIC,80,35.0,3.677227E7
RHC,100,20.0,864100.0
SA,100,35.0,2712815.0
GA,100,33.0,4463463.0
MIMIC,100,35.0,4.4842974E7
RHC,10,20.0,115791.0
SA,10,20.0,177624.0
GA,10,31.0,525391.0
MIMIC,10,33.0,5688719.0
RHC,20,20.0,159508.0
SA,20,35.0,474191.0
GA,20,35.0,986979.0
MIMIC,20,33.0,1.044993E7
RHC,40,35.0,330043.0
SA,40,20.0,1051571.0
GA,40,34.0,1892039.0
MIMIC,40,35.0,1.9257915E7
RHC,60,20.0,471041.0
SA,60,35.0,1586020.0
GA,60,29.0,2891228.0
MIMIC,60,33.0,3.1673533E7
RHC,80,20.0,643151.0
SA,80,20.0,2254772.0
GA,80,35.0,3693887.0
MIMIC,80,29.0,3.7324049E7
RHC,100,20.0,863706.0
SA,100,20.0,2754562.0
GA,100,32.0,4444558.0
MIMIC,100,35.0,4.6620797E7
RHC,10,20.0,79163.0
SA,10,35.0,184320.0
GA,10,30.0,516727.0
MIMIC,10,18.0,5574504.0
RHC,20,20.0,159114.0
SA,20,20.0,517121.0
GA,20,30.0,1085047.0
MIMIC,20,34.0,1.0674029E7
RHC,40,20.0,315077.0
SA,40,20.0,1059841.0
GA,40,35.0,1879042.0
MIMIC,40,34.0,1.8979464E7
RHC,60,20.0,467496.0
SA,60,35.0,1636826.0
GA,60,35.0,2807732.0
MIMIC,60,35.0,2.7571621E7
RHC,80,20.0,610068.0
SA,80,20.0,2122045.0
GA,80,35.0,3517049.0
MIMIC,80,35.0,3.6307925E7
RHC,100,20.0,785724.0
SA,100,35.0,2725418.0
GA,100,35.0,4443771.0
MIMIC,100,32.0,5.982017E7
RHC,10,20.0,82314.0
SA,10,20.0,184320.0
GA,10,31.0,529724.0
MIMIC,10,31.0,5660756.0
RHC,20,20.0,169748.0
SA,20,35.0,472222.0
GA,20,33.0,938930.0
MIMIC,20,35.0,1.043457E7
RHC,40,20.0,319410.0
SA,40,20.0,1032272.0
GA,40,35.0,1855805.0
MIMIC,40,33.0,1.8421779E7
RHC,60,20.0,460800.0
SA,60,35.0,1592716.0
GA,60,35.0,2661221.0
MIMIC,60,35.0,2.7776421E7
RHC,80,35.0,675053.0
SA,80,20.0,2205540.0
GA,80,35.0,3679708.0
MIMIC,80,33.0,3.6670263E7
RHC,100,20.0,832198.0
SA,100,35.0,2719117.0
GA,100,35.0,4464645.0
MIMIC,100,32.0,4.5618457E7
RHC,10,20.0,82314.0
SA,10,20.0,184320.0
GA,10,32.0,526179.0
MIMIC,10,30.0,5665483.0
RHC,20,20.0,153207.0
SA,20,20.0,416296.0
GA,20,32.0,944444.0
MIMIC,20,32.0,9870582.0
RHC,40,20.0,339102.0
SA,40,20.0,1034241.0
GA,40,31.0,1808543.0
MIMIC,40,30.0,1.97837E7
RHC,60,20.0,462376.0
SA,60,20.0,1544272.0
GA,60,35.0,2707301.0
MIMIC,60,34.0,2.8865013E7
RHC,80,20.0,614401.0
SA,80,20.0,2117319.0
GA,80,34.0,3606059.0
MIMIC,80,20.0,4.1022268E7
RHC,100,35.0,804628.0
SA,100,20.0,2767560.0
GA,100,35.0,4598552.0
MIMIC,100,34.0,4.6159602E7
RHC,10,20.0,79557.0
SA,10,20.0,182744.0
GA,10,32.0,510425.0
MIMIC,10,34.0,5810812.0
RHC,20,20.0,179594.0
SA,20,35.0,485219.0
GA,20,34.0,980678.0
MIMIC,20,32.0,9866643.0
RHC,40,20.0,333588.0
SA,40,35.0,1001157.0
GA,40,32.0,1838082.0
MIMIC,40,35.0,1.8633273E7
RHC,60,20.0,470647.0
SA,60,35.0,1613589.0
GA,60,31.0,2764803.0
MIMIC,60,28.0,2.8147819E7
RHC,80,20.0,638820.0
SA,80,20.0,2226020.0
GA,80,29.0,3591487.0
MIMIC,80,31.0,3.7282301E7
RHC,100,20.0,768001.0
SA,100,20.0,2683276.0
GA,100,35.0,4433530.0
MIMIC,100,32.0,4.6386852E7
RHC,10,20.0,83495.0
SA,10,20.0,173292.0
GA,10,34.0,513970.0
MIMIC,10,35.0,5850591.0
RHC,20,20.0,154388.0
SA,20,35.0,459619.0
GA,20,35.0,1093711.0
MIMIC,20,29.0,1.3901996E7
RHC,40,20.0,580136.0
SA,40,35.0,1295755.0
GA,40,34.0,2761258.0
MIMIC,40,35.0,2.7110033E7
RHC,60,20.0,905059.0
SA,60,20.0,2068482.0
GA,60,34.0,4185801.0
MIMIC,60,35.0,3.8939214E7
RHC,80,20.0,647484.0
SA,80,20.0,2204359.0
GA,80,34.0,3677345.0
MIMIC,80,33.0,3.6375666E7
RHC,100,20.0,799114.0
SA,100,35.0,2793160.0
GA,100,34.0,4610761.0
MIMIC,100,31.0,4.6094618E7
RHC,10,20.0,77982.0
SA,10,35.0,178413.0
GA,10,29.0,498216.0
MIMIC,10,31.0,5734799.0
RHC,20,20.0,158326.0
SA,20,20.0,469465.0
GA,20,32.0,970438.0
MIMIC,20,34.0,1.017148E7
RHC,40,20.0,313108.0
SA,40,20.0,1030302.0
GA,40,31.0,2039337.0
MIMIC,40,29.0,1.9462321E7
RHC,60,20.0,478917.0
SA,60,35.0,1608863.0
GA,60,34.0,2819547.0
MIMIC,60,31.0,2.8078501E7
RHC,80,20.0,606523.0
SA,80,20.0,2149220.0
GA,80,35.0,3554859.0
MIMIC,80,35.0,3.6610399E7
RHC,100,20.0,773909.0
SA,100,35.0,2700999.0
GA,100,35.0,4461887.0
MIMIC,100,32.0,4.5349854E7
RHC,10,20.0,78770.0
SA,10,20.0,181170.0
GA,10,31.0,515939.0
MIMIC,10,34.0,5616252.0
RHC,20,20.0,154388.0
SA,20,20.0,450954.0
GA,20,35.0,951533.0
MIMIC,20,33.0,9715800.0
RHC,40,20.0,312715.0
SA,40,20.0,990130.0
GA,40,31.0,1983017.0
MIMIC,40,35.0,2.2711161E7
RHC,60,20.0,495853.0
SA,60,35.0,1703386.0
GA,60,29.0,2857750.0
MIMIC,60,34.0,2.7809898E7
RHC,80,20.0,607312.0
SA,80,20.0,2135042.0
GA,80,30.0,3769505.0
MIMIC,80,8.0,3.9016802E7
RHC,100,35.0,818413.0
SA,100,35.0,2810489.0
GA,100,35.0,4517814.0
MIMIC,100,33.0,4.5106063E7
