Algorithm,Iteration,Evaluation,TrainingTime
GA,10,30.0,1456838.0
MIMIC,10,35.0,1.5289517E7
RHC,20,20.0,426536.0
SA,20,20.0,1282365.0
GA,20,33.0,2640348.0
MIMIC,20,35.0,2.7333344E7
RHC,40,20.0,850315.0
SA,40,35.0,2843178.0
GA,40,32.0,5019968.0
MIMIC,40,30.0,5.0899152E7
RHC,60,20.0,1291423.0
SA,60,35.0,4376423.0
GA,60,32.0,7443700.0
MIMIC,60,33.0,6.445338E7
RHC,80,20.0,1433207.0
SA,80,20.0,4977433.0
GA,80,35.0,8234544.0
MIMIC,80,34.0,7.2462644E7
RHC,100,20.0,1565540.0
SA,100,35.0,5563477.0
GA,100,35.0,9036809.0
MIMIC,100,35.0,8.6164564E7
RHC,10,20.0,140210.0
SA,10,35.0,311533.0
GA,10,34.0,955078.0
MIMIC,10,35.0,1.012225E7
RHC,20,20.0,261514.0
SA,20,20.0,739643.0
GA,20,33.0,1573023.0
MIMIC,20,13.0,1.6369444E7
RHC,40,20.0,499791.0
SA,40,20.0,1643522.0
GA,40,32.0,2976298.0
MIMIC,40,11.0,3.1928746E7
RHC,60,20.0,762881.0
SA,60,35.0,2617898.0
GA,60,35.0,4460706.0
MIMIC,60,33.0,4.2627587E7
RHC,80,20.0,918844.0
SA,80,35.0,3228360.0
GA,80,31.0,5277544.0
MIMIC,80,33.0,5.4031807E7
RHC,100,20.0,1044481.0
SA,100,20.0,3673013.0
GA,100,35.0,9564169.0
MIMIC,100,31.0,6.1490079E7
RHC,10,20.0,108702.0
SA,10,20.0,245366.0
GA,10,30.0,712468.0
MIMIC,10,33.0,7580365.0
RHC,20,20.0,211496.0
SA,20,20.0,617551.0
GA,20,33.0,1328051.0
MIMIC,20,29.0,1.2968185E7
RHC,40,20.0,387545.0
SA,40,35.0,1293392.0
GA,40,35.0,2326845.0
MIMIC,40,34.0,2.3587864E7
RHC,60,20.0,577773.0
SA,60,20.0,1994045.0
GA,60,32.0,3418982.0
MIMIC,60,31.0,3.5059037E7
RHC,80,20.0,776666.0
SA,80,35.0,2736446.0
GA,80,33.0,4498515.0
MIMIC,80,33.0,5.1357196E7
RHC,100,35.0,1008247.0
SA,100,35.0,3413074.0
GA,100,32.0,5628460.0
MIMIC,100,30.0,5.6382677E7
RHC,10,20.0,100431.0
SA,10,20.0,211890.0
GA,10,31.0,678991.0
MIMIC,10,35.0,7302309.0
RHC,20,20.0,195348.0
SA,20,35.0,556112.0
GA,20,34.0,1221712.0
MIMIC,20,31.0,1.2991816E7
RHC,40,20.0,390696.0
SA,40,35.0,1279607.0
GA,40,35.0,2339449.0
MIMIC,40,28.0,2.4018338E7
RHC,60,20.0,588013.0
SA,60,20.0,1986168.0
GA,60,32.0,3444582.0
MIMIC,60,32.0,3.4824698E7
RHC,80,20.0,774302.0
SA,80,20.0,2697061.0
GA,80,35.0,4513875.0
MIMIC,80,35.0,4.8141044E7
RHC,100,20.0,1655731.0
SA,100,35.0,4139327.0
GA,100,35.0,7820611.0
MIMIC,100,34.0,1.19683268E8
RHC,10,20.0,218191.0
SA,10,20.0,471040.0
GA,10,35.0,1432420.0
MIMIC,10,33.0,1.513828E7
RHC,20,20.0,415902.0
SA,20,20.0,1234709.0
GA,20,35.0,2620655.0
MIMIC,20,35.0,2.7203769E7
RHC,40,20.0,838500.0
SA,40,35.0,2775830.0
GA,40,33.0,5090860.0
MIMIC,40,34.0,4.7292305E7
RHC,60,20.0,1075201.0
SA,60,35.0,3749813.0
GA,60,35.0,6386221.0
MIMIC,60,33.0,6.1299063E7
RHC,80,35.0,1305601.0
SA,80,35.0,4426047.0
GA,80,33.0,7258985.0
MIMIC,80,35.0,7.2732822E7
RHC,100,20.0,1405245.0
SA,100,20.0,4855734.0
GA,100,33.0,8133719.0
MIMIC,100,35.0,8.7261427E7
RHC,10,20.0,200862.0
SA,10,35.0,379668.0
GA,10,27.0,1115768.0
MIMIC,10,29.0,1.1587753E7
RHC,20,20.0,428505.0
SA,20,20.0,981072.0
GA,20,35.0,2174426.0
MIMIC,20,32.0,2.7505455E7
RHC,40,20.0,1412728.0
SA,40,20.0,3363843.0
GA,40,32.0,6895466.0
MIMIC,40,29.0,6.8075587E7
RHC,60,20.0,1259128.0
SA,60,20.0,4354761.0
GA,60,35.0,7480328.0
MIMIC,60,29.0,7.6167952E7
RHC,80,20.0,1753799.0
SA,80,20.0,5804511.0
GA,80,35.0,9709893.0
MIMIC,80,30.0,9.9888148E7
RHC,100,20.0,2085417.0
SA,100,20.0,7121533.0
GA,100,35.0,1.0319961E7
MIMIC,100,29.0,1.05452412E8
RHC,10,20.0,160296.0
SA,10,20.0,354461.0
GA,10,32.0,1073626.0
MIMIC,10,35.0,1.2017046E7
RHC,20,20.0,318228.0
SA,20,35.0,972407.0
GA,20,32.0,1966082.0
MIMIC,20,34.0,2.0283884E7
RHC,40,20.0,635668.0
SA,40,35.0,2104715.0
GA,40,35.0,3745875.0
MIMIC,40,34.0,3.521185E7
RHC,60,20.0,834954.0
SA,60,35.0,2904224.0
GA,60,33.0,4947107.0
MIMIC,60,33.0,5.1552937E7
RHC,80,20.0,1128765.0
SA,80,20.0,3947130.0
GA,80,35.0,5886430.0
MIMIC,80,34.0,6.2276984E7
RHC,100,35.0,1300481.0
SA,100,35.0,4491820.0
GA,100,32.0,7255835.0
MIMIC,100,13.0,6.7901901E7
RHC,10,20.0,119336.0
SA,10,35.0,272542.0
GA,10,35.0,782179.0
MIMIC,10,31.0,8444857.0
RHC,20,20.0,229218.0
SA,20,35.0,673872.0
GA,20,35.0,1417454.0
MIMIC,20,30.0,1.5319056E7
RHC,40,20.0,455681.0
SA,40,35.0,1521824.0
GA,40,34.0,2745898.0
MIMIC,40,32.0,2.6254598E7
RHC,60,20.0,635275.0
SA,60,20.0,2172457.0
GA,60,34.0,3689160.0
MIMIC,60,34.0,3.7442991E7
RHC,80,20.0,840468.0
SA,80,20.0,2917221.0
GA,80,34.0,4950651.0
MIMIC,80,35.0,4.688428E7
RHC,100,20.0,977134.0
SA,100,20.0,3397714.0
GA,100,35.0,5578049.0
MIMIC,100,35.0,6.0657094E7
RHC,10,35.0,108702.0
SA,10,20.0,230007.0
GA,10,34.0,663237.0
MIMIC,10,35.0,7033706.0
RHC,20,20.0,193379.0
SA,20,35.0,589588.0
GA,20,31.0,1275669.0
MIMIC,20,27.0,1.2925256E7
RHC,40,20.0,384394.0
SA,40,20.0,1283546.0
GA,40,32.0,2309910.0
MIMIC,40,32.0,2.425819E7
RHC,60,20.0,573047.0
SA,60,20.0,2003891.0
GA,60,35.0,3426071.0
MIMIC,60,35.0,3.4868022E7
RHC,80,20.0,781785.0
SA,80,35.0,2745504.0
GA,80,33.0,4559561.0
MIMIC,80,31.0,4.5524328E7
RHC,100,20.0,969256.0
SA,100,35.0,3488693.0
GA,100,35.0,5565052.0
MIMIC,100,29.0,5.7954519E7
RHC,10,20.0,100431.0
SA,10,20.0,231582.0
GA,10,35.0,675841.0
MIMIC,10,30.0,7228266.0
RHC,20,20.0,197317.0
SA,20,35.0,577773.0
GA,20,32.0,1228013.0
MIMIC,20,32.0,1.2611754E7
RHC,40,20.0,388333.0
SA,40,35.0,1291029.0
GA,40,34.0,2280765.0
MIMIC,40,32.0,2.3658756E7
RHC,60,20.0,580529.0
SA,60,20.0,1986956.0
GA,60,35.0,3415831.0
MIMIC,60,35.0,3.7728923E7
RHC,80,20.0,779817.0
SA,80,35.0,2704544.0
GA,80,33.0,4502848.0
MIMIC,80,35.0,4.5727946E7
RHC,100,20.0,962561.0
SA,100,20.0,3474515.0
GA,100,35.0,5628461.0
MIMIC,100,19.0,5.8052586E7
RHC,10,20.0,98462.0
SA,10,35.0,233157.0
GA,10,29.0,652604.0
MIMIC,10,35.0,7097903.0
RHC,20,35.0,202043.0
SA,20,35.0,567139.0
GA,20,31.0,1196506.0
MIMIC,20,33.0,1.263696E7
RHC,40,20.0,387939.0
SA,40,35.0,1296937.0
GA,40,33.0,2313061.0
MIMIC,40,35.0,2.33807E7
RHC,60,20.0,592345.0
SA,60,35.0,2025947.0
GA,60,35.0,3394957.0
MIMIC,60,31.0,3.5456428E7
RHC,80,20.0,774696.0
SA,80,35.0,2691547.0
GA,80,34.0,4541839.0
MIMIC,80,32.0,8.0946885E7
RHC,100,20.0,2087781.0
SA,100,35.0,7332635.0
GA,100,32.0,1.1945366E7
MIMIC,100,34.0,1.19567477E8
RHC,10,20.0,192591.0
SA,10,20.0,444259.0
GA,10,35.0,1288666.0
MIMIC,10,31.0,1.432223E7
RHC,20,20.0,389908.0
SA,20,35.0,1159878.0
GA,20,34.0,2419005.0
MIMIC,20,33.0,2.4732382E7
RHC,40,20.0,774696.0
SA,40,20.0,2513922.0
GA,40,28.0,4484337.0
MIMIC,40,32.0,4.1933235E7
RHC,60,20.0,1081109.0
SA,60,20.0,3485542.0
GA,60,35.0,5754098.0
MIMIC,60,29.0,5.9614188E7
RHC,80,20.0,1181540.0
SA,80,20.0,4136964.0
GA,80,35.0,6793065.0
MIMIC,80,35.0,6.736627E7
RHC,100,20.0,1319779.0
SA,100,20.0,4626121.0
GA,100,33.0,7545706.0
MIMIC,100,35.0,7.9181272E7
RHC,10,20.0,120911.0
SA,10,20.0,271754.0
GA,10,34.0,800690.0
MIMIC,10,35.0,8582310.0
RHC,20,20.0,239458.0
SA,20,35.0,698290.0
GA,20,33.0,1504493.0
MIMIC,20,25.0,1.6016164E7
RHC,40,20.0,482856.0
SA,40,20.0,1593897.0
GA,40,32.0,2804188.0
MIMIC,40,35.0,2.8788213E7
RHC,60,20.0,726253.0
SA,60,35.0,2492261.0
GA,60,35.0,4257087.0
MIMIC,60,35.0,4.1030145E7
RHC,80,20.0,881035.0
SA,80,35.0,3101541.0
GA,80,32.0,5041235.0
MIMIC,80,28.0,5.1955842E7
RHC,100,20.0,1092530.0
SA,100,35.0,3699400.0
GA,100,35.0,5846258.0
MIMIC,100,35.0,5.8602396E7
RHC,10,20.0,103976.0
SA,10,35.0,230794.0
GA,10,31.0,669933.0
MIMIC,10,29.0,1.5574267E7
RHC,20,20.0,428111.0
SA,20,35.0,1254401.0
GA,20,26.0,2526131.0
MIMIC,20,31.0,2.7657873E7
RHC,40,20.0,852284.0
SA,40,20.0,2734477.0
GA,40,34.0,4971131.0
MIMIC,40,34.0,5.0969651E7
RHC,60,20.0,1244555.0
SA,60,20.0,4334675.0
GA,60,32.0,7333029.0
MIMIC,60,35.0,7.4876529E7
RHC,80,20.0,1423361.0
SA,80,35.0,5085347.0
GA,80,35.0,8319614.0
MIMIC,80,35.0,8.4757745E7
RHC,100,20.0,1584050.0
SA,100,20.0,5477618.0
GA,100,35.0,9034446.0
MIMIC,100,35.0,8.8131828E7
RHC,10,20.0,143360.0
SA,10,17.0,294991.0
GA,10,31.0,934204.0
MIMIC,10,32.0,1.0200625E7
RHC,20,20.0,280419.0
SA,20,35.0,856222.0
GA,20,35.0,1728593.0
MIMIC,20,33.0,1.8166959E7
RHC,40,35.0,574622.0
SA,40,35.0,1852260.0
GA,40,31.0,3300828.0
MIMIC,40,31.0,4.2674061E7
RHC,60,20.0,1276851.0
SA,60,20.0,4312225.0
GA,60,29.0,7214481.0
MIMIC,60,31.0,7.5261317E7
RHC,80,20.0,1678180.0
SA,80,35.0,5957716.0
GA,80,35.0,9659481.0
MIMIC,80,11.0,1.03035769E8
RHC,100,35.0,2144888.0
SA,100,35.0,7463786.0
GA,100,35.0,1.1273463E7
MIMIC,100,34.0,1.00408812E8
RHC,10,20.0,170142.0
SA,10,35.0,382425.0
GA,10,32.0,1048026.0
MIMIC,10,30.0,1.1469599E7
RHC,20,20.0,317834.0
SA,20,20.0,939718.0
GA,20,35.0,1947965.0
MIMIC,20,34.0,2.0447331E7
RHC,40,20.0,632911.0
SA,40,35.0,2103535.0
GA,40,33.0,3674194.0
MIMIC,40,32.0,3.6426079E7
RHC,60,20.0,855040.0
SA,60,20.0,2849874.0
GA,60,34.0,4880152.0
MIMIC,60,35.0,5.3404803E7
RHC,80,20.0,1123250.0
SA,80,35.0,3986121.0
GA,80,35.0,6552819.0
MIMIC,80,35.0,5.9098642E7
RHC,100,20.0,1269761.0
SA,100,35.0,4500878.0
GA,100,34.0,7325545.0
MIMIC,100,29.0,7.0833695E7
RHC,10,20.0,114215.0
SA,10,20.0,264271.0
GA,10,32.0,770364.0
MIMIC,10,31.0,8452341.0
RHC,20,20.0,228825.0
SA,20,20.0,684899.0
GA,20,32.0,1431633.0
MIMIC,20,32.0,1.4830292E7
RHC,40,20.0,455681.0
SA,40,35.0,1536001.0
GA,40,34.0,2680913.0
MIMIC,40,30.0,2.5489355E7
RHC,60,20.0,628579.0
SA,60,20.0,2181910.0
GA,60,33.0,3725394.0
MIMIC,60,35.0,3.7602105E7
RHC,80,20.0,849527.0
SA,80,35.0,2975511.0
GA,80,35.0,4865186.0
MIMIC,80,34.0,4.9321008E7
RHC,100,20.0,980678.0
SA,100,20.0,3421344.0
GA,100,34.0,5599710.0
MIMIC,100,35.0,5.7051035E7
RHC,10,20.0,102794.0
SA,10,35.0,225674.0
GA,10,35.0,653786.0
MIMIC,10,31.0,7067970.0
RHC,20,35.0,202437.0
SA,20,20.0,564775.0
GA,20,35.0,1212653.0
MIMIC,20,33.0,1.2416013E7
RHC,40,20.0,388332.0
SA,40,20.0,1279214.0
GA,40,33.0,2336298.0
MIMIC,40,32.0,2.3805267E7
RHC,60,20.0,591558.0
SA,60,20.0,1999165.0
GA,60,35.0,3388656.0
MIMIC,60,32.0,3.5113389E7
RHC,80,20.0,771152.0
SA,80,35.0,2750625.0
GA,80,35.0,4477247.0
MIMIC,80,35.0,7.6976125E7
RHC,100,20.0,2119682.0
SA,100,20.0,7394469.0
GA,100,35.0,1.1969391E7
MIMIC,100,30.0,1.23471285E8
RHC,10,20.0,190621.0
SA,10,20.0,446622.0
GA,10,33.0,1289060.0
MIMIC,10,32.0,1.400282E7
RHC,20,20.0,393452.0
SA,20,20.0,1140186.0
GA,20,33.0,2382772.0
MIMIC,20,35.0,2.5119139E7
RHC,40,20.0,777453.0
SA,40,35.0,2582058.0
GA,40,34.0,4626909.0
MIMIC,40,29.0,4.5371515E7
RHC,60,20.0,1008247.0
SA,60,35.0,3494994.0
GA,60,35.0,5908092.0
