Algorithm,Iteration,N,Evaluation,TrainingTime
SA,20,40,2.0,44111.0
GA,20,40,17.0,1440292.0
MIMIC,20,40,25.0,3.3979003E7
RHC,20,50,7.0,34658.0
SA,20,50,1.0,50412.0
GA,20,50,64.0,1593104.0
MIMIC,20,50,22.0,4.8759623E7
RHC,20,60,1.0,35446.0
SA,20,60,0.0,55138.0
GA,20,60,17.0,1711257.0
MIMIC,20,60,18.0,6.5957667E7
RHC,20,70,3.0,46080.0
SA,20,70,0.0,59470.0
GA,20,70,14.0,1858162.0
MIMIC,20,70,11.0,1.62093728E8
RHC,20,80,3.0,86646.0
SA,20,80,0.0,123668.0
GA,20,80,23.0,4328754.0
MIMIC,20,80,11.0,2.20247351E8
RHC,20,90,2.0,79950.0
SA,20,90,0.0,107126.0
GA,20,90,12.0,3603684.0
MIMIC,20,90,16.0,2.44453083E8
RHC,20,100,4.0,102006.0
SA,20,100,1.0,129181.0
GA,20,100,10.0,4833664.0
MIMIC,20,100,13.0,3.06978387E8
RHC,30,10,10.0,42929.0
SA,30,10,2.0,75618.0
GA,30,10,17.0,2266974.0
MIMIC,30,10,17.0,1.1519187E7
RHC,30,20,20.0,41748.0
SA,30,20,1.0,76012.0
GA,30,20,30.0,2471773.0
MIMIC,30,20,35.0,3.6199503E7
RHC,30,30,22.0,78375.0
SA,30,30,0.0,121698.0
GA,30,30,47.0,4045185.0
MIMIC,30,30,12.0,6.8688984E7
RHC,30,40,6.0,78769.0
SA,30,40,1.0,137846.0
GA,30,40,52.0,4491412.0
MIMIC,30,40,14.0,1.02530535E8
RHC,30,50,10.0,83101.0
SA,30,50,5.0,128394.0
GA,30,50,13.0,4158612.0
MIMIC,30,50,19.0,1.22396485E8
RHC,30,60,3.0,79557.0
SA,30,60,3.0,2978258.0
GA,30,60,11.0,3970354.0
MIMIC,30,60,75.0,1.36475273E8
RHC,30,70,1.0,78376.0
SA,30,70,2.0,115791.0
GA,30,70,13.0,3733654.0
MIMIC,30,70,17.0,1.54134903E8
RHC,30,80,2.0,70892.0
SA,30,80,10.0,107913.0
GA,30,80,13.0,3384706.0
MIMIC,30,80,24.0,1.62677802E8
RHC,30,90,7.0,75619.0
SA,30,90,1.0,95311.0
GA,30,90,17.0,3205901.0
MIMIC,30,90,15.0,3.25819552E8
RHC,30,100,2.0,131151.0
SA,30,100,3.0,183926.0
GA,30,100,13.0,5983692.0
MIMIC,30,100,22.0,4.3070804E8
RHC,40,10,10.0,70893.0
SA,40,10,1.0,132332.0
GA,40,10,17.0,3889222.0
MIMIC,40,10,17.0,1.94788E7
RHC,40,20,35.0,80738.0
SA,40,20,1.0,129969.0
GA,40,20,33.0,4160976.0
MIMIC,40,20,35.0,3.9399496E7
RHC,40,30,10.0,74043.0
SA,40,30,4.0,125243.0
GA,40,30,42.0,3978625.0
MIMIC,40,30,43.0,8.5062708E7
RHC,40,40,12.0,105551.0
SA,40,40,0.0,180381.0
GA,40,40,60.0,5926190.0
MIMIC,40,40,15.0,1.36903777E8
RHC,40,50,4.0,98855.0
SA,40,50,1.0,165415.0
GA,40,50,63.0,5377958.0
MIMIC,40,50,16.0,1.69339694E8
RHC,40,60,9.0,128787.0
SA,40,60,3.0,198892.0
GA,40,60,16.0,6767050.0
MIMIC,40,60,11.0,2.49374573E8
RHC,40,70,5.0,108307.0
SA,40,70,2.0,169354.0
GA,40,70,12.0,5395287.0
MIMIC,40,70,21.0,2.27688269E8
RHC,40,80,7.0,98461.0
SA,40,80,3.0,147298.0
GA,40,80,9.0,4769860.0
MIMIC,40,80,16.0,2.21986966E8
RHC,40,90,5.0,96886.0
SA,40,90,3.0,126424.0
GA,40,90,9.0,4086538.0
MIMIC,40,90,20.0,2.45354201E8
RHC,40,100,21.0,104763.0
SA,40,100,3.0,3303575.0
GA,40,100,11.0,8736670.0
MIMIC,40,100,18.0,5.14089421E8
RHC,50,10,10.0,65772.0
SA,50,10,17.0,111852.0
GA,50,10,17.0,3313814.0
MIMIC,50,10,17.0,1.6609244E7
RHC,50,20,20.0,67348.0
SA,50,20,3.0,113427.0
GA,50,20,35.0,3747044.0
MIMIC,50,20,35.0,3.7785912E7
RHC,50,30,30.0,82314.0
SA,50,30,1.0,125637.0
GA,50,30,48.0,4021160.0
MIMIC,50,30,41.0,5.9730578E7
RHC,50,40,18.0,80344.0
SA,50,40,1.0,122880.0
GA,50,40,57.0,3893160.0
MIMIC,50,40,28.0,1.40282576E8
RHC,50,50,7.0,140209.0
SA,50,50,4.0,230794.0
GA,50,50,8.0,7701251.0
MIMIC,50,50,73.0,2.0400714E8
RHC,50,60,16.0,134302.0
SA,50,60,5.0,191015.0
GA,50,60,17.0,6283014.0
MIMIC,50,60,19.0,2.15918597E8
RHC,50,70,10.0,115397.0
SA,50,70,3.0,166990.0
GA,50,70,13.0,5361417.0
MIMIC,50,70,22.0,2.10335446E8
RHC,50,80,1.0,100824.0
SA,50,80,1.0,141390.0
GA,50,80,16.0,4734415.0
MIMIC,50,80,19.0,2.40016021E8
RHC,50,90,3.0,121304.0
SA,50,90,1.0,152812.0
GA,50,90,16.0,5104629.0
MIMIC,50,90,11.0,3.37346223E8
RHC,50,100,2.0,229612.0
SA,50,100,0.0,315076.0
GA,50,100,12.0,1.0767336E7
MIMIC,50,100,25.0,5.51997426E8
RHC,60,10,17.0,68923.0
SA,60,10,17.0,126818.0
GA,60,10,17.0,3638343.0
MIMIC,60,10,16.0,1.8265757E7
RHC,60,20,20.0,63803.0
SA,60,20,2.0,113821.0
GA,60,20,35.0,3705690.0
MIMIC,60,20,33.0,3.7202233E7
RHC,60,30,14.0,75618.0
SA,60,30,11.0,127999.0
GA,60,30,42.0,3956963.0
MIMIC,60,30,50.0,6.1864826E7
RHC,60,40,20.0,85859.0
SA,60,40,7.0,123273.0
GA,60,40,59.0,3950662.0
MIMIC,60,40,24.0,9.4082947E7
RHC,60,50,20.0,91766.0
SA,60,50,4.0,132725.0
GA,60,50,69.0,4443756.0
MIMIC,60,50,18.0,1.2893668E8
RHC,60,60,8.0,99643.0
SA,60,60,0.0,142965.0
GA,60,60,10.0,4617443.0
MIMIC,60,60,26.0,3.09631329E8
RHC,60,70,17.0,178806.0
SA,60,70,7.0,271753.0
GA,60,70,14.0,9018270.0
MIMIC,60,70,22.0,3.66450997E8
RHC,60,80,4.0,218190.0
SA,60,80,3.0,332406.0
GA,60,80,13.0,1.1363619E7
MIMIC,60,80,25.0,4.54985451E8
RHC,60,90,13.0,157539.0
SA,60,90,6.0,207556.0
GA,60,90,9.0,6845032.0
MIMIC,60,90,28.0,3.50448668E8
RHC,60,100,6.0,150843.0
SA,60,100,3.0,207556.0
GA,60,100,12.0,6252688.0
MIMIC,60,100,22.0,4.78839086E8
