Algorithm,Iteration,N,Evaluation,TrainingTime
RHC,50,50,8.0,115397.0
SA,50,50,5.0,218978.0
GA,50,50,10.0,5789920.0
MIMIC,50,50,17.0,1.65858103E8
RHC,50,60,9.0,100825.0
SA,50,60,7.0,196529.0
GA,50,60,22.0,5030586.0
MIMIC,50,60,18.0,1.75716051E8
RHC,50,70,6.0,102400.0
SA,50,70,8.0,171716.0
GA,50,70,11.0,4517406.0
MIMIC,50,70,30.0,1.90720375E8
RHC,50,80,10.0,115397.0
SA,50,80,5.0,160689.0
GA,50,80,17.0,4622956.0
MIMIC,50,80,15.0,2.38418585E8
RHC,50,90,4.0,122092.0
SA,50,90,4.0,181957.0
GA,50,90,11.0,5088088.0
MIMIC,50,90,18.0,2.91339972E8
RHC,50,100,11.0,138633.0
SA,50,100,7.0,179594.0
GA,50,100,15.0,5334635.0
MIMIC,50,100,21.0,4.4880917E8
RHC,60,10,10.0,122486.0
SA,60,10,17.0,343433.0
GA,60,10,17.0,6738299.0
MIMIC,60,10,17.0,3.1482812E7
RHC,60,20,35.0,136665.0
SA,60,20,4.0,252849.0
GA,60,20,35.0,6804465.0
MIMIC,60,20,35.0,6.854523E7
RHC,60,30,30.0,124849.0
SA,60,30,8.0,275692.0
GA,60,30,40.0,6273561.0
MIMIC,60,30,40.0,1.00426613E8
RHC,60,40,16.0,159902.0
SA,60,40,5.0,272935.0
GA,60,40,53.0,8524782.0
MIMIC,60,40,55.0,1.93214597E8
RHC,60,50,32.0,174867.0
SA,60,50,6.0,244578.0
GA,60,50,14.0,7894629.0
MIMIC,60,50,67.0,2.27805636E8
RHC,60,60,5.0,189046.0
SA,60,60,0.0,375334.0
GA,60,60,42.0,1.0019818E7
MIMIC,60,60,24.0,3.40350082E8
RHC,60,70,8.0,176442.0
SA,60,70,12.0,343433.0
GA,60,70,13.0,7917866.0
MIMIC,60,70,20.0,4.231596E8
RHC,60,80,6.0,170141.0
SA,60,80,13.0,541931.0
GA,60,80,17.0,8602763.0
MIMIC,60,80,23.0,3.50013076E8
RHC,60,90,1.0,163840.0
SA,60,90,1.0,219766.0
GA,60,90,15.0,1.1317145E7
MIMIC,60,90,15.0,6.41850868E8
RHC,60,100,6.0,272935.0
SA,60,100,0.0,380455.0
GA,60,100,9.0,1.2702692E7
MIMIC,60,100,25.0,5.92585547E8
RHC,10,10,10.0,14966.0
SA,10,10,2.0,21661.0
GA,10,10,17.0,638817.0
MIMIC,10,10,17.0,3171243.0
RHC,10,20,7.0,12603.0
SA,10,20,5.0,21267.0
GA,10,20,35.0,718374.0
MIMIC,10,20,31.0,7725276.0
RHC,10,30,7.0,14572.0
SA,10,30,0.0,22843.0
GA,10,30,42.0,788085.0
MIMIC,10,30,41.0,1.3078814E7
RHC,10,40,1.0,14573.0
SA,10,40,1.0,22843.0
GA,10,40,9.0,4349234.0
MIMIC,10,40,16.0,4.3915326E7
RHC,10,50,1.0,37415.0
SA,10,50,2.0,53563.0
GA,10,50,14.0,1926298.0
MIMIC,10,50,64.0,6.3014067E7
RHC,10,60,3.0,41353.0
SA,10,60,1.0,58289.0
GA,10,60,12.0,2101165.0
MIMIC,10,60,12.0,8.9181936E7
RHC,10,70,1.0,44898.0
SA,10,70,0.0,61440.0
GA,10,70,13.0,2315417.0
MIMIC,10,70,21.0,9.9740929E7
RHC,10,80,3.0,44111.0
SA,10,80,5.0,56714.0
GA,10,80,10.0,2077141.0
MIMIC,10,80,17.0,1.08369291E8
RHC,10,90,1.0,41747.0
SA,10,90,0.0,48049.0
GA,10,90,12.0,1844772.0
MIMIC,10,90,15.0,1.28144264E8
RHC,10,100,0.0,55926.0
SA,10,100,1.0,66953.0
GA,10,100,10.0,2858923.0
MIMIC,10,100,6.0,2.22587973E8
RHC,20,10,10.0,40566.0
SA,20,10,3.0,67347.0
GA,20,10,17.0,2023183.0
MIMIC,20,10,17.0,1.0388457E7
RHC,20,20,13.0,40566.0
SA,20,20,1.0,67348.0
GA,20,20,34.0,2309509.0
MIMIC,20,20,32.0,2.330422E7
RHC,20,30,4.0,43717.0
SA,20,30,0.0,74437.0
GA,20,30,42.0,2439872.0
MIMIC,20,30,9.0,4.0364811E7
RHC,20,40,16.0,48049.0
SA,20,40,1.0,68529.0
GA,20,40,11.0,2321324.0
MIMIC,20,40,18.0,5.6086721E7
RHC,20,50,6.0,54745.0
SA,20,50,0.0,78769.0
GA,20,50,12.0,2561964.0
MIMIC,20,50,15.0,7.4796343E7
RHC,20,60,3.0,53169.0
SA,20,60,2.0,78769.0
GA,20,60,10.0,2446173.0
MIMIC,20,60,16.0,9.0304789E7
RHC,20,70,7.0,54745.0
SA,20,70,2.0,74437.0
GA,20,70,18.0,2454444.0
MIMIC,20,70,9.0,1.07001466E8
RHC,20,80,4.0,53169.0
SA,20,80,4.0,69711.0
GA,20,80,14.0,2241374.0
MIMIC,20,80,17.0,1.25244381E8
RHC,20,90,7.0,58683.0
SA,20,90,4.0,68529.0
GA,20,90,13.0,2260278.0
MIMIC,20,90,18.0,1.37058165E8
RHC,20,100,2.0,59471.0
SA,20,100,2.0,72074.0
GA,20,100,11.0,2432389.0
MIMIC,20,100,23.0,2.42831228E8
RHC,30,10,10.0,66954.0
SA,30,10,4.0,117760.0
GA,30,10,17.0,3487500.0
MIMIC,30,10,17.0,1.7574165E7
RHC,30,20,10.0,63803.0
SA,30,20,2.0,119729.0
GA,30,20,35.0,3862047.0
MIMIC,30,20,34.0,3.7721715E7
RHC,30,30,22.0,73650.0
SA,30,30,2.0,118547.0
GA,30,30,41.0,3765161.0
MIMIC,30,30,44.0,6.4190089E7
RHC,30,40,4.0,74437.0
SA,30,40,0.0,126819.0
GA,30,40,69.0,3765555.0
MIMIC,30,40,21.0,9.2999084E7
RHC,30,50,7.0,96099.0
SA,30,50,3.0,148874.0
GA,30,50,18.0,4926610.0
MIMIC,30,50,66.0,1.47127214E8
RHC,30,60,3.0,106732.0
SA,30,60,1.0,159508.0
GA,30,60,11.0,5349601.0
MIMIC,30,60,17.0,1.7328563E8
RHC,30,70,3.0,89009.0
SA,30,70,1.0,132332.0
GA,30,70,15.0,4206268.0
MIMIC,30,70,20.0,1.79875845E8
RHC,30,80,4.0,83101.0
SA,30,80,0.0,115003.0
GA,30,80,11.0,3734047.0
MIMIC,30,80,19.0,1.80980186E8
RHC,30,90,4.0,81526.0
SA,30,90,1.0,108308.0
GA,30,90,9.0,3487894.0
MIMIC,30,90,20.0,1.92177602E8
RHC,30,100,2.0,82707.0
SA,30,100,0.0,100825.0
GA,30,100,10.0,6695370.0
MIMIC,30,100,26.0,2.19722749E8
RHC,40,10,10.0,40960.0
SA,40,10,0.0,73256.0
GA,40,10,17.0,2103134.0
MIMIC,40,10,17.0,1.6795533E7
RHC,40,20,20.0,94917.0
SA,40,20,0.0,281600.0
GA,40,20,35.0,4944334.0
MIMIC,40,20,30.0,5.167526E7
RHC,40,30,10.0,148085.0
SA,40,30,3.0,165415.0
GA,40,30,44.0,5459877.0
MIMIC,40,30,42.0,8.7078803E7
RHC,40,40,13.0,108701.0
SA,40,40,0.0,172111.0
GA,40,40,56.0,5749354.0
MIMIC,40,40,59.0,1.18370205E8
RHC,40,50,9.0,95311.0
SA,40,50,6.0,155962.0
GA,40,50,22.0,8216795.0
MIMIC,40,50,14.0,1.45336399E8
RHC,40,60,16.0,89797.0
SA,40,60,0.0,130757.0
GA,40,60,24.0,4359868.0
MIMIC,40,60,15.0,2.02261618E8
RHC,40,70,13.0,144541.0
SA,40,70,3.0,212676.0
GA,40,70,20.0,7340883.0
MIMIC,40,70,14.0,3.06636136E8
RHC,40,80,6.0,163052.0
SA,40,80,1.0,244578.0
GA,40,80,20.0,7908020.0
MIMIC,40,80,27.0,3.78831918E8
RHC,40,90,5.0,167778.0
SA,40,90,0.0,245759.0
GA,40,90,14.0,8433016.0
MIMIC,40,90,11.0,4.51985925E8
RHC,40,100,5.0,133513.0
SA,40,100,2.0,156356.0
GA,40,100,17.0,5522892.0
MIMIC,40,100,17.0,4.57457224E8
RHC,50,10,17.0,89403.0
SA,50,10,17.0,162658.0
GA,50,10,17.0,4801368.0
MIMIC,50,10,17.0,2.3796921E7
RHC,50,20,20.0,97280.0
SA,50,20,5.0,161083.0
GA,50,20,35.0,5343693.0
MIMIC,50,20,34.0,5.7304491E7
RHC,50,30,16.0,122092.0
SA,50,30,4.0,207557.0
GA,50,30,40.0,6598484.0
MIMIC,50,30,45.0,1.09083727E8
RHC,50,40,8.0,127212.0
SA,50,40,0.0,210707.0
GA,50,40,53.0,7448797.0
MIMIC,50,40,12.0,1.65265759E8
RHC,50,50,11.0,144541.0
SA,50,50,2.0,233550.0
GA,50,50,72.0,7832796.0
MIMIC,50,50,21.0,2.34119763E8
RHC,50,60,16.0,138240.0
SA,50,60,2.0,215039.0
GA,50,60,14.0,7146323.0
MIMIC,50,60,14.0,3.12255521E8
RHC,50,70,7.0,150842.0
SA,50,70,1.0,228431.0
GA,50,70,15.0,7603971.0
MIMIC,50,70,18.0,3.77481422E8
RHC,50,80,9.0,159114.0
SA,50,80,1.0,221341.0
GA,50,80,11.0,1.1038302E7
MIMIC,50,80,16.0,3.3881763E8
RHC,50,90,1.0,121305.0
SA,50,90,2.0,168172.0
GA,50,90,11.0,5500837.0
MIMIC,50,90,20.0,4.66902816E8
RHC,50,100,8.0,175261.0
SA,50,100,1.0,257181.0
GA,50,100,17.0,8211281.0
MIMIC,50,100,21.0,4.68135158E8
RHC,60,10,10.0,122092.0
SA,60,10,17.0,230400.0
GA,60,10,17.0,6680404.0
MIMIC,60,10,16.0,3.3459521E7
RHC,60,20,35.0,139815.0
SA,60,20,30.0,238670.0
GA,60,20,35.0,7557498.0
MIMIC,60,20,35.0,7.5782925E7
RHC,60,30,19.0,144541.0
SA,60,30,8.0,246153.0
GA,60,30,46.0,7840278.0
MIMIC,60,30,18.0,1.12671657E8
RHC,60,40,25.0,120911.0
SA,60,40,5.0,193378.0
GA,60,40,59.0,6464577.0
MIMIC,60,40,20.0,1.44354936E8
RHC,60,50,28.0,123668.0
SA,60,50,7.0,187471.0
GA,60,50,20.0,6150682.0
MIMIC,60,50,25.0,1.92867619E8
RHC,60,60,19.0,200074.0
SA,60,60,9.0,291051.0
GA,60,60,14.0,9771302.0
MIMIC,60,60,29.0,3.22565997E8
RHC,60,70,4.0,139421.0
SA,60,70,5.0,211889.0
GA,60,70,19.0,1.3862961E7
MIMIC,60,70,12.0,4.32848588E8
RHC,60,80,11.0,151630.0
SA,60,80,6.0,229612.0
GA,60,80,14.0,7713066.0
MIMIC,60,80,18.0,4.02010501E8
RHC,60,90,2.0,241427.0
SA,60,90,1.0,361550.0
GA,60,90,24.0,1.2342324E7
MIMIC,60,90,26.0,6.41742561E8
RHC,60,100,10.0,223310.0
SA,60,100,4.0,289477.0
GA,60,100,12.0,1.0253369E7
MIMIC,60,100,17.0,5.05857661E8
RHC,10,10,17.0,14572.0
SA,10,10,0.0,20086.0
GA,10,10,17.0,574227.0
MIMIC,10,10,17.0,2925483.0
RHC,10,20,1.0,9846.0
SA,10,20,2.0,18905.0
GA,10,20,34.0,645906.0
MIMIC,10,20,34.0,7045499.0
RHC,10,30,9.0,14179.0
