Algorithm,Iteration,Nodes,TrainTest,Evaluation,Time
RHC,50,20,train,67.253,0.196
RHC,50,20,test,66.667,0.002
SA,50,20,train,64.176,0.365
SA,50,20,test,63.158,0.001
GA,50,20,train,97.363,8.328
GA,50,20,test,97.368,0.001
RHC,50,30,train,81.758,0.284
RHC,50,30,test,78.947,0.001
SA,50,30,train,63.077,0.255
SA,50,30,test,70.175,0.001
GA,50,30,train,97.582,12.223
GA,50,30,test,96.491,0.001
RHC,50,40,train,53.187,0.264
RHC,50,40,test,55.263,0.001
SA,50,40,train,74.505,0.272
SA,50,40,test,72.807,0.001
GA,50,40,train,97.802,15.571
GA,50,40,test,98.246,0.001
RHC,50,50,train,70.989,0.427
RHC,50,50,test,82.456,0.002
SA,50,50,train,29.890,0.563
SA,50,50,test,24.561,0.001
GA,50,50,train,98.022,19.625
GA,50,50,test,98.246,0.001
RHC,50,60,train,42.637,0.477
RHC,50,60,test,42.105,0.001
SA,50,60,train,41.538,0.473
SA,50,60,test,40.351,0.001
GA,50,60,train,97.363,22.211
GA,50,60,test,98.246,0.001
RHC,60,10,train,78.901,0.191
RHC,60,10,test,78.947,0.001
SA,60,10,train,85.934,0.260
SA,60,10,test,84.211,0.001
GA,60,10,train,97.802,5.279
GA,60,10,test,97.368,0.000
RHC,60,20,train,65.714,0.256
RHC,60,20,test,68.421,0.001
SA,60,20,train,55.604,0.441
SA,60,20,test,52.632,0.002
GA,60,20,train,97.363,11.857
GA,60,20,test,97.368,0.001
RHC,60,30,train,85.055,0.250
RHC,60,30,test,79.825,0.001
SA,60,30,train,44.835,0.252
SA,60,30,test,40.351,0.001
GA,60,30,train,97.582,13.368
GA,60,30,test,96.491,0.001
RHC,60,40,train,21.978,0.319
RHC,60,40,test,26.316,0.001
SA,60,40,train,85.934,0.321
SA,60,40,test,85.965,0.001
GA,60,40,train,98.022,18.299
GA,60,40,test,98.246,0.001
RHC,60,50,train,28.352,0.384
RHC,60,50,test,29.825,0.001
SA,60,50,train,68.352,0.718
SA,60,50,test,67.544,0.001
GA,60,50,train,98.242,24.085
GA,60,50,test,94.737,0.001
RHC,60,60,train,50.330,0.754
RHC,60,60,test,55.263,0.002
SA,60,60,train,27.253,0.597
SA,60,60,test,26.316,0.001
GA,60,60,train,96.703,30.333
GA,60,60,test,95.614,0.005
RHC,10,10,train,74.286,0.039
RHC,10,10,test,80.702,0.001
SA,10,10,train,53.407,0.036
SA,10,10,test,57.895,0.001
GA,10,10,train,95.604,1.256
GA,10,10,test,92.982,0.001
RHC,10,20,train,85.714,0.037
RHC,10,20,test,80.702,0.001
SA,10,20,train,18.681,0.037
SA,10,20,test,21.053,0.001
GA,10,20,train,91.648,2.154
GA,10,20,test,88.596,0.001
RHC,10,30,train,24.615,0.111
RHC,10,30,test,28.070,0.002
SA,10,30,train,46.374,0.097
SA,10,30,test,46.491,0.002
GA,10,30,train,95.385,3.359
GA,10,30,test,91.228,0.001
RHC,10,40,train,45.055,0.051
RHC,10,40,test,50.000,0.001
SA,10,40,train,60.220,0.056
SA,10,40,test,59.649,0.001
GA,10,40,train,95.824,3.005
GA,10,40,test,96.491,0.001
RHC,10,50,train,30.549,0.063
RHC,10,50,test,28.070,0.001
SA,10,50,train,60.440,0.063
SA,10,50,test,66.667,0.001
GA,10,50,train,95.824,4.825
GA,10,50,test,94.737,0.001
RHC,10,60,train,58.681,0.090
RHC,10,60,test,56.140,0.001
SA,10,60,train,43.297,0.081
SA,10,60,test,45.614,0.001
GA,10,60,train,94.066,4.244
GA,10,60,test,92.105,0.001
RHC,20,10,train,47.912,0.037
RHC,20,10,test,42.982,0.000
SA,20,10,train,75.824,0.041
SA,20,10,test,81.579,0.000
GA,20,10,train,94.066,1.473
GA,20,10,test,91.228,0.000
RHC,20,20,train,40.879,0.060
RHC,20,20,test,29.825,0.001
SA,20,20,train,21.099,0.061
SA,20,20,test,21.930,0.001
GA,20,20,train,95.165,3.470
GA,20,20,test,94.737,0.001
RHC,20,30,train,50.330,0.200
RHC,20,30,test,51.754,0.002
SA,20,30,train,46.374,0.181
SA,20,30,test,43.860,0.001
GA,20,30,train,97.363,5.496
GA,20,30,test,97.368,0.001
RHC,20,40,train,24.176,0.129
RHC,20,40,test,25.439,0.001
SA,20,40,train,26.374,0.127
SA,20,40,test,23.684,0.001
GA,20,40,train,95.604,6.699
GA,20,40,test,97.368,0.001
RHC,20,50,train,32.967,0.153
RHC,20,50,test,40.351,0.001
SA,20,50,train,72.088,0.307
SA,20,50,test,70.175,0.002
GA,20,50,train,96.923,8.490
GA,20,50,test,96.491,0.001
RHC,20,60,train,66.154,0.182
RHC,20,60,test,62.281,0.001
SA,20,60,train,55.165,0.188
SA,20,60,test,58.772,0.001
GA,20,60,train,97.802,10.028
GA,20,60,test,96.491,0.001
RHC,30,10,train,56.044,0.067
RHC,30,10,test,61.404,0.001
SA,30,10,train,32.308,0.071
SA,30,10,test,25.439,0.001
GA,30,10,train,97.363,2.321
GA,30,10,test,96.491,0.000
RHC,30,20,train,43.516,0.091
RHC,30,20,test,44.737,0.001
SA,30,20,train,66.374,0.094
SA,30,20,test,65.789,0.001
GA,30,20,train,96.923,5.018
GA,30,20,test,97.368,0.001
RHC,30,30,train,49.231,0.257
RHC,30,30,test,48.246,0.002
SA,30,30,train,65.055,0.260
SA,30,30,test,58.772,0.001
GA,30,30,train,97.363,7.959
GA,30,30,test,97.368,0.001
RHC,30,40,train,72.527,0.159
RHC,30,40,test,71.053,0.001
SA,30,40,train,89.670,0.156
SA,30,40,test,84.211,0.001
GA,30,40,train,97.143,8.637
GA,30,40,test,97.368,0.001
RHC,30,50,train,83.956,0.194
RHC,30,50,test,79.825,0.001
SA,30,50,train,41.758,0.198
SA,30,50,test,35.965,0.001
GA,30,50,train,97.143,10.662
GA,30,50,test,94.737,0.001
RHC,30,60,train,65.714,0.231
RHC,30,60,test,68.421,0.001
SA,30,60,train,48.791,0.221
SA,30,60,test,37.719,0.010
GA,30,60,train,96.484,14.208
GA,30,60,test,97.368,0.001
RHC,40,10,train,65.495,0.073
RHC,40,10,test,64.035,0.000
SA,40,10,train,74.505,0.079
SA,40,10,test,68.421,0.000
GA,40,10,train,95.604,3.488
GA,40,10,test,93.860,0.000
RHC,40,20,train,76.264,0.198
RHC,40,20,test,75.439,0.001
SA,40,20,train,42.418,0.298
SA,40,20,test,40.351,0.001
GA,40,20,train,96.484,7.356
GA,40,20,test,96.491,0.001
RHC,40,30,train,86.374,0.222
RHC,40,30,test,85.088,0.002
SA,40,30,train,57.363,0.362
SA,40,30,test,63.158,0.001
GA,40,30,train,97.802,9.060
GA,40,30,test,98.246,0.002
RHC,40,40,train,76.044,0.254
RHC,40,40,test,77.193,0.001
SA,40,40,train,64.396,0.471
SA,40,40,test,64.035,0.001
GA,40,40,train,97.363,12.788
GA,40,40,test,98.246,0.001
RHC,40,50,train,50.330,0.258
RHC,40,50,test,53.509,0.001
SA,40,50,train,58.901,0.256
SA,40,50,test,57.018,0.001
GA,40,50,train,97.363,16.133
GA,40,50,test,98.246,0.003
RHC,40,60,train,54.286,0.362
RHC,40,60,test,48.246,0.001
SA,40,60,train,27.912,0.385
SA,40,60,test,28.947,0.001
GA,40,60,train,98.022,17.472
GA,40,60,test,96.491,0.001
RHC,50,10,train,91.648,0.096
RHC,50,10,test,91.228,0.000
SA,50,10,train,61.099,0.099
SA,50,10,test,58.772,0.000
GA,50,10,train,96.264,4.298
GA,50,10,test,98.246,0.001
RHC,50,20,train,72.747,0.306
RHC,50,20,test,68.421,0.001
SA,50,20,train,26.374,0.363
SA,50,20,test,29.825,0.001
GA,50,20,train,97.802,8.889
GA,50,20,test,96.491,0.001
RHC,50,30,train,39.560,0.324
RHC,50,30,test,37.719,0.002
SA,50,30,train,64.835,0.465
SA,50,30,test,66.667,0.002
GA,50,30,train,98.462,12.662
GA,50,30,test,97.368,0.001
RHC,50,40,train,83.956,0.272
RHC,50,40,test,85.965,0.001
SA,50,40,train,48.571,0.273
SA,50,40,test,45.614,0.001
GA,50,40,train,97.143,15.332
GA,50,40,test,96.491,0.001
RHC,50,50,train,62.857,0.389
RHC,50,50,test,58.772,0.001
SA,50,50,train,48.571,0.396
SA,50,50,test,42.105,0.001
GA,50,50,train,98.242,19.218
GA,50,50,test,98.246,0.001
RHC,50,60,train,41.978,0.641
RHC,50,60,test,47.368,0.002
SA,50,60,train,63.736,0.791
SA,50,60,test,71.930,0.002
GA,50,60,train,98.022,26.569
GA,50,60,test,98.246,0.001
RHC,60,10,train,82.637,0.267
RHC,60,10,test,80.702,0.001
SA,60,10,train,46.374,0.199
SA,60,10,test,45.614,0.001
GA,60,10,train,97.582,5.928
GA,60,10,test,94.737,0.000
RHC,60,20,train,83.297,0.189
RHC,60,20,test,86.842,0.001
SA,60,20,train,75.604,0.189
SA,60,20,test,71.053,0.001
GA,60,20,train,97.802,9.990
GA,60,20,test,98.246,0.001
RHC,60,30,train,41.319,0.502
RHC,60,30,test,41.228,0.001
SA,60,30,train,23.736,0.384
SA,60,30,test,22.807,0.001
GA,60,30,train,97.802,14.171
GA,60,30,test,98.246,0.001
RHC,60,40,train,42.198,0.319
RHC,60,40,test,47.368,0.001
SA,60,40,train,60.659,0.327
SA,60,40,test,61.404,0.001
GA,60,40,train,97.802,18.047
GA,60,40,test,96.491,0.001
RHC,60,50,train,89.670,0.652
RHC,60,50,test,87.719,0.002
SA,60,50,train,19.121,0.757
SA,60,50,test,22.807,0.002
GA,60,50,train,98.022,23.771
GA,60,50,test,98.246,0.001
RHC,60,60,train,83.516,0.568
RHC,60,60,test,81.579,0.003
SA,60,60,train,23.077,0.729
SA,60,60,test,27.193,0.001
GA,60,60,train,97.582,29.103
GA,60,60,test,98.246,0.001
