Algorithm,Iteration,NumberOfPoints,Evaluation,TrainingTime
MIMIC,60,40,0.09444939208095986,6.84716991E8
RHC,60,50,0.09990388864246261,391088.0
SA,60,50,0.039552207122399985,470645.0
GA,60,50,0.124703926045551,3.9488505E7
MIMIC,60,50,0.08208850237741261,1.399847897E9
RHC,60,60,0.06716479743852799,459618.0
SA,60,60,0.03325066536422667,553352.0
GA,60,60,0.13506960027731882,4.8379957E7
MIMIC,60,60,0.06566022522128331,3.086940562E9
RHC,10,10,0.32400669140755844,25993.0
SA,10,10,0.16710757654310132,35446.0
GA,10,10,0.3730680519400909,1718347.0
MIMIC,10,10,0.27498386454699975,5254684.0
RHC,10,20,0.1497777542475221,33477.0
SA,10,20,0.0916421095113617,42141.0
GA,10,20,0.20265325415821223,2956597.0
MIMIC,10,20,0.17616254138662557,2.0120375E7
RHC,10,30,0.09665998652347822,47655.0
SA,10,30,0.05774301931784504,57107.0
GA,10,30,0.14921767022577775,4368532.0
MIMIC,10,30,0.09374206662301848,5.554479E7
RHC,10,40,0.07387153576282254,59470.0
SA,10,40,0.048621806259621064,69711.0
GA,10,40,0.11055678879460366,5914375.0
MIMIC,10,40,0.07401194864124178,1.29963829E8
RHC,10,50,0.0637386645446968,77194.0
SA,10,50,0.03369825215481529,83495.0
GA,10,50,0.08880838493081197,7631147.0
MIMIC,10,50,0.051697104810114365,2.67382362E8
RHC,10,60,0.04920172049062795,83889.0
SA,10,60,0.03328463317475296,95704.0
GA,10,60,0.07534982184956203,9225039.0
MIMIC,10,60,0.04561928390946702,4.93695324E8
RHC,20,10,0.4025794973265692,45292.0
SA,20,10,0.22878544038717497,63409.0
GA,20,10,0.4025794973265694,3084990.0
MIMIC,20,10,0.3704715210366902,9504669.0
RHC,20,20,0.18220927011005816,63015.0
SA,20,20,0.11550937573214737,89796.0
GA,20,20,0.2136638731597675,5641834.0
MIMIC,20,20,0.16163842776829707,3.6530727E7
RHC,20,30,0.11297179360948749,89009.0
SA,20,30,0.061692751562961515,107913.0
GA,20,30,0.16938439117669304,8464130.0
MIMIC,20,30,0.1157076988732332,1.00489628E8
RHC,20,40,0.08259150131414908,111064.0
SA,20,40,0.04712557669332542,133119.0
