Iteration,RHC,SA,GA
227,31.430,72.450,3.203
228,31.680,73.097,3.280
229,31.347,73.042,3.032
230,29.338,72.963,2.955
231,25.088,73.094,3.171
232,25.086,61.412,3.599
233,25.065,61.417,3.128
234,24.970,61.296,3.203
235,24.868,60.386,3.378
236,24.817,60.094,3.153
237,24.299,60.647,3.177
238,24.251,60.447,2.936
239,24.918,54.923,2.966
240,24.337,55.542,2.859
241,24.251,54.661,3.074
242,24.052,54.721,3.135
243,24.065,54.603,3.036
244,24.035,56.339,3.092
245,24.065,56.113,3.281
246,23.949,56.113,2.825
247,23.956,57.030,2.786
248,24.148,56.878,2.673
249,23.977,56.030,2.997
250,23.888,55.395,2.948
251,23.677,55.079,2.819
252,23.656,55.026,2.876
253,23.638,54.661,3.108
254,23.848,54.611,3.048
255,23.510,54.516,3.203
256,23.535,55.065,2.929
257,23.498,54.885,3.040
258,23.154,54.017,2.999
259,23.157,53.776,2.870
260,22.997,53.770,2.900
261,23.085,53.789,2.843
262,23.182,53.763,2.815
263,22.883,53.768,2.796
264,22.869,53.768,2.822
265,22.913,53.625,3.109
266,22.872,53.562,3.099
267,22.831,54.245,2.892
268,22.885,54.271,2.838
269,22.623,53.683,3.028
270,23.471,53.452,2.863
271,22.883,53.210,3.128
272,22.379,53.532,2.984
273,22.340,52.023,3.585
274,22.637,51.995,2.624
275,21.943,51.940,2.667
276,22.132,52.244,2.838
277,21.746,51.794,2.680
278,21.642,51.563,2.790
279,21.706,52.113,2.725
280,21.502,52.072,2.867
281,21.262,52.141,2.917
282,21.301,52.180,2.811
283,21.227,51.734,2.872
284,21.159,55.981,2.654
285,21.125,56.091,3.040
286,21.125,57.134,3.041
287,21.110,57.150,2.568
288,21.095,56.132,2.741
289,21.220,56.434,2.959
290,21.079,56.131,2.781
291,21.114,56.232,3.294
292,21.135,55.966,3.066
293,20.833,59.746,2.914
294,20.653,61.523,2.667
295,20.443,62.409,2.827
296,20.418,63.518,2.743
297,20.589,63.519,2.893
298,20.536,63.042,2.973
299,20.284,62.978,2.746
300,20.341,62.960,2.886
301,19.847,61.391,2.944
302,19.881,61.409,2.896
303,19.741,63.483,2.953
304,19.496,63.732,2.613
305,19.126,64.399,2.924
306,19.131,64.408,3.111
307,19.170,66.575,2.729
308,19.126,65.548,2.702
309,19.202,66.846,2.733
310,19.133,66.601,2.970
311,19.263,66.771,2.662
312,19.291,66.605,2.838
313,19.062,66.525,2.831
314,19.119,66.813,2.963
315,18.939,66.398,2.702
316,18.672,66.565,2.721
317,18.552,66.583,2.921
318,18.558,69.765,2.736
319,19.797,70.839,2.833
320,18.424,69.910,2.898
321,18.705,69.951,2.809
322,18.370,70.550,2.573
323,18.344,70.242,2.742
324,18.330,70.233,2.600
325,18.419,70.804,2.848
326,18.332,70.179,3.049
327,17.957,71.378,2.745
328,17.982,71.347,2.685
329,17.867,71.343,2.909
330,18.126,71.449,2.872
331,17.865,71.457,2.714
332,17.850,70.822,2.649
333,17.961,70.872,2.691
334,17.853,70.422,2.782
335,17.758,70.411,2.624
336,18.175,70.460,2.741
337,17.536,70.442,2.745
338,17.544,70.439,2.839
339,17.554,71.910,2.779
340,17.612,72.481,2.762
341,17.536,72.487,2.853
342,17.489,71.372,2.780
343,17.825,71.377,2.631
344,17.314,72.235,2.603
345,17.242,72.235,2.874
346,17.316,71.844,2.806
347,17.376,72.083,2.955
348,17.236,72.103,2.621
349,17.018,70.870,2.737
350,16.958,70.828,2.703
351,16.924,70.853,2.647
352,16.961,70.767,2.969
353,16.936,70.833,2.770
354,17.076,70.751,2.666
355,16.930,70.743,2.827
356,16.826,70.743,2.939
357,16.864,70.901,2.660
358,16.797,71.205,2.794
359,16.873,71.477,2.819
360,16.705,71.643,2.614
361,16.664,70.644,2.840
362,16.720,70.815,2.737
363,16.560,70.763,2.737
364,16.308,70.536,2.626
365,16.353,68.211,2.767
366,16.366,68.230,2.694
367,16.459,68.230,2.617
368,16.296,70.473,2.758
369,16.563,68.677,2.673
370,16.258,68.360,2.726
371,16.259,68.298,2.826
372,16.248,68.295,2.578
373,16.312,68.229,2.694
374,16.336,69.540,2.663
375,16.226,69.912,2.635
376,16.211,68.471,2.763
377,16.217,70.299,2.939
378,16.160,70.773,2.708
379,16.185,70.742,2.826
380,16.057,70.956,2.659
381,16.004,75.816,2.686
382,15.940,76.166,2.597
383,16.115,76.168,2.630
384,15.956,75.740,2.717
385,15.688,75.707,2.607
386,15.677,75.474,2.538
387,15.450,83.571,2.746
388,15.214,83.861,2.583
389,15.206,84.308,2.774
390,15.067,87.688,2.630
391,14.993,87.825,2.586
392,15.072,87.644,2.663
393,15.006,87.837,2.572
394,15.002,87.913,2.546
395,14.994,85.508,2.575
396,14.949,85.943,2.585
397,14.890,85.605,2.670
398,14.965,78.708,2.546
399,14.930,78.637,2.500
400,14.751,78.687,2.750
401,14.696,79.281,2.557
402,14.685,79.428,2.589
403,14.701,76.156,2.600
404,14.757,76.133,2.639
405,14.662,77.551,2.583
406,14.572,69.443,2.843
407,14.634,69.280,2.819
408,14.768,69.377,2.673
409,14.502,69.797,2.819
410,14.459,69.655,2.673
411,14.150,72.529,2.713
412,14.188,72.639,2.661
413,14.136,73.082,2.694
414,14.147,72.978,2.735
415,14.054,73.418,2.622
416,13.737,69.152,2.876
417,13.737,69.209,2.615
418,13.847,72.812,2.611
419,13.674,72.832,2.575
420,13.660,74.106,2.563
421,13.658,73.920,2.623
422,13.656,74.078,2.573
423,13.649,73.784,2.521
424,15.228,73.782,2.498
425,13.692,73.824,2.644
426,13.631,73.948,2.636
427,13.645,74.112,2.633
428,13.576,72.936,2.575
429,13.767,72.916,2.441
430,13.550,72.849,2.634
